Doculect1	Doculect2	SharedCognateCount
BAAMashi4	DPJKoshin1	17
BAAMashi4	DPNFang13	30
BAAMashi4	ECLAbar8	28
BAAMashi4	ENBBiya1	22
BAAMashi4	FBCBiya8	26
BAAMashi4	ICNBiya2	21
BAAMashi4	JGYKoshin3	46
BAAMashi4	KBMNgun4	25
BAAMashi4	KCSKung3	29
BAAMashi4	KCYBuu2	42
BAAMashi4	KDCAjumbu10	29
BAAMashi4	KDVFang1	25
BAAMashi4	KEMBuu1	43
BAAMashi4	KFKMashi1	117
BAAMashi4	KHKFang12	28
BAAMashi4	KJSFang2	22
BAAMashi4	KMNAjumbu2	27
BAAMashi4	LFNMundabli1	34
BAAMashi4	MCANgun3	23
BAAMashi4	MEAMumfu3	30
BAAMashi4	MNJBuu4	41
BAAMashi4	MRYKoshin2	34
BAAMashi4	NACAbar2	24
BAAMashi4	NCCMumfu4	30
BAAMashi4	NCMMashi5	121
BAAMashi4	NDNMissong5	30
BAAMashi4	NEAMunken1	24
BAAMashi4	NEMAjumbu9	27
BAAMashi4	NFKBiya7	26
BAAMashi4	NGTMunken3	23
BAAMashi4	NINMundabli4	34
BAAMashi4	NJNBiya6	27
BAAMashi4	NJSKung4	28
BAAMashi4	NMAAbar1	23
BAAMashi4	NMNMundabli3	32
BAAMashi4	NMSMissong4	30
BAAMashi4	NNBBuu3	41
BAAMashi4	NSFBiya5	24
BAAMashi4	NUNMunken4	23
BAAMashi4	NVBAbar7	25
BAAMashi4	NVIAjumbu1	23
BAAMashi4	TELKoshin4	39
BAAMashi4	TNTMunken2	22
BAAMashi4	WCANgun1	25
BAAMashi4	ZKGKung1	19
BKBMashi2	BNMKung2	19
BKBMashi2	CENMundabli2	28
BKBMashi2	DNMMumfu2	27
BKBMashi2	DPJKoshin1	13
BKBMashi2	DPNFang13	28
BKBMashi2	ECLAbar8	27
BKBMashi2	ENBBiya1	23
BKBMashi2	FBCBiya8	27
BKBMashi2	ICNBiya2	21
BKBMashi2	JGYKoshin3	43
BKBMashi2	KBMNgun4	24
BKBMashi2	KCSKung3	25
BKBMashi2	KCYBuu2	39
BKBMashi2	KDCAjumbu10	26
BKBMashi2	KDVFang1	23
BKBMashi2	KEMBuu1	39
BKBMashi2	KFKMashi1	126
BKBMashi2	KHKFang12	26
BKBMashi2	KJSFang2	21
BKBMashi2	KMNAjumbu2	25
BKBMashi2	LFNMundabli1	30
BKBMashi2	MCANgun3	24
BKBMashi2	MEAMumfu3	29
BKBMashi2	MNJBuu4	41
BKBMashi2	MRYKoshin2	31
BKBMashi2	NACAbar2	24
BKBMashi2	NCCMumfu4	28
BKBMashi2	NCMMashi5	119
BKBMashi2	NDNMissong5	29
BKBMashi2	NEAMunken1	25
BKBMashi2	NEMAjumbu9	26
BKBMashi2	NFKBiya7	28
BKBMashi2	NGTMunken3	22
BKBMashi2	NINMundabli4	30
BKBMashi2	NJNBiya6	27
BKBMashi2	NJSKung4	25
BKBMashi2	NMAAbar1	20
BKBMashi2	NMNMundabli3	27
BKBMashi2	NMSMissong4	29
BKBMashi2	NNBBuu3	41
BKBMashi2	NSFBiya5	26
BKBMashi2	NUNMunken4	25
BKBMashi2	NVBAbar7	24
BKBMashi2	NVIAjumbu1	21
BKBMashi2	TELKoshin4	40
BKBMashi2	TNTMunken2	23
BKBMashi2	WCANgun1	24
BKBMashi2	ZKGKung1	18
BNMKung2	CENMundabli2	13
BNMKung2	DNMMumfu2	11
BNMKung2	DPJKoshin1	6
BNMKung2	DPNFang13	23
BNMKung2	ECLAbar8	23
BNMKung2	ENBBiya1	18
BNMKung2	FBCBiya8	20
BNMKung2	ICNBiya2	17
BNMKung2	JGYKoshin3	26
BNMKung2	KBMNgun4	22
BNMKung2	KCSKung3	80
BNMKung2	KCYBuu2	21
BNMKung2	KDCAjumbu10	25
BNMKung2	KDVFang1	17
BNMKung2	KEMBuu1	21
BNMKung2	KFKMashi1	19
BNMKung2	KHKFang12	20
BNMKung2	KJSFang2	16
BNMKung2	KMNAjumbu2	23
BNMKung2	LFNMundabli1	12
BNMKung2	MCANgun3	22
BNMKung2	MEAMumfu3	12
BNMKung2	MNJBuu4	27
BNMKung2	MRYKoshin2	19
BNMKung2	NACAbar2	19
BNMKung2	NCCMumfu4	12
BNMKung2	NCMMashi5	20
BNMKung2	NDNMissong5	19
BNMKung2	NEAMunken1	21
BNMKung2	NEMAjumbu9	24
BNMKung2	NFKBiya7	20
BNMKung2	NGTMunken3	21
BNMKung2	NINMundabli4	13
BNMKung2	NJNBiya6	21
BNMKung2	NJSKung4	86
BNMKung2	NMAAbar1	20
BNMKung2	NMNMundabli3	12
BNMKung2	NMSMissong4	18
BNMKung2	NNBBuu3	27
BNMKung2	NSFBiya5	21
BNMKung2	NUNMunken4	20
BNMKung2	NVBAbar7	20
BNMKung2	NVIAjumbu1	24
BNMKung2	TELKoshin4	25
BNMKung2	TNTMunken2	18
