Grapheme	IPA	FREQUENCY	CODEPOINTS	NOTES
ɔ̃̌ː	ɔ̃ː ¹⁵			
ɔː	ɔː ³			
ɔ̄ː	ɔː ³			
ɔ́ː	ɔː ⁵			
ɔ̃́ː	ɔ̃ː ⁵			
ɔ̂ː	ɔː ⁵¹			
ɔ̃̂ː	ɔ̃ː ⁵¹			
ɔ᷇ː	ɔː ⁵³			
p	p			
r	r			
ʳ	r			
s	s			
sʷ	sʷ			
ʃ	ʃ			
ʃʲ	ʃʲ			
ʃʷ	ʃʷ			
T	t			
t	t			
tʰ	tʰ			
tʲ	tʲ			
tˢ	tˢ			
ts	ts			
tsː	tsː			
tsʷ	tsʷ			
tʃ	tʃ			
tʃʷ	tʃʷ			
tᵗ	t			
tʷ	tʷ			
ù	u ¹			
ũ̀	ũ ¹			
ú	u ¹			
ũ̌	ũ ¹⁵			
u	u ³			
ũ̄	ũ ³			
ū	u ³			
u᷄	u ³⁵			
ǔ	u ⁵			
ṹ	ũ ⁵			
û	u ⁵¹			
ũ̂	ũ ⁵¹			
ũ᷇	ũ ⁵³			
u᷇	u ⁵³			
ǜ	uʱ ¹			
ǚ	uʱ ¹⁵			
ü	uʱ ³			
ǖ	uʱ ³			
ü᷇	uʱ ³			
ǘ	uʱ ⁵			
ü̃́	ũʱ ⁵			
ü̂	uʱ ⁵¹			
ùː	uː ¹			
ǔː	uː ¹⁵			
uː	uː ³			
ũ̄ː	ũː ³			
ūː	uː ³			
u᷄ː	uː ³⁵			
ṹː	ũː ⁵			
úː	uː ⁵			
ûː	uː ⁵¹			
ũ᷇ː	ũː ⁵³			
u᷇ː	uː ⁵³			
ǘː	uːʱ ⁵			
u᷇ːʷ	uːʷ ⁵³			
ùᶠ	u ¹			
ũ̀ᶠ	ũ ¹			
úʷ	u ⁵			
ʉ̀	ʉ ¹			
ʉ̌	ʉ ¹⁵			
ʉ	ʉ ³			
ʉ̄	ʉ ³			
ʉ́	ʉ ⁵			
ʉ̂	ʉ ⁵			
ʉ̈	ʉʱ			
ʉ᷇ː	ʉː ⁵³			
ɥ	ɥ			
ɯ́	ɯ ⁵			
ʊ̀̃	ʊ̃ ¹			
ʊ̀	ʊ ¹			
ʊ̂	ʊ ¹⁵			
ʊ̌	ʊ ¹⁵			
ʊ̈̌	ʊ̤ ¹⁵			
ʊ̃̌	ʊ̃ ¹⁵			
ʊ	ʊ ³			
ʊ̄	ʊ ³			
ʊ̄̃	ʊ̃ ³			
ʊ̃́	ʊ̃ ⁵			
ʊ̃̀	ʊ̃ ⁵			
ʊ́	ʊ ⁵			
ʊ᷇	ʊ ⁵³			
ʊ̈̄	ʊʱ			
ʊ̈̀	ʊʱ ¹			
ʊ̈	ʊʱ ³			
ʊ͏͏͏̈	ʊʱ ³			
ʊ̈́	ʊʱ ⁵			
ʊ̈̂	ʊʱ ⁵¹			
ʊ̏ː	ʊː ¹			
ʊ̀ː	ʊː ¹			
ʊ᷇ː	ʊː ¹			
ʊ̌ː	ʊː ¹⁵			
ʊ̃̌ː	ʊ̃ː ¹⁵			
ʊ̃̄ː	ʊ̃ː ³			
ʊ̄ː	ʊː ³			
ʊ̃́ː	ʊ̃ː ⁵			
ʊ́ː	ʊː ⁵			
ʊ̃̂ː	ʊ̃ː ⁵¹			
ʊ̂ː	ʊː ⁵¹			
ʊ̃᷇ː	ʊ̃ː ⁵³			
ʊ̈᷇ː	ʊʱː ⁵³			
v	v			
vʷ	vʷ			
W	w			
w	w			
wʷ	w			
x	x			
y	j			
z	z			
zː	zː			
ʒ	ʒ			
ʒʷ	ʒʷ			
ʔ	ʔ			
ʼ	ʔ			
β	β			
βʷ	βʷ			
