Concept	Stability
co-wife	0.6163817258
leaf	0.6161646259
corn fufu	0.615987148
mouth	0.6157597505
one (1)	0.6155326893
yam	0.6147240838
six (6)	0.6138505078
dish	0.6137465571
beg (n)	0.6127203622
fireside	0.6124550056
belly	0.6120796804
vomit	0.6116277659
bat	0.6101928383
chair	0.6100330838
death	0.6090808983
foot	0.6078046326
cocoyam	0.6077725965
wife	0.6067247479
rat mole	0.6062296312
case (court) (n)	0.6055157389
oil mill	0.605204247
cold (air)	0.6049875438
moon	0.6036343394
thing	0.6024526278
xylophone	0.6022419112
buy	0.601957222
name	0.5987189846
injunction order	0.5977436715
ten (10)	0.5974854268
iron	0.5969574738
cook	0.5962925118
hand rattle (cane)	0.5943609378
k.o cap	0.5943609378
meat-gauze	0.5943609378
wax (native-incense)	0.5943609378
palm broom	0.593346382
meat	0.5925512853
snake	0.5917264153
raffia fruit	0.5892038552
belch	0.588997401
thigh (lap)	0.5881649844
groundnut basket	0.5876506324
owl	0.5840704147
stick	0.5835135084
abstinence	0.5818343399
bangle	0.5818343399
frog (variegated)	0.5818343399
hunt (n)	0.5818343399
broom	0.581526095
seventeen (17)	0.5811203457
cutlass	0.5807713872
world	0.5801923547
tobacco leaf	0.5801715229
crab (cast lots)	0.5795745115
mat (rhizom plant)	0.5792455818
pestle (cocoyam)	0.5790246994
boil (abscess)	0.5789326907
root	0.5783259286
corn beer	0.5782461506
zinc	0.5777905837
dry season	0.5768427909
gun	0.5764980803
spoon (vegetables)	0.5758360206
tobacco pipe	0.5752770506
elephant	0.5731952528
intestine	0.5726069036
skin	0.5725664688
pig	0.5720473433
yellow soup	0.5712569789
water	0.5697635496
scabies	0.5689560151
wear	0.5682464233
ceiling	0.5680804197
spoon	0.5679349959
month	0.5678715428
slave	0.5676428039
saucer (calabash)	0.5673321072
wall (house)	0.5671027945
mud	0.5670743513
laughter	0.5670683531
eighty (80)	0.5663895712
village	0.5663895712
belt	0.565239785
tapping knife	0.5650150293
raffia fibre	0.5644128439
bed	0.5639194943
baboon	0.5637462145
we (inc)	0.5634546812
palm bamboo	0.5634412534
urine	0.5630630654
soup (vegetable)	0.5628204322
gizzard (fowl)	0.5622407217
partridge (red legs)	0.5613094792
leprosy	0.5602784994
heel (backfoot)	0.5601055456
trouble (n)	0.5593364087
egg	0.559241578
fish	0.5581372651
pawpaw	0.5568861679
ringworm	0.5564127554
piano (string)	0.5564006324
knife	0.5560486754
palm nut	0.5536634315
wall shelf	0.5534715622
fly (bird)	0.5530040603
cup	0.5528059335
year	0.5521867792
walk	0.5521209051
twin	0.5517643423
box rattle (zinc)	0.5507680573
goitre	0.5506799891
waist	0.5500710657
eighteen (18)	0.5500244902
snore	0.5497896388
oil	0.5490955136
hill	0.5490322496
sun	0.5478051174
stingy man	0.5459676906
cap	0.5454948856
mat (bamboo splint)	0.5454098137
pap	0.5452777892
thumb	0.5452620953
calabash	0.5443788978
cry (n)	0.543978615
fireside stone	0.5433321713
duck	0.5425819754
lion	0.5418539922
woman	0.5400476744
cough (n)	0.5391667145
twelve (12)	0.5376357254
jigger	0.5364520376
hoe	0.5354767503
seventy (70)	0.5336594091
shave head(razor)	0.5334375186
spear grass	0.5329228847
skull	0.5326222349
horn trumpet	0.5325273771
hot, heat (air)	0.53125
spider	0.5294059666
brain	0.5274684227
throat	0.5267963807
kernel shell (bark)	0.5267132332
lower grinding stone	0.5264539906
elbow	0.5259305847
feather	0.5258132607
palm tree	0.5251742333
mat (soft plant  tissue)	0.5250340423
sky	0.5249327407
blood	0.5246760169
cloth	0.5234475522
sickness	0.5226091157
face	0.5223956162
odour (n)	0.5212706444
salt	0.5209344977
thirteen (13)	0.5206194831
empty palm cone	0.5200658205
musical pipe	0.5200376323
day	0.5185357375
fingernail	0.5183692777
money	0.5171831964
soldier ant	0.516118172
funnel	0.5161021153
bottle	0.5159512258
heat (fufu)	0.515803743
indian bamboo	0.5156570984
run	0.515535441
lizard (smooth skin)	0.5153143016
sweat	0.5151733481
thatch grass	0.5137203503
cloud	0.5128323188
long mouth rat	0.5117951172
armpit	0.5116487357
eczema	0.511509032
hole	0.5114786723
viper	0.5101929011
peace plant	0.5097596497
doorway (space)	0.5088674102
groundnut pudding	0.5073486857
scorpion	0.506791689
garri	0.5064788518
sole (underfoot)	0.505717881
week	0.5056929306
wingless termite	0.5055033958
fourteen (14)	0.5047857072
sheath	0.5041712546
chest	0.5033062264
grasshopper	0.5025016549
mist, fog	0.5014605522
beans	0.500929247
ninety (90)	0.500929247
cocoyam (makabo)	0.5
marrow (bone)	0.5
woven bowl	0.5
brick	0.4976419178
cold (solid)	0.4969187108
think	0.4945544446
country	0.4930989975
flute	0.4917369557
storm (wind)	0.4916422845
banana	0.4904036033
river	0.4902185344
foam	0.4893229505
maggot	0.4893229505
mushroom	0.4882260599
handle	0.4875674596
wooden dish	0.4862408669
quarrel (n)	0.4858580426
roof	0.4846873205
family	0.4829298595
lazy man	0.4816479931
fear (n)	0.481629276
male	0.479892701
eleven (11)	0.4789185736
cane	0.4785807531
story	0.4782596854
palm cone	0.4763046459
comb	0.4730341766
ground (soil)	0.4723245505
fourty (40)	0.4705760643
needle	0.4694231782
rainy season	0.4694231782
cowpea leaf	0.4674577072
pot	0.4656328389
elder (birth)	0.4655362575
laugh (n)	0.4650049523
shell (snail)	0.4649049094
dirts	0.4644394876
praying mantis	0.4632087709
black man	0.4617325596
mortar	0.4613710728
frog (edible)	0.4611447623
pepper	0.4610979606
staff (walk support)	0.4609156586
elephant stalk	0.4604730087
tyre (car)	0.4601327337
toad (rough back)	0.4598850834
