ID	CONCEPT	DOCULECT	VALUE	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	ALIGNMENT
35874	hunger	p22mwera	ʃibhanga	ʃ i b h a n g a	3 7 1 3 7 4 1 7	AXBCYMBZ	SIPHANKA	191	191.S.C 191.I.V 191.P.C 191.H.C 191.A.V 191.N.c 191.K.C 191.A.V	2.0 1.5 1.75 1.5 1.3 1.1 1.75 0.8	ʃibhanga	0	8845	ʃ i b h a n g a
35973	hunger	p23simakonde	ingala	i n g a l a	7 4 1 7 5 7	XMBYBZ	INKALA	192	192.I.V 192.N.c 192.K.C 192.A.V 192.L.C 192.A.V	1.5 1.1 1.75 1.3 1.75 0.8	ingala	0	8659	- i n - g - a - l a
36072	hunger	p25mabia	ndala	n d a l a	4 1 7 5 7	ACYBZ	NTALA	193	193.N.C 193.T.C 193.A.V 193.L.C 193.A.V	2.0 1.5 1.3 1.75 0.8	ndala	0	8659	- - n - d - a - l a
36265	hunger	p31emakhua	i-tála	i t a l a	7 1 7 5 7	XBYBZ	ITALA	194	194.I.V 194.T.C 194.A.V 194.L.C 194.A.V	1.5 1.75 1.3 1.75 0.8	itala	0	8659	- i - - t - a - l a
36666	hunger	s11shona	nzara	n z a r a	4 3 7 5 7	ACYBZ	NSARA	195	195.N.C 195.S.C 195.A.V 195.R.C 195.A.V	2.0 1.5 1.3 1.75 0.8	nzara	1	8659	- - n - z - a - r a
36852	hunger	s21venda	nd™ala	n dʰ a l a	4 1 7 5 7	ACYBZ	NTALA	196	196.N.C 196.T.C 196.A.V 196.L.C 196.A.V	2.0 1.5 1.3 1.75 0.8	ndʰala	0	8659	- - n - dʰ - a - l a
37135	hunger	s41xhosa	índɮala	i n d ɮ a l a	7 4 1 5 7 5 7	XMBCYBZ	INTLALA	197	197.I.V 197.N.c 197.T.C 197.L.C 197.A.V 197.L.C 197.A.V	1.5 1.1 1.75 1.5 1.3 1.75 0.8	indɮala	0	8659	- i n - d ɮ a - l a
37235	hunger	s42zulu	índɮala	i n d ɮ a l a	7 4 1 5 7 5 7	XMBCYBZ	INTLALA	198	198.I.V 198.N.c 198.T.C 198.L.C 198.A.V 198.L.C 198.A.V	1.5 1.1 1.75 1.5 1.3 1.75 0.8	indɮala	0	8659	- i n - d ɮ a - l a
37335	hunger	s44ndebele	-lamba	l a m b a	5 7 4 1 7	AXMBZ	LAMPA	199	199.L.C 199.A.V 199.M.c 199.P.C 199.A.V	2.0 1.5 1.1 1.75 0.8	lamba	0	8853	l a m b a
37508	hunger	s53tsonga	ndɮàlà	n d ɮ a l a	4 1 5 7 5 7	ACCYBZ	NTLALA	200	200.N.C 200.T.C 200.L.C 200.A.V 200.L.C 200.A.V	2.0 1.5 1.5 1.3 1.75 0.8	ndɮala	0	8659	- - n - d ɮ a - l a
