Doculect1	Doculect2	SharedCognateCount
BAAMashi4	NINMundabli4	33
BAAMashi4	NJNBiya6	25
BAAMashi4	NJSKung4	28
BAAMashi4	NMAAbar1	22
BAAMashi4	NMNMundabli3	32
BAAMashi4	NMSMissong4	27
BAAMashi4	NNBBuu3	41
BAAMashi4	NSFBiya5	22
BAAMashi4	NUNMunken4	21
BAAMashi4	NVBAbar7	24
BAAMashi4	NVIAjumbu1	24
BAAMashi4	TELKoshin4	42
BAAMashi4	TNTMunken2	20
BAAMashi4	WCANgun1	23
BAAMashi4	ZKGKung1	22
BKBMashi2	BNMKung2	20
BKBMashi2	CENMundabli2	28
BKBMashi2	DNMMumfu2	28
BKBMashi2	DPNFang13	32
BKBMashi2	ECLAbar8	25
BKBMashi2	ENBBiya1	22
BKBMashi2	FBCBiya8	25
BKBMashi2	ICNBiya2	18
BKBMashi2	JGYKoshin3	42
BKBMashi2	KBMNgun4	22
BKBMashi2	KCSKung3	26
BKBMashi2	KCYBuu2	38
BKBMashi2	KDCAjumbu10	28
BKBMashi2	KDVFang1	24
BKBMashi2	KEMBuu1	38
BKBMashi2	KFKMashi1	127
BKBMashi2	KHKFang12	29
BKBMashi2	KJSFang2	21
BKBMashi2	KMNAjumbu2	27
BKBMashi2	LFNMundabli1	29
BKBMashi2	MCANgun3	22
BKBMashi2	MEAMumfu3	31
BKBMashi2	MNJBuu4	40
BKBMashi2	MRYKoshin2	30
BKBMashi2	NACAbar2	22
BKBMashi2	NCCMumfu4	30
BKBMashi2	NCMMashi5	120
BKBMashi2	NDNMissong5	27
BKBMashi2	NEAMunken1	23
BKBMashi2	NEMAjumbu9	29
BKBMashi2	NFKBiya7	26
BKBMashi2	NGTMunken3	21
BKBMashi2	NINMundabli4	30
BKBMashi2	NJNBiya6	25
BKBMashi2	NJSKung4	25
BKBMashi2	NMAAbar1	19
BKBMashi2	NMNMundabli3	29
BKBMashi2	NMSMissong4	26
BKBMashi2	NNBBuu3	40
BKBMashi2	NSFBiya5	24
BKBMashi2	NUNMunken4	23
BKBMashi2	NVBAbar7	23
BKBMashi2	NVIAjumbu1	24
BKBMashi2	TELKoshin4	42
BKBMashi2	TNTMunken2	21
BKBMashi2	WCANgun1	22
BKBMashi2	ZKGKung1	21
BNMKung2	CENMundabli2	16
BNMKung2	DNMMumfu2	14
BNMKung2	DPNFang13	25
BNMKung2	ECLAbar8	25
BNMKung2	ENBBiya1	19
BNMKung2	FBCBiya8	21
BNMKung2	ICNBiya2	19
BNMKung2	JGYKoshin3	29
BNMKung2	KBMNgun4	23
BNMKung2	KCSKung3	81
BNMKung2	KCYBuu2	23
BNMKung2	KDCAjumbu10	26
BNMKung2	KDVFang1	19
BNMKung2	KEMBuu1	23
BNMKung2	KFKMashi1	20
BNMKung2	KHKFang12	22
BNMKung2	KJSFang2	17
BNMKung2	KMNAjumbu2	24
BNMKung2	LFNMundabli1	15
BNMKung2	MCANgun3	23
BNMKung2	MEAMumfu3	15
BNMKung2	MNJBuu4	28
