ID	Concept	Doculect	Value	Tokens
144	man	ZKGKung1	wùònô / ɣyə̂nôɣə̀	w u.¹/u o.¹/o n o.⁵¹/o
145	man	BNMKung2	wùnʊ̂ː / ɣɨ᷇ːnʊ̂ː	w u.¹/u n ʊː.⁵¹/ʊː
146	man	LFNMundabli1	mɔ̀ / mbɛ̂ː	m ɔ.¹/ɔ
147	man	NINMundabli4	mō ~mònó / mbɛ̀ːbɛ́n ~nóbɛ́n	m o.³/o
148	man	NEAMunken1	ʊ̀nɛ̀~ʊ̀nʊ̀ɱfə́ / bə́nɛ᷇ː~bə́nʊ́mfə̄	ʊ.¹/ʊ n ɛ.¹/ɛ
149	man	TNTMunken2	ʊ̀nɛ̀ / bə̀nnɛ̂	ʊ.¹/ʊ n ɛ.¹/ɛ
150	man	WCANgun1	ɪ̀nnò / bə̄no᷇ː	ɪ.¹/ɪ n n o.¹/o
151	man	AOMNgun2	ʊ̀nɪ̀hɪ́ / bɛ́nɪ᷇ː	ʊ.¹/ʊ n ɪ.¹/ɪ h ɪ.⁵/ɪ
152	man	APBMumfu1	mà / mbɛ̂ː~nʊ̂ːbə́	m a.¹/a
153	man	DNMMumfu2	mà / mbɛ̂ː	m a.¹/a
154	man	BKBMashi2	mwɪ́ / bʊ́nɪ́	m w ɪ.⁵/ɪ
155	man	KFKMashi1	mwɪ̀ɲómnɪ́ / bʊ́nôbó	m w ɪ.¹/ɪ ɲ o.⁵/o m n ɪ.⁵/ɪ
156	man	ABSMissong1	ǹnò / bànɛ̂bʊ̄~ʊ́ɲʊ́ŋhʊ̃̄/bàɲʊ́ŋhʊ̃̄	n.¹/n n o.¹/o
157	man	AGAMissong2	n̄nō / bánɛ᷇ːbʊ̄ ~ǹnò/bànɛ᷇ː	n.³/n n o.³/o
158	woman	NMAAbar1	ʊ̀tʃɛ̂ló / bwɪ́tʃɛ̂ló	ʊ.¹/ʊ tʃ ɛ.⁵¹/ɛ l o.⁵/o
159	woman	NACAbar2	ʊ̀tʃɛ̀lló /  bə̀tʃɛ̀lló	ʊ.¹/ʊ tʃ ɛ.¹/ɛ l l o.⁵/o
160	woman	NVIAjumbu1	ŋʊ̀tsɔ̀ŋ / átsɔ̂ŋ	ŋ ʊ.¹/ʊ ts ɔ.¹/ɔ ŋ
161	woman	KMNAjumbu2	ŋʊ̀tsɔ̀ŋ / átsɔ̂ŋ	ŋ ʊ.¹/ʊ ts ɔ.¹/ɔ ŋ
162	woman	KEMBuu1	pyə́sə́ / tyə́sə́	p j ə.⁵/ə s ə.⁵/ə
163	woman	KCYBuu2	pyésə́ / tyésə́	p j e.⁵/e s ə.⁵/ə
164	woman	KDVFang1	ŋmə̀kpɛ̌ŋ / bə̀kɪ̌ŋ	ŋm ə.¹/ə kp ɛ.¹⁵/ɛ ŋ
165	woman	KJSFang2	ŋmə̀kpɛ̌ŋ / bə̀kɪ̌ŋ	ŋm ə.¹/ə kp ɛ.¹⁵/ɛ ŋ
166	woman	ZKGKung1	wə́zə̂ŋ / ə́ɣyə̂zə́ŋ	w ə.⁵/ə z ə.⁵¹/ə ŋ
167	woman	BNMKung2	wə̀zə̂ŋ / ɣɨ́ːzə́ŋə̀	w ə.¹/ə z ə.⁵¹/ə ŋ
168	woman	LFNMundabli1	kpé / tʃé	kp e.⁵/e
169	woman	NINMundabli4	kpé / tʃébɛ́n	kp e.⁵/e
170	woman	NEAMunken1	ʊ̀tʃʊ̀ə̀lə́ / bə̀tʃʊ̀ə̀lə́	ʊ.¹/ʊ tʃ ʊ.¹/ʊ ə.¹/ə l ə.⁵/ə
171	woman	TNTMunken2	ʊ̀tʃœ̀lə́ / bə̀tʃœ̀lə́	ʊ.¹/ʊ tʃ œ.¹/œ l ə.⁵/ə
172	woman	WCANgun1	ʊ̀tʃʊ̀lʊ́ / bə̀tʃʊ̀lʊ́	ʊ.¹/ʊ tʃ ʊ.¹/ʊ l ʊ.⁵/ʊ
173	woman	AOMNgun2	ʊtʃûlʊ́ / bɛ̀tʃʊ̀lʊ́ ~bɛ̀tʃùlə́	ʊ.³/ʊ tʃ u.⁵¹/u l ʊ.⁵/ʊ
174	woman	APBMumfu1	kpɛ᷆ / tʃɛ᷆	kp ɛ.³¹/ɛ
175	woman	DNMMumfu2	kpɛ᷇~tʃɛ̂ / tʃɛ᷇ː~tʃɛ́hɛ̄~tsɛ̂	kp ɛ.⁵³/ɛ
176	woman	BKBMashi2	mwɪ́kpān / bʊ́kǎbó	m w ɪ.⁵/ɪ kp a.³/a n
177	woman	KFKMashi1	mwɪ́kpān / bʊ́kâːbó	m w ɪ.⁵/ɪ kp a.³/a n
178	woman	ABSMissong1	ʊ̀tʃʊ̀lə́ / bàtʃʊ̀lə́bʊ̄	ʊ.¹/ʊ tʃ ʊ.¹/ʊ l ə.⁵/ə
179	woman	AGAMissong2	ʊ̀tʃœ̀lə́ / bàtʃœ̀lə́bū	ʊ.¹/ʊ tʃ œ.¹/œ l ə.⁵/ə
180	person	NVBAbar7	ònò~ʊ̀nʊ̀ / ána᷇ː	o.¹/o n o.¹/o
181	person	ECLAbar8	ʊ̀nò / bʷɪ̀na᷇ː	ʊ.¹/ʊ n o.¹/o
182	person	NMAAbar1	ʊ̀nʊ̀ / bə́na᷇ː	ʊ.¹/ʊ n ʊ.¹/ʊ
183	person	NACAbar2	ʊ̀nò / bə́na᷇ː	ʊ.¹/ʊ n o.¹/o
184	person	NEMAjumbu9	ŋʊ̀ / ánɪ̂~ánîbə̄	ŋ ʊ.¹/ʊ
185	person	NVIAjumbu1	ŋʊ̀ / ánɪ̀	ŋ ʊ.¹/ʊ
186	person	KMNAjumbu2	ŋʊ̀ / ánɪ̂	ŋ ʊ.¹/ʊ
187	person	KDCAjumbu10	ŋʊ̀ / ànè	ŋ ʊ.¹/ʊ
188	person	NNBBuu3	mgbɪ̀ / mbɪ́lə́	m gb ɪ.¹/ɪ
189	person	MNJBuu4	mgbɪ̀ː / mbɪ᷇ːlə́	m gb ɪ.¹/ɪ
190	person	KEMBuu1	mgbɪ̀ / mbɪ̀ːlə̀	m gb ɪ.¹/ɪ
191	person	KCYBuu2	mgbɪ̀ / mbɪ́ːlə́	m gb ɪ.¹/ɪ
192	person	KHKFang12	ŋmə̀ / ŋmɪ̀m	ŋm ə.¹/ə
193	person	DPNFang13	ŋmə̀~ŋmə̀tə̀ / ŋmɪ᷇ːm	ŋm ə.¹/ə
194	person	JGYKoshin3	mùèɲ ~ mwèɲ / bə́nî	m u.¹/u e.¹/e ɲ
195	person	TELKoshin4	mɥɪ̀ɲ / bə́nî	m ɥ ɪ.¹/ɪ ɲ
196	person	MRYKoshin2	mwɪ̀n  /  bə̀nɪ̀	m w ɪ.¹/ɪ n
197	person	KCSKung3	wùò / àɣʲə᷇ː	w u.¹/u o.¹/o
198	person	NJSKung4	wʊ̀ə̀ / ɣʲə᷇ː	w ʊ.¹/ʊ ə.¹/ə
199	person	ZKGKung1	wùò / ə́ɣyə᷇	w u.¹/u o.¹/o
200	person	BNMKung2	wʊ̀ə̀ / ə́ɣɨ᷇ː	w ʊ.¹/ʊ ə.¹/ə
201	person	NMNMundabli3	mò / ḿbɛ̂ː	m o.¹/o
202	person	CENMundabli2	mò / mbɛ̂ː	m o.¹/o
203	person	LFNMundabli1	mɔ̀wɔ́ / mbɛ̀ːbó	m ɔ.¹/ɔ w ɔ.⁵/ɔ
204	person	NINMundabli4	mò / mbɛːbɛ́n	m o.¹/o
205	person	NGTMunken3	ʊ̀nɛ̀ / bə̀nɛ̂	ʊ.¹/ʊ n ɛ.¹/ɛ
206	person	NUNMunken4	ʊ̀nè / bə́nê	ʊ.¹/ʊ n e.¹/e
207	person	NEAMunken1	ʊ̀nɛ̀ / bə́nɛ᷇ː	ʊ.¹/ʊ n ɛ.¹/ɛ
208	person	TNTMunken2	ʊ̀nɛ̀ló / bə̀nɛ̂bə̀ló	ʊ.¹/ʊ n ɛ.¹/ɛ l o.⁵/o
209	person	MCANgun3	ʊ̀nò / bɛ̀no᷇ː~áno᷇ː	ʊ.¹/ʊ n o.¹/o
210	person	KBMNgun4	ʊ̀nò / bə́nô	ʊ.¹/ʊ n o.¹/o
211	person	WCANgun1	ɪ̀nò / bə̀nô	ɪ.¹/ɪ n o.¹/o
212	person	AOMNgun2	ʊ̀nòː / bɛ́no᷇ː	ʊ.¹/ʊ n oː.¹/oː
213	person	DNMMumfu2	màwɛ̌n / mbɛ̂ː	m a.¹/a w ɛ.¹⁵/ɛ n
214	person	BKBMashi2	mwɪ̀ / bʊ́ní	m w ɪ.¹/ɪ
215	person	KFKMashi1	mwɪ̀ / bʊ́ní	m w ɪ.¹/ɪ
216	person	ABSMissong1	ǹnò / bànɛ̂bʊ̄	n.¹/n n o.¹/o
217	person	AGAMissong2	n̄nōwʊ́ / bànɛ᷇bʊ́~ǹnò / bànɛ᷇ː	n.³/n n o.³/o w ʊ.⁵/ʊ
218	male	NMAAbar1	ʊ̀ɲə́ŋhṍ / bwɪ̄ɲə́ŋhṍ	ʊ.¹/ʊ ɲ ə.⁵/ə ŋ h õ.⁵/õ
219	male	NACAbar2	ʊ̀ɲə́ŋhȭ / bə́ɲə́ŋhȭ	ʊ.¹/ʊ ɲ ə.⁵/ə ŋ h õ.³/õ
220	male	NVIAjumbu1	tsɪ̀ / ə̀kə́tsɪ̂~átsɪ̂	ts ɪ.¹/ɪ
221	male	KMNAjumbu2	ŋʊ̀dzʊ̀ŋ / âdû	ŋ ʊ.¹/ʊ d z ʊ.¹/ʊ ŋ
222	male	KDVFang1	ŋmə̀lə́sʊ̂ŋ / ŋmɪ̂bə̀lyœ̌sʊ̂ŋ	ŋm ə.¹/ə l ə.⁵/ə s ʊ.¹⁵/ʊ ŋ
223	male	KJSFang2	ŋmə̀lə́sʊ̂ŋ / bə̀lyœ̌sʊ̂ŋ	ŋm ə.¹/ə l ə.⁵/ə s ʊ.¹⁵/ʊ ŋ
224	male	MRYKoshin2	ŋmɪ̀nɲʊ̂ /  bə̀nô	ŋm ɪ.¹/ɪ n ɲ ʊ.¹⁵/ʊ
225	male	ZKGKung1	wə̀nôː / ɣyə̂nôːɣə̀	w ə.¹/ə n oː.⁵¹/oː
226	male	BNMKung2	nʊ̂ː / nʊ̂ːɣɨ̀	n ʊː.⁵¹/ʊː
227	male	LFNMundabli1	mònó / ø	m o.¹/o n o.⁵/o
228	male	NINMundabli4	mònó / nóːbɛ́n	m o.¹/o n o.⁵/o
229	male	NEAMunken1	ʊ̀nʊ̀ɱfə́~ʊ̀nɛ̀nʊ̀mfə́ / bə́nʊ́mfə̄	ʊ.¹/ʊ n ʊ.¹/ʊ ɱ f ə.⁵/ə
230	male	TNTMunken2	ʊ̀nʊ̀mfə́ / bə̀nnʊ́mfə́	ʊ.¹/ʊ n ʊ.³/ʊ m f ə.⁵/ə
231	male	WCANgun1	ɪ̀nɪ̀hɪ̃́ / bə́nɪ́hɪ̃̄	ɪ.¹/ɪ n ɪ.¹/ɪ h ɪ̃.⁵/ɪ̃
232	male	APBMumfu1	mànʊ̂ / nʊ̂ːbə́	m a.¹/a n ʊ.¹⁵/ʊ
233	male	BKBMashi2	mwɪ̀ɲǒmnɪ̄ / bʊ́nôbó	m w ɪ.¹/ɪ ɲ o.¹⁵/o m n ɪ.³/ɪ
234	male	KFKMashi1	mwɪ̀ɲǒmnɪ̄ / bʊ́nôːbó	m w ɪ.¹/ɪ ɲ o.¹⁵/o m n ɪ.³/ɪ
235	male	ABSMissong1	ʊ̀tʃʊ̀lə́ / bàtʃʊ̀lə́	ʊ.¹/ʊ tʃ ʊ.¹/ʊ l ə.⁵/ə
236	male	AGAMissong2	nòːɲúŋhʊ̄ / bánɛ᷇báɲúŋhʊ̄	n oː.¹/oː ɲ u.¹/u ŋ h ʊ.³/ʊ
237	wife	NMAAbar1	tʃû / bwɪ́tʃú	tʃ u.⁵¹/u
