ID	Concept	Doculect	Value
149	mother	TEL-Koshin-4	ɲʲə́ / bə̀ɲʲə́
150	mother	MRY-Koshin-2	ɲʲə̄ / ø
151	mother	KCS-Kung-3	nêɲ ~ wùzə́ŋ / ɣɛ̀nêɲ
152	mother	NJS-Kung-4	nêʲ / nêʲɣê~ɣèʲbɛ̂ʲ
153	mother	ZKG-Kung-1	nɪ̂ / ɣénɪ̂
154	mother	BNM-Kung-2	nè~nɪ̀ / sə́nè
155	mother	NMN-Mundabli-3	nɪ́ / bɑ̀ɦ ~ bònɪ́
156	mother	CEN-Mundabli-2	nɪ́ / nɪ́ː
157	mother	LFN-Mundabli-1	nɪ́ / nɪ́bō
158	mother	NIN-Mundabli-4	nɛ́ / bə̀nɛ́bó
159	mother	NGT-Munken-3	ɲí / bə̀ɲí
160	mother	NUN-Munken-4	nâ / bə̀nàâ
161	mother	NEA-Munken-1	nǎː~na᷇ː / bə̀na᷇ː
162	mother	TNT-Munken-2	nà ~ nǎ / bèɲí ~bə̀na᷇
163	mother	MCA-Ngun-3	níjā / bɛ̀nɪ́jā
164	mother	KBM-Ngun-4	níjā / bɛ̀nɪ́jā
165	mother	WCA-Ngun-1	ɲɪ́sə̀~ na᷇ː / bəɲísə́ ~ bə̀na᷇ː
166	mother	AOM-Ngun-2	nɪ́ ~nɪ́yā / bɛ́nɪ́yā
167	mother	APB-Mumfu-1	n̄nāː / bə̀níbə́ ~ nāː / bə̀nāː
168	mother	DNM-Mumfu-2	màmí / bə̄nâː
169	mother	BKB-Mashi-2	nî / bʊ̀nî
170	mother	KFK-Mashi-1	nî / bʊ̀nî
171	mother	ABS-Missong-1	ɲí / bàɲí
172	mother	AGA-Missong-2	ɲí / bàɲí
173	man	NVB-Abar-7	nan
174	man	ECL-Abar-8	nan
175	man	NMA-Abar-1	ʊ̀nʊ̀ɲə́ŋhṍ / ána᷇ːɲə́ŋhṍ
176	man	NAC-Abar-2	ʊ̀nò / bə́na᷇ː
177	man	NEM-Ajumbu-9	nan
178	man	NVI-Ajumbu-1	ŋʊ̀dzʊ̀ŋ / âdû~ànə́m
179	man	KMN-Ajumbu-2	ŋʊ̀dzʊ̀ŋ~ŋʊ̀ / âdû~ànì
180	man	KDC-Ajumbu-10	nan
181	man	ENB-Biya-1	nan
182	man	ICN-Biya-2	nan
183	man	NNB-Buu-3	nan
184	man	MNJ-Buu-4	nan
185	man	KEM-Buu-1	nan
186	man	KCY-Buu-2	nan
187	man	KHK-Fang-12	nan
188	man	DPN-Fang-13	nan
189	man	KDV-Fang-1	ŋmə̀ / ŋmɪ᷇m
190	man	KJS-Fang-2	man, person
191	man	JGY-Koshin-3	nan
192	man	TEL-Koshin-4	nan
193	man	MRY-Koshin-2	nan
194	man	KCS-Kung-3	nan
195	man	NJS-Kung-4	nan
196	man	ZKG-Kung-1	wùònô / ɣyə̂nôɣə̀
197	man	BNM-Kung-2	wùnʊ̂ː / ɣɨ᷇ːnʊ̂ː
198	man	NMN-Mundabli-3	nan
199	man	CEN-Mundabli-2	nan
200	man	LFN-Mundabli-1	mɔ̀ / mbɛ̂ː
201	man	NIN-Mundabli-4	mō ~mònó / mbɛ̀ːbɛ́n ~nóbɛ́n
202	man	NGT-Munken-3	nan
203	man	NUN-Munken-4	nan
204	man	NEA-Munken-1	ʊ̀nɛ̀~ʊ̀nʊ̀ɱfə́ / bə́nɛ᷇ː~bə́nʊ́mfə̄
205	man	TNT-Munken-2	ʊ̀nɛ̀ / bə̀nnɛ̂
206	man	MCA-Ngun-3	nan
207	man	KBM-Ngun-4	nan
208	man	WCA-Ngun-1	ɪ̀nnò / bə̄no᷇ː
209	man	AOM-Ngun-2	ʊ̀nɪ̀hɪ́ / bɛ́nɪ᷇ː
