ID	Concept	Doculect	Value
113	chief	KCS-Kung-3	fɔ̀ʲ / sə̀fɔ̂ʲ
114	chief	NJS-Kung-4	fɔ̀ɪ̀ / fɔ̂ɪ̀sə̀ ~ sə̀fɔ́ɪ̀
115	chief	NMN-Mundabli-3	ŋkʊ̌ŋ / bòŋkʊ̌ŋ
116	chief	CEN-Mundabli-2	ŋ̀kʊ̌ːŋ / bòŋkʊ̌ŋ
117	chief	NGT-Munken-3	ŋkʊ́ŋ / ŋ̀kʊ́ŋsə́
118	chief	NUN-Munken-4	ŋ̀kʊ́ŋ / bə̀ŋkʊ́ŋ
119	chief	MCA-Ngun-3	ŋkʊ́ŋ / bɛ̀ŋkʊ́ŋ
120	chief	KBM-Ngun-4	ŋkʊ́ŋ / bɛ̀ŋkʊ́ŋ
121	deity, god, God	NVB-Abar-7	kə̀jì / ìjìbì
122	deity, god, God	ECL-Abar-8	kə̀jì / bìjì
123	deity, god, God	NEM-Ajumbu-9	kə̀zə̀ / bə̀zə̀
124	deity, god, God	KDC-Ajumbu-10	kə̀zə̀ / bə̀zə̀
125	deity, god, God	ENB-BIYA-1	kə̀jì / bìjì
126	deity, god, God	ICN-BIYA-2	kə̀jì / bìjì
127	deity, god, God	NNB-Buu-3	kə̀yìː / bə̀yìː
128	deity, god, God	MNJ-Buu-4	fə̀yìː / bə̀yìː
129	deity, god, God	KHK-FANG-12	fə̀ʒʲə̀ / mə̀nʒʲə̀
130	deity, god, God	DPN-FANG-13	fə̀ʒʲə̀ː / fə̀ʒʲə̀ː~mə̀ʒʲə̀ː
131	deity, god, God	JGY-Koshin-3	kə̀ʒìː / bə̀ʒìː
132	deity, god, God	TEL-Koshin-4	kə̀ʒì / bə̀ʒì
133	deity, god, God	KCS-Kung-3	fə̀ʒʲə̀ / m̀ʒʲə̀
134	deity, god, God	NJS-Kung-4	fə́ʒʲə̀ / ḿʒʲə̀
135	deity, god, God	NMN-Mundabli-3	gbàm / gbàm
136	deity, god, God	CEN-Mundabli-2	gbɑ̀m / gbɑ̀m
137	deity, god, God	NGT-Munken-3	àyì / bìyì
138	deity, god, God	NUN-Munken-4	àyì / bìyì
139	deity, god, God	MCA-Ngun-3	kə̀jì / bìjì
140	deity, god, God	KBM-Ngun-4	kə̀jìː / bìjì
141	devil	NVB-Abar-7	bántán~ʊ́tán/àbántánbʷɪ̂~bántán
142	devil	ECL-Abar-8	bántán / bʷɪ̀bántán
143	devil	NEM-Ajumbu-9	nǎːtàɲ / ànǎːtàɲ
144	devil	KDC-Ajumbu-10	nǎːtàɲ / ànǎːtàɲ
145	devil	ENB-BIYA-1	ʊ̀tə̌n / bə́tə̀n
146	devil	ICN-BIYA-2	ʊ̀tə̌ːn / bə́tə̌ːn
147	devil	NNB-Buu-3	ǹti᷇ːn / bə̀nti᷇ːn
148	devil	MNJ-Buu-4	ǹtsɪ᷇ːn / bə̀ntsɪ᷇ːn
149	devil	KHK-FANG-12	ŋmə̀tʃʲə̂ / ŋmɪ̂mbə́tʃʲə̂
150	devil	DPN-FANG-13	ŋmə̀tʃʲə̂ / ŋmɪ̀mbə́tʃʲə̂ ~ŋmə̀bə́tsɨ́ɣ / ŋmɪ̀mbə̀bə́tsɨ́ɣ
151	devil	JGY-Koshin-3	ŋ̀kə̀nə́ / bə̀ŋkə̀nə́
152	devil	TEL-Koshin-4	ø / bə̀tsə́
153	devil	KCS-Kung-3	wùə̀tí / ɣʲə̂tʲə́
154	devil	NJS-Kung-4	wùə̀tí / ɣʲə̂tʲí
155	devil	NMN-Mundabli-3	kɛ̄ / kɛ̄
156	devil	CEN-Mundabli-2	kɛ́ / kɛ́ː
157	devil	NGT-Munken-3	ʊ̀tə̌ːn / bə̀tə̌ːn
158	devil	NUN-Munken-4	ʊ̀tə̌n / bə́tə̌n
159	devil	MCA-Ngun-3	ʊ̄tə̄n / bìʊ̀tə̄n~bùtə̀n~bɛ̀tə̀n
160	devil	KBM-Ngun-4	ʊ̀tɛ̌ːn / bə́tɛ̌ːn
161	head	NVB-Abar-7	ɪ́fê~ɪ̀fɛ̀mó / ḿfê~m̀fɛ̀mó
162	head	ECL-Abar-8	ɪ̀fèː / mʷɪ̀ŋfèː
163	head	NEM-Ajumbu-9	kʷú / kʷúlə́kə̄~kə̀kúːlə́
164	head	KDC-Ajumbu-10	kʷú / kə̀kʊ́ːlə́
165	head	ENB-BIYA-1	ɪ̀fɛ̀ / kə̀fɛ̀
166	head	ICN-BIYA-2	ɪ́fɛ́ / áfɛ́
167	head	NNB-Buu-3	fá / kə̄fátə́
168	head	MNJ-Buu-4	fā / kə̀fátə́
169	head	KHK-FANG-12	kú / tə̀kú
170	head	DPN-FANG-13	kʷú / tə̀kʷú
171	head	JGY-Koshin-3	kə́ / tə̀kə́
172	head	TEL-Koshin-4	kˣə́ / tə̀kˣə́
173	head	KCS-Kung-3	kə̀tú / tū
174	head	NJS-Kung-4	kə̀tᵗú / ʊ́tᵗú
175	head	NMN-Mundabli-3	fó / fɑ́ɦ
176	head	CEN-Mundabli-2	fó / fáː
177	head	NGT-Munken-3	ɪ́fāː / áfàsə́
178	head	NUN-Munken-4	ɪ́fɛ̂ / áfɛ̂
179	head	MCA-Ngun-3	ɪ̀fɛ̀ / àfɛ̀ː
180	head	KBM-Ngun-4	ɪ̀fɛ̀ / àfɛ̀
181	eye	NVB-Abar-7	ɪ́zɪ́hɪ́ / ànzɪ́hɪ́~ńzɪ́hɪ́
182	eye	ECL-Abar-8	ɪ̀zɪ́hɪ́ / ǹzɪ́hɪ́~mʷɪ̀nzɪ́hɪ́
183	eye	NEM-Ajumbu-9	zə́sə́ / àzə́sə́~zə́sə́kə̄
184	eye	KDC-Ajumbu-10	zə́sə́ / kə̀zə́sə́~ázə́sə́
185	eye	ENB-BIYA-1	ɪ́dzɪ́hɪ́ / kə̀dʒɪ́hɪ́
186	eye	ICN-BIYA-2	ɪ̄dʒísə́~ɪ́dzɪ́hɪ́ / àdʒísə́~kə̀dʒɪ́hɪ́
187	eye	NNB-Buu-3	yɛ́sə́ / kə̀yɛ́sə́~kə̀yɛ́sə́nə̄
188	eye	MNJ-Buu-4	yɛ́sə́ / kə̀yɛ̂sə̀nə́
189	eye	KHK-FANG-12	wə́sə̄ / ʒísɛ̄
190	eye	DPN-FANG-13	wə́sə̌ / ʒí
191	eye	JGY-Koshin-3	ɥí / dʒí
192	eye	TEL-Koshin-4	ɥí / dʒí
193	eye	KCS-Kung-3	sɪ́ʲ / síə́
194	eye	NJS-Kung-4	ɪ́sɘ́ʲ / ə̀sɘ́ʲ ~ síː
195	eye	NMN-Mundabli-3	yɪ́ / yɪ̄kɪ́
196	eye	CEN-Mundabli-2	yɪ́ / yɪ̄ː kō
197	eye	NGT-Munken-3	ɪ́dzɛ́hɛ́ / ádzɛ́sə́ ~ ádzɛ́hɛ́sə́
198	eye	NUN-Munken-4	ɪ́zɛ́hɛ́ / ázɛ́hɛ́
199	eye	MCA-Ngun-3	ɪ̀dzɪ́hɪ́ / àdʒɪ́hɪ́
200	eye	KBM-Ngun-4	ɪ́dzɪ́hɪ́ / àdʒɪ́hɪ́
201	nose	NVB-Abar-7	ɪ̀ɲə́ŋ / ńɲə́ŋmʷɪ̂
202	nose	ECL-Abar-8	ɪ̀ɲə́ŋ / mʷɪ̀nɲə́ŋ~ǹɲə́ŋ
203	nose	NEM-Ajumbu-9	vǘ / vǘlə́kə̄~kə̀vǘlə́
204	nose	KDC-Ajumbu-10	vǘ / kə̀vǘlə́~ávǘlə́
205	nose	ENB-BIYA-1	ɪ̀ɲə́ŋ / kə̀ɲə́ŋ NGUN
206	nose	ICN-BIYA-2	ɪ̀ɲí / àɲí
207	nose	NNB-Buu-3	wúŋ / kə̀wúŋ~kə́wúŋtə́nə̄
208	nose	MNJ-Buu-4	wʊ́ŋ / kə̀wʊ́ŋtə́
209	nose	KHK-FANG-12	wu᷇ː / tə̀wu᷇ː
210	nose	DPN-FANG-13	wū / tə̀wu᷇ː
211	nose	JGY-Koshin-3	wúŋ / tə̀wúŋ
212	nose	TEL-Koshin-4	wúŋ / tə̀wúŋ
213	nose	KCS-Kung-3	ɥɪ́ / ɥɪ́ə́
214	nose	NJS-Kung-4	ɪ́wə́ʲ / ə̀wə̀ʲ
215	nose	NMN-Mundabli-3	wʊ́ŋ / wʊ̄ŋ kɪ́
216	nose	CEN-Mundabli-2	wʊ́ŋ / wʊ́ːŋ kō
217	nose	NGT-Munken-3	ɪ́ɲí / áɲîsə́
218	nose	NUN-Munken-4	ɪ́ɲí / áɲîː
219	nose	MCA-Ngun-3	ɪ̀ɲə́ŋ / àɲə́ŋ
220	nose	KBM-Ngun-4	ɪ̀ɲə́ŋ / àɲə́ŋ
221	mouth	NVB-Abar-7	òfàn / àmfàn~m̀fànmʷɪ̀
222	mouth	ECL-Abar-8	ʊ̀fàn / mʷɪ̀ɱfàn
223	mouth	NEM-Ajumbu-9	dzɨ́ / kə̀dzɨ́lə́
224	mouth	KDC-Ajumbu-10	dzɨ́ / kə̀dzə́lə́
225	mouth	ENB-BIYA-1	ʊ̀fʷə̀n / kə̀fʷə̀n
226	mouth	ICN-BIYA-2	ʊ̄fʷə̄n / áfʷə̄n
227	mouth	NNB-Buu-3	kə̀zé / bə̀dzə́gkpə́~bə̀dzə́gkpə́nə̄
228	mouth	MNJ-Buu-4	kə̀zéː / bə̀dzə́kpə́
229	mouth	KHK-FANG-12	dʒʲə᷇ː / bə̀dzə́kə̄
230	mouth	DPN-FANG-13	dʒʲə́ / bə̀dzə́kə̄
231	mouth	JGY-Koshin-3	kə́dzôː / bə́dzôː
232	mouth	TEL-Koshin-4	kə́zôː / bə́zôː
233	mouth	KCS-Kung-3	tsə́ʲ / tsə̄
234	mouth	NJS-Kung-4	tsə́ɪ́ / ə̀tsə́
235	mouth	NMN-Mundabli-3	dzʲɛ́ / dzʲɛ̀ː bɪ́
236	mouth	CEN-Mundabli-2	dzɛ́ / dzó
237	mouth	NGT-Munken-3	ʊ́fə̂n / áfə́nə̀sə́
238	mouth	NUN-Munken-4	ʊ́fə̂n / áfə̀nə̀~ áfə̂n
239	mouth	MCA-Ngun-3	ʊ̀fʷɛ̀n / àfʷɛ̀n
240	mouth	KBM-Ngun-4	ʊ̀fʷə̀n / àfʷə̀n
241	ear	NVB-Abar-7	kə̀tɔ́ŋó / ɪ̀tɔ́ŋóbî
