ID	Concept	Doculect	Value
163	man	ABS-Missong-1	ǹnò / bànɛ̂bʊ̄~ʊ́ɲʊ́ŋhʊ̃̄/bàɲʊ́ŋhʊ̃̄
164	man	AGA-Missong-2	n̄nō / bánɛ᷇ːbʊ̄ ~ǹnò/bànɛ᷇ː
165	woman	NMA-Abar-1	ʊ̀tʃɛ̂ló / bwɪ́tʃɛ̂ló
166	woman	NAC-Abar-2	ʊ̀tʃɛ̀lló /  bə̀tʃɛ̀lló
167	woman	NVI-Ajumbu-1	ŋʊ̀tsɔ̀ŋ / átsɔ̂ŋ
168	woman	KMN-Ajumbu-2	ŋʊ̀tsɔ̀ŋ / átsɔ̂ŋ
169	woman	KEM-Buu-1	pyə́sə́ / tyə́sə́
170	woman	KCY-Buu-2	pyésə́ / tyésə́
171	woman	KDV-Fang-1	ŋmə̀kpɛ̌ŋ / bə̀kɪ̌ŋ
172	woman	KJS-Fang-2	ŋmə̀kpɛ̌ŋ / bə̀kɪ̌ŋ
173	woman	ZKG-Kung-1	wə́zə̂ŋ / ə́ɣyə̂zə́ŋ
174	woman	BNM-Kung-2	wə̀zə̂ŋ / ɣɨ́ːzə́ŋə̀
175	woman	LFN-Mundabli-1	kpé / tʃé
176	woman	NIN-Mundabli-4	kpé / tʃébɛ́n
177	woman	NEA-Munken-1	ʊ̀tʃʊ̀ə̀lə́ / bə̀tʃʊ̀ə̀lə́ 
178	woman	TNT-Munken-2	ʊ̀tʃœ̀lə́ / bə̀tʃœ̀lə́
179	woman	WCA-Ngun-1	ʊ̀tʃʊ̀lʊ́ / bə̀tʃʊ̀lʊ́
180	woman	AOM-Ngun-2	ʊtʃûlʊ́ / bɛ̀tʃʊ̀lʊ́ ~bɛ̀tʃùlə́
181	woman	APB-Mumfu-1	kpɛ᷆ / tʃɛ᷆
182	woman	DNM-Mumfu-2	kpɛ᷇~tʃɛ̂ / tʃɛ᷇ː~tʃɛ́hɛ̄~tsɛ̂
183	woman	BKB-Mashi-2	mwɪ́kpān / bʊ́kǎbó
184	woman	KFK-Mashi-1	mwɪ́kpān / bʊ́kâːbó
185	woman	ABS-Missong-1	ʊ̀tʃʊ̀lə́ / bàtʃʊ̀lə́bʊ̄
186	woman	AGA-Missong-2	ʊ̀tʃœ̀lə́ / bàtʃœ̀lə́bū
187	person	NVB-Abar-7	ònò~ʊ̀nʊ̀ / ána᷇ː
188	person	ECL-Abar-8	ʊ̀nò / bʷɪ̀na᷇ː
189	person	NMA-Abar-1	ʊ̀nʊ̀ / bə́na᷇ː
190	person	NAC-Abar-2	ʊ̀nò / bə́na᷇ː
191	person	NEM-Ajumbu-9	ŋʊ̀ / ánɪ̂~ánîbə̄
192	person	NVI-Ajumbu-1	ŋʊ̀ / ánɪ̀
193	person	KMN-Ajumbu-2	ŋʊ̀ / ánɪ̂
194	person	KDC-Ajumbu-10	ŋʊ̀ / ànè
195	person	ENB-Biya-1	ʊ̀nʊ̀ / bə̀nô
196	person	ICN-Biya-2	ʊ̀nə̀~ʊ̀nò / bə̀nø̂
197	person	NNB-Buu-3	mgbɪ̀ / mbɪ́lə́
198	person	MNJ-Buu-4	mgbɪ̀ː / mbɪ᷇ːlə́
199	person	KEM-Buu-1	mgbɪ̀ / mbɪ̀ːlə̀
200	person	KCY-Buu-2	mgbɪ̀ / mbɪ́ːlə́
201	person	KHK-Fang-12	ŋmə̀ / ŋmɪ̀m
202	person	DPN-Fang-13	ŋmə̀~ŋmə̀tə̀ / ŋmɪ᷇ːm
203	person	JGY-Koshin-3	mùèɲ ~ mwèɲ / bə́nî
204	person	TEL-Koshin-4	mɥɪ̀ɲ / bə́nî
205	person	MRY-Koshin-2	mwɪ̀n  /  bə̀nɪ̀
206	person	KCS-Kung-3	wùò / àɣʲə᷇ː
207	person	NJS-Kung-4	wʊ̀ə̀ / ɣʲə᷇ː
208	person	ZKG-Kung-1	wùò / ə́ɣyə᷇
209	person	BNM-Kung-2	wʊ̀ə̀ / ə́ɣɨ᷇ː
210	person	NMN-Mundabli-3	mò / ḿbɛ̂ː
211	person	CEN-Mundabli-2	mò / mbɛ̂ː
212	person	LFN-Mundabli-1	mɔ̀wɔ́ / mbɛ̀ːbó
213	person	NIN-Mundabli-4	mò / mbɛːbɛ́n
214	person	NGT-Munken-3	ʊ̀nɛ̀ / bə̀nɛ̂
215	person	NUN-Munken-4	ʊ̀nè / bə́nê
216	person	NEA-Munken-1	ʊ̀nɛ̀ / bə́nɛ᷇ː
217	person	TNT-Munken-2	ʊ̀nɛ̀ló / bə̀nɛ̂bə̀ló
218	person	MCA-Ngun-3	ʊ̀nò / bɛ̀no᷇ː~áno᷇ː
219	person	KBM-Ngun-4	ʊ̀nò / bə́nô
220	person	WCA-Ngun-1	ɪ̀nò / bə̀nô
221	person	AOM-Ngun-2	ʊ̀nòː / bɛ́no᷇ː 
222	person	APB-Mumfu-1	ø / ø
223	person	DNM-Mumfu-2	màwɛ̌n / mbɛ̂ː
224	person	BKB-Mashi-2	mwɪ̀ / bʊ́ní
225	person	KFK-Mashi-1	mwɪ̀ / bʊ́ní
226	person	ABS-Missong-1	ǹnò / bànɛ̂bʊ̄
227	person	AGA-Missong-2	n̄nōwʊ́ / bànɛ᷇bʊ́~ǹnò / bànɛ᷇ː
228	male	NMA-Abar-1	ʊ̀ɲə́ŋhṍ / bwɪ̄ɲə́ŋhṍ
229	male	NAC-Abar-2	ʊ̀ɲə́ŋhȭ / bə́ɲə́ŋhȭ
230	male	NVI-Ajumbu-1	tsɪ̀ / ə̀kə́tsɪ̂~átsɪ̂
231	male	KMN-Ajumbu-2	ŋʊ̀dzʊ̀ŋ / âdû
232	male	KDV-Fang-1	ŋmə̀lə́sʊ̂ŋ / ŋmɪ̂bə̀lyœ̌sʊ̂ŋ
233	male	KJS-Fang-2	ŋmə̀lə́sʊ̂ŋ / bə̀lyœ̌sʊ̂ŋ
234	male	MRY-Koshin-2	ŋmɪ̀nɲʊ̂ /  bə̀nô
235	male	ZKG-Kung-1	wə̀nôː / ɣyə̂nôːɣə̀
236	male	BNM-Kung-2	nʊ̂ː / nʊ̂ːɣɨ̀
237	male	LFN-Mundabli-1	mònó / ø
238	male	NIN-Mundabli-4	mònó / nóːbɛ́n
239	male	NEA-Munken-1	ʊ̀nʊ̀ɱfə́~ʊ̀nɛ̀nʊ̀mfə́ / bə́nʊ́mfə̄
240	male	TNT-Munken-2	ʊ̀nʊ̀mfə́ / bə̀nnʊ́mfə́
241	male	WCA-Ngun-1	ɪ̀nɪ̀hɪ̃́ / bə́nɪ́hɪ̃̄
242	male	AOM-Ngun-2	ø / ø
243	male	APB-Mumfu-1	mànʊ̂ / nʊ̂ːbə́
244	male	DNM-Mumfu-2	ø
245	male	BKB-Mashi-2	mwɪ̀ɲǒmnɪ̄ / bʊ́nôbó
