ID	Concept	Doculect	Value
150	man	NIN-Mundabli-4	mō ~mònó / mbɛ̀ːbɛ́n ~nóbɛ́n
151	man	NEA-Munken-1	ʊ̀nɛ̀~ʊ̀nʊ̀ɱfə́ / bə́nɛ᷇ː~bə́nʊ́mfə̄
152	man	TNT-Munken-2	ʊ̀nɛ̀ / bə̀nnɛ̂
153	man	WCA-Ngun-1	ɪ̀nnò / bə̄no᷇ː
154	man	AOM-Ngun-2	ʊ̀nɪ̀hɪ́ / bɛ́nɪ᷇ː
155	man	APB-Mumfu-1	mà / mbɛ̂ː~nʊ̂ːbə́
156	man	DNM-Mumfu-2	mà / mbɛ̂ː
157	man	BKB-Mashi-2	mwɪ́ / bʊ́nɪ́
158	man	KFK-Mashi-1	mwɪ̀ɲómnɪ́ / bʊ́nôbó
159	man	ABS-Missong-1	ǹnò / bànɛ̂bʊ̄~ʊ́ɲʊ́ŋhʊ̃̄/bàɲʊ́ŋhʊ̃̄
160	man	AGA-Missong-2	n̄nō / bánɛ᷇ːbʊ̄ ~ǹnò/bànɛ᷇ː
161	woman	NMA-Abar-1	ʊ̀tʃɛ̂ló / bwɪ́tʃɛ̂ló
162	woman	NAC-Abar-2	ʊ̀tʃɛ̀lló /  bə̀tʃɛ̀lló
163	woman	NVI-Ajumbu-1	ŋʊ̀tsɔ̀ŋ / átsɔ̂ŋ
164	woman	KMN-Ajumbu-2	ŋʊ̀tsɔ̀ŋ / átsɔ̂ŋ
165	woman	KEM-Buu-1	pyə́sə́ / tyə́sə́
166	woman	KCY-Buu-2	pyésə́ / tyésə́
167	woman	KDV-Fang-1	ŋmə̀kpɛ̌ŋ / bə̀kɪ̌ŋ
168	woman	KJS-Fang-2	ŋmə̀kpɛ̌ŋ / bə̀kɪ̌ŋ
169	woman	ZKG-Kung-1	wə́zə̂ŋ / ə́ɣyə̂zə́ŋ
170	woman	BNM-Kung-2	wə̀zə̂ŋ / ɣɨ́ːzə́ŋə̀
171	woman	LFN-Mundabli-1	kpé / tʃé
172	woman	NIN-Mundabli-4	kpé / tʃébɛ́n
173	woman	NEA-Munken-1	ʊ̀tʃʊ̀ə̀lə́ / bə̀tʃʊ̀ə̀lə́ 
174	woman	TNT-Munken-2	ʊ̀tʃœ̀lə́ / bə̀tʃœ̀lə́
175	woman	WCA-Ngun-1	ʊ̀tʃʊ̀lʊ́ / bə̀tʃʊ̀lʊ́
176	woman	AOM-Ngun-2	ʊtʃûlʊ́ / bɛ̀tʃʊ̀lʊ́ ~bɛ̀tʃùlə́
177	woman	APB-Mumfu-1	kpɛ᷆ / tʃɛ᷆
178	woman	DNM-Mumfu-2	kpɛ᷇~tʃɛ̂ / tʃɛ᷇ː~tʃɛ́hɛ̄~tsɛ̂
179	woman	BKB-Mashi-2	mwɪ́kpān / bʊ́kǎbó
180	woman	KFK-Mashi-1	mwɪ́kpān / bʊ́kâːbó
181	woman	ABS-Missong-1	ʊ̀tʃʊ̀lə́ / bàtʃʊ̀lə́bʊ̄
182	woman	AGA-Missong-2	ʊ̀tʃœ̀lə́ / bàtʃœ̀lə́bū
183	person	NVB-Abar-7	ònò~ʊ̀nʊ̀ / ána᷇ː
184	person	ECL-Abar-8	ʊ̀nò / bʷɪ̀na᷇ː
185	person	NMA-Abar-1	ʊ̀nʊ̀ / bə́na᷇ː
186	person	NAC-Abar-2	ʊ̀nò / bə́na᷇ː
187	person	NEM-Ajumbu-9	ŋʊ̀ / ánɪ̂~ánîbə̄
188	person	NVI-Ajumbu-1	ŋʊ̀ / ánɪ̀
189	person	KMN-Ajumbu-2	ŋʊ̀ / ánɪ̂
190	person	KDC-Ajumbu-10	ŋʊ̀ / ànè
191	person	NNB-Buu-3	mgbɪ̀ / mbɪ́lə́
192	person	MNJ-Buu-4	mgbɪ̀ː / mbɪ᷇ːlə́
193	person	KEM-Buu-1	mgbɪ̀ / mbɪ̀ːlə̀
194	person	KCY-Buu-2	mgbɪ̀ / mbɪ́ːlə́
195	person	KHK-Fang-12	ŋmə̀ / ŋmɪ̀m
196	person	DPN-Fang-13	ŋmə̀~ŋmə̀tə̀ / ŋmɪ᷇ːm
197	person	JGY-Koshin-3	mùèɲ ~ mwèɲ / bə́nî
198	person	TEL-Koshin-4	mɥɪ̀ɲ / bə́nî
199	person	DPJ-Koshin-1	mʷə̀n  /  bə̀nɪ̀
200	person	MRY-Koshin-2	mwɪ̀n  /  bə̀nɪ̀
201	person	KCS-Kung-3	wùò / àɣʲə᷇ː
202	person	NJS-Kung-4	wʊ̀ə̀ / ɣʲə᷇ː
203	person	ZKG-Kung-1	wùò / ə́ɣyə᷇
204	person	BNM-Kung-2	wʊ̀ə̀ / ə́ɣɨ᷇ː
205	person	NMN-Mundabli-3	mò / ḿbɛ̂ː
206	person	CEN-Mundabli-2	mò / mbɛ̂ː
207	person	LFN-Mundabli-1	mɔ̀wɔ́ / mbɛ̀ːbó
208	person	NIN-Mundabli-4	mò / mbɛːbɛ́n
209	person	NGT-Munken-3	ʊ̀nɛ̀ / bə̀nɛ̂
210	person	NUN-Munken-4	ʊ̀nè / bə́nê
211	person	NEA-Munken-1	ʊ̀nɛ̀ / bə́nɛ᷇ː
212	person	TNT-Munken-2	ʊ̀nɛ̀ló / bə̀nɛ̂bə̀ló
213	person	MCA-Ngun-3	ʊ̀nò / bɛ̀no᷇ː~áno᷇ː
214	person	KBM-Ngun-4	ʊ̀nò / bə́nô
215	person	WCA-Ngun-1	ɪ̀nò / bə̀nô
216	person	AOM-Ngun-2	ʊ̀nòː / bɛ́no᷇ː 
217	person	APB-Mumfu-1	ø / ø
218	person	DNM-Mumfu-2	màwɛ̌n / mbɛ̂ː
219	person	BKB-Mashi-2	mwɪ̀ / bʊ́ní
220	person	KFK-Mashi-1	mwɪ̀ / bʊ́ní
221	person	ABS-Missong-1	ǹnò / bànɛ̂bʊ̄
222	person	AGA-Missong-2	n̄nōwʊ́ / bànɛ᷇bʊ́~ǹnò / bànɛ᷇ː
223	male	NMA-Abar-1	ʊ̀ɲə́ŋhṍ / bwɪ̄ɲə́ŋhṍ
224	male	NAC-Abar-2	ʊ̀ɲə́ŋhȭ / bə́ɲə́ŋhȭ
225	male	NVI-Ajumbu-1	tsɪ̀ / ə̀kə́tsɪ̂~átsɪ̂
226	male	KMN-Ajumbu-2	ŋʊ̀dzʊ̀ŋ / âdû
227	male	KDV-Fang-1	ŋmə̀lə́sʊ̂ŋ / ŋmɪ̂bə̀lyœ̌sʊ̂ŋ
228	male	KJS-Fang-2	ŋmə̀lə́sʊ̂ŋ / bə̀lyœ̌sʊ̂ŋ
229	male	DPJ-Koshin-1	mʷə̀nɲû (mʷìn)  /  bə̀nô
230	male	MRY-Koshin-2	ŋmɪ̀nɲʊ̂ /  bə̀nô
231	male	ZKG-Kung-1	wə̀nôː / ɣyə̂nôːɣə̀
232	male	BNM-Kung-2	nʊ̂ː / nʊ̂ːɣɨ̀
233	male	LFN-Mundabli-1	mònó / ø
234	male	NIN-Mundabli-4	mònó / nóːbɛ́n
235	male	NEA-Munken-1	ʊ̀nʊ̀ɱfə́~ʊ̀nɛ̀nʊ̀mfə́ / bə́nʊ́mfə̄
236	male	TNT-Munken-2	ʊ̀nʊ̀mfə́ / bə̀nnʊ́mfə́
237	male	WCA-Ngun-1	ɪ̀nɪ̀hɪ̃́ / bə́nɪ́hɪ̃̄
238	male	AOM-Ngun-2	ø / ø
239	male	APB-Mumfu-1	mànʊ̂ / nʊ̂ːbə́
240	male	DNM-Mumfu-2	ø
241	male	BKB-Mashi-2	mwɪ̀ɲǒmnɪ̄ / bʊ́nôbó
242	male	KFK-Mashi-1	mwɪ̀ɲǒmnɪ̄ / bʊ́nôːbó
243	male	ABS-Missong-1	ʊ̀tʃʊ̀lə́ / bàtʃʊ̀lə́
244	male	AGA-Missong-2	nòːɲúŋhʊ̄ / bánɛ᷇báɲúŋhʊ̄
245	wife	NMA-Abar-1	tʃû / bwɪ́tʃú
246	wife	NAC-Abar-2	tʃə̂m /  bə́tʃə́m
