OrderingID,Concept,GroupID,Concept Group
347,song,,Music
348,dance,,Music
349,k.o. dance,,Music
350,female youth dance,,Music
351,male youth dance,,Music
352,sacred dance,,Music
353,elders dance,,Music
354,Fang annual dance,,Music
355,"k.o female dance, female rite society",,Music
356,flute dance,,Music
357,flute,,Music
358,horn trumpet (cow),,Music
359,ankle rattle (women),,Music
360,xylophone,,Music
361,gong,,Music
362,ankle rattle (men),,Music
363,piano (bamboo),,Music
364,piano (string),,Music
365,musical pipe,,Music
366,drum (bothside),,Music
367,small drum,,Music
368,long drum,,Music
369,short drum,,Music
370,flute (horizontal),,Music
371,flute (vertical),,Music
372,horn trumpet,,Music
373,k.o song,,Music
374,box rattle (zinc),,Music
375,hand rattle (cane),,Music
376,cutlass,,Metallic Tools
377,knife,,Metallic Tools
378,axe,,Metallic Tools
379,hoe,,Metallic Tools
380,iron,,Metallic Tools
381,zinc,,Metallic Tools
382,ring,,Metallic Tools
383,pot,,Metallic Tools
384,razor blade,,Metallic Tools
385,dish,,Metallic Tools
386,soup dish,,Metallic Tools
387,slimy soup dish,,Metallic Tools
388,fufu dish,,Metallic Tools
389,knitting pin,,Metallic Tools
390,nail,,Metallic Tools
391,spear,,Metallic Tools
392,tapping knife,,Metallic Tools
393,shaving knife,,Metallic Tools
394,iron trap,,Metallic Tools
395,bell,,Metallic Tools
396,clock,,Metallic Tools
397,watch,,Metallic Tools
398,tapping hoe,,Metallic Tools
399,cooking spoon,,Metallic Tools
400,tapping pipe,,Metallic Tools
401,trap (partridge),,Metallic Tools
402,cutlass (big),,Metallic Tools
403,money,,Metallic Tools
404,k.o trap (for partridge),,Metallic Tools
405,trap (2),,Metallic Tools
406,k.o spear (large head),,Metallic Tools
407,k.o spear (sharp head),,Metallic Tools
408,k.o spear (fins),,Metallic Tools
409,dish (aluminium),,Metallic Tools
410,"ring (hand, ear)",,Metallic Tools
411,needle,,Metallic Tools
412,dish (pan),,Metallic Tools
413,bicycle,,Metallic Tools
414,cutlass (small),,Metallic Tools
415,k.o trap,,Metallic Tools
416,tyre (car),,Metallic Tools
417,bamboo rattle,,Wooden Tools
418,bridge,,Wooden Tools
419,thongs,,Wooden Tools
420,fire side stone support,,Wooden Tools
421,doorway (space),,Wooden Tools
422,tapping-pipe,,Wooden Tools
423,pen,,Wooden Tools
424,book,,Wooden Tools
425,funnel,,Wooden Tools
426,umbrella,,Wooden Tools
427,native umbrella,,Wooden Tools
428,pillar,,Wooden Tools
429,cup,,Wooden Tools
430,broom,,Wooden Tools
431,calabash,,Wooden Tools
432,pipe,,Wooden Tools
433,fire,,Wooden Tools
434,gun,,Wooden Tools
435,"fire, gun",,Wooden Tools
436,pestle (cocoyam),,Wooden Tools
437,pestle (fufu),,Wooden Tools
438,"trough, (cocoyam, cow)",,Wooden Tools
439,canoe,,Wooden Tools
440,roof,,Wooden Tools
441,mortar,,Wooden Tools
442,comb,,Wooden Tools
443,trap,,Wooden Tools
444,k.o trap (a dug hole),,Wooden Tools
445,trap (rope-bone),,Wooden Tools
446,trap (inclined stone),,Wooden Tools
447,k.o trap (neck trap),,Wooden Tools
448,chair (plank),,Wooden Tools
449,wooden dish,,Wooden Tools
450,spoon,,Wooden Tools
451,wooden spoon,,Wooden Tools
452,spoon (calabash),,Wooden Tools
453,pap spoon,,Wooden Tools
454,spoon (vegetables),,Wooden Tools
455,bamboo-piano,,Wooden Tools
456,wooden dish (leg),,Wooden Tools
457,calabash (wine share),,Wooden Tools
458,calabash (no hole),,Wooden Tools
459,calabash (ball),,Wooden Tools
460,calabash (long neck),,Wooden Tools
461,calabash (peace plant),,Wooden Tools
462,calabash (wine),,Wooden Tools
463,salt calabash,,Wooden Tools
464,child calabash,,Wooden Tools
465,twin calabash,,Wooden Tools
466,calabash (half ball),,Wooden Tools
467,calabash (wine container),,Wooden Tools
468,calabash (for twins),,Wooden Tools
469,calabash (ballshape),,Wooden Tools
470,saucer (calabash),,Wooden Tools
