"OrderingID","Concept","NVB-Abar-7","ECL-Abar-8","NEM-Ajumbu-9","KDC-Ajumbu-10","ENB-BIYA-1","ICN-BIYA-2","NNB-Buu-3","MNJ-Buu-4","KHK-FANG-12","DPN-FANG-13","JGY-Koshin-3","TEL-Koshin-4","KCS-Kung-3","NJS-Kung-4","KFK-Mashi-1","BKB-Mashi-2","ABS-Missong-1","AGA-Missong-2","APB-Mumfu-1","DNM-Mumfu-2","NMN-Mundabli-3","CEN-Mundabli-2","NGT-Munken-3","NUN-Munken-4","MCA-Ngun-3","KBM-Ngun-4"
"57","nose","ɪ̀ɲə́ŋ / ńɲə́ŋmʷɪ̂","ɪ̀ɲə́ŋ / mʷɪ̀nɲə́ŋ~ǹɲə́ŋ","vǘ / vǘlə́kə̄~kə̀vǘlə́","vǘ / kə̀vǘlə́~ávǘlə́","ɪ̀ɲə́ŋ / kə̀ɲə́ŋ NGUN","ɪ̀ɲí / àɲí","wúŋ / kə̀wúŋ~kə́wúŋtə́nə̄","wʊ́ŋ / kə̀wʊ́ŋtə́","wu᷇ː / tə̀wu᷇ː","wū / tə̀wu᷇ː","wúŋ / tə̀wúŋ","wúŋ / tə̀wúŋ","ɥɪ́ / ɥɪ́ə́","ɪ́wə́ʲ / ə̀wə̀ʲ","dʒʊ́ / dʒʊ́ŋ","dʒʊ́ / dʒʊ́ŋ","ɪ̀ɲʊ́ / àɲʊ́","ɪ́ɲǘ / áɲǘwū","wʊ́ŋ / wʊ́ŋkə́ ~ wʊ́ŋ / wʊ́ŋ","wʊ́ŋ / wʊ́ŋkɛ́","wʊ́ŋ / wʊ̄ŋ kɪ́","wʊ́ŋ / wʊ́ːŋ kō","ɪ́ɲí / áɲîsə́","ɪ́ɲí / áɲîː","ɪ̀ɲə́ŋ / àɲə́ŋ","ɪ̀ɲə́ŋ / àɲə́ŋ"
"58","mouth","òfàn / àmfàn~m̀fànmʷɪ̀","ʊ̀fàn / mʷɪ̀ɱfàn","dzɨ́ / kə̀dzɨ́lə́","dzɨ́ / kə̀dzə́lə́","ʊ̀fʷə̀n / kə̀fʷə̀n","ʊ̄fʷə̄n / áfʷə̄n","kə̀zé / bə̀dzə́gkpə́~bə̀dzə́gkpə́nə̄","kə̀zéː / bə̀dzə́kpə́","dʒʲə᷇ː / bə̀dzə́kə̄","dʒʲə́ / bə̀dzə́kə̄","kə́dzôː / bə́dzôː","kə́zôː / bə́zôː","tsə́ʲ / tsə̄","tsə́ɪ́ / ə̀tsə́","ádzé / bídzé","ádzé / bídzé","ʊ̄fān / áfán","ʊ́fân / āfánwō~ɪ́fánə̀","dzák / dzákkə́ ~ dzák/ dzák","zák / zákkɛ́","dzʲɛ́ / dzʲɛ̀ː bɪ́","dzɛ́ / dzó","ʊ́fə̂n / áfə́nə̀sə́","ʊ́fə̂n / áfə̀nə̀~ áfə̂n","ʊ̀fʷɛ̀n / àfʷɛ̀n","ʊ̀fʷə̀n / àfʷə̀n"
"59","ear","kə̀tɔ́ŋó / ɪ̀tɔ́ŋóbî","kə̀tɔ́ŋɔ́ / bìtɔ́ŋɔ́","kə̀tʊ́ŋ / bə̀tʊ́ŋ","kə́tʊ́ŋ / bə́tʊ́ŋ","kə̀tɔ́ŋə́~kə̀tɔ́ŋá / bìtɔ́ŋə́~bìtɔ́ŋá","kə̀tɔ́ŋ / bìtɔ́ŋ","kə̀túŋə́ / bə́túŋə́","kə̀tʊ́ŋə́ / bə́tʊ́ŋmgbə́","túə́~túə́ŋ / bə̀túə́~bə̀túə́ŋ","tʷə́ŋ / bə̀tʷə́ŋ","kə̀túŋ / bə̀túŋ","kə̀túŋ / bə̀tṹ ~ bə̀túŋ","kə̀tʊ᷇ːŋə́ / ʊ́tʊ᷇ːŋə́","kə̀tʊ̂ŋə́ / ʊ̀tʊ̂ŋə́","átʊ́ / bítʊ́","átʰʊ̂ / bítʊ́","kìntʃʊ́ŋ / bìntʃʊ́ŋ","kìntʃʊ́ŋ / bìntʃʊ́ŋbī","tʃɔ́m / tʃɔ́mbə́~tʃɔ́m / tʃɔ́m","tʃɔ́ːn / tʃɔ́mbɛ́","tʃʊ́ŋ / tʃʊ́ŋ~tʃɔ́m","tʃʊ́ŋ / tʃɔ́m","àtɔ́ŋ / bìtɔ́ŋ","átɔ́ŋ / bítɔ́ŋ","kə̀tɔ́ŋə́~àtɔ́ŋə́ / bìtɔ́ŋə́~ɪ̀tɔ́ŋə́","kə̀tɔ́ŋə́ / bìtɔ́ŋə́"
"60","jaw","kə̀ⁿbàŋó / m̀bàŋə́bî~ɪ̀mbàŋə́","kə̀ⁿbàŋó~ⁿbàŋó / bìⁿbàŋó~ⁿbàŋó","kə̀ⁿbàŋ / bə̀ⁿbàŋ","kə̀ⁿbàŋ / bə̀ⁿbàŋ","kə̀jó / bìjó","kə̀jɔ́hɔ̄ / bìjɔ́hɔ̄","kə̀mbàŋ / bə̀mbàŋ","kə̀mbàŋ / bə̀mbàŋ","kə̀ⁿbàŋ / bə̀ⁿbàŋ","kə̀ⁿbàŋ / bə̀ⁿbàŋ","kə̀mbàŋ / bə̀mbàŋ","kə̀mbàŋ / bə̀mbàŋ","bɔ́ŋɪ̀ / bɔ̂ŋsə̀ ~ bɔ̂ŋ","kə̀bɔ̂ŋ / ʊ̀bɔ̂ŋ","kɔ́ / kɔ́t ~kɔ́ŋ","kɔ́ / kɔ́ ~kɔ́ŋ","kìyáhā / bìyáhā","kìyáhá / bìyáhá","mgbàŋ / mgbàŋbə̌ ~ mgbàŋ/mgbàŋ","mgbàŋ / mgbàŋbɛ́","mgbàŋ / mgbàŋ bɪ́","mgbǎŋ / mgbǎːŋ","àyòhó / bíyòːsə́","àyòhò / bìyòhò","ɪ̀jó / àjó","àjúó / ɪ́júó~ájúó"
"61","tooth","ɪ́zán / ānzán","ɪ̀zán / ǹzán~mʷɪ̀nzán","zán / ázáɲ","záɲ / kə̀záːnə́~àzáːnə́~àzáɲ","ɪ̀zə́n / kə̀zə́n","ɪ̀zə́n~ìdzə́n / āzə́n~àdzə́n","yɛ́n / kə̀yɛ́ntə́nə̄","yɛ́n / kə̀yɛ́ntə́","wə᷇n / jɛ́n","wə᷇ːn / jə́n","wɪ́ɲ / dʒéɲ","ɥɪ́ɲ / dʒɪ́ɲ","ìsɔ᷇ːŋ / sɔ̃́ə̃́ ~ sɔ́ŋə́","ɪ̀sɔ᷇ːŋ / ə̄sɔ᷇ːŋ","ágílə̄ / gə́klɪ́","ágídə̄ / bígídə́","ɪ̀zán / àzán","ɪ́zán / ázánnō~ázán","yɛ́n / yɛ́nkə́ ~ yɛ́n / yɛ́n","yɛ́n / yɛ́nkɛ́","yɛ́n / yɛ̄n kɪ́","yɛ́n / yɛ́n kó","ɪ́zə́n / ádzə́nə̀sə́","ɪ́zə́n / ázə́n","ɪ̀zɛ́n / āzɛ́n","ɪ́zɛ́n / ázɛ́n"
"62","tongue","ɪ̀lám / ánlámmʷɪ̂","ɪ̀lám / kìlám~ǹlám","lámə́ / kə̀lámə́","lámə́ / kə̀láːmə́","ɪ̀lám / kə̀lám","ɪ̀lám / ālám","lɪ́m / kə̀lɪ́mtə́","lɪ́m / kə̀lɪ́mtə́","lɪ᷇ːm / tə̀lɪ᷇ːm","lɪ᷇ːm / tə̀lɪ́ːm~tə̀líːmkpə̄","lə́m / tə̀lə́m","lə́m / tə̀lə́m","kə̀nám / ʊ́nʷám","kə̀nə́m / ʊ̀nə́m","lɪ́ / lə́ŋ","lɪ́ / lə́ŋ","ɪ̀lám / àlám","ɪ̀lám / álámnō","lyém / lyémkə́ ~ lyɛ́m / lyɛ́m","lyə́n / lyə́nkə́","lʲə́m / lʲə̄m kɪ́","lʲə́m / lʲə̀ːm ká","ɪ́lám / álámə̀sə́","lám / àlàm","ɪ̀lám / kə̀lám","ɪ̀lám / àlám"
"64","belly","àmbɪ́n~ɪ̀bɪ́n/àmbɪ́nmʷɪ̂~àmbɪ́n","m̀bɪ́ ~ ɪ́bɪ́ / mʷɪ̀mbɪ́~m̀bɪ́ː","kʷə́ / àkʷə́","kʷə́~àkʷə́ / ákʷə́~kə̀kʷə́lə́","kə̀jʲá / bìjʲá NGUN ~ kə̀jʲɛ́ / bìjʲɛ́ BIYA","kə̀jʲá / bìjʲá","kʷú / kə́kʷútə́","kʷú / kə̀kʷúːtə́","kʊ̂m / kʊ̂m","kʊ̂m / tə̀ŋkʊ̂m","kʷə́ / bə́kʷə́","kʷə́ / tə̀kʷə́","ʊ̀nɛ̂ː / m̀nɛ̂ː","ʊ̀nɛ̂ː / sə̀nɛ̂ ~ ḿnɛ̂","ʊ́lâp / múnâm","ʊ́lâp / múna᷇ːm","ìbêː / àbêː","ábêː ~ ábêwú","kú / kóyə́","kʷú / kʷúkɛ́n","kʷú / kʷú","kʷú / kʷű","ábɪ́ / ábɪ́lə́","ábé / ábé","àbé / bìbə́~àbé","àbɪ́ / ábɪ́"
"68","hair","ófʷɪ́ / ɪ́fʷɪ̂ː","ʊ̄fʷɪ́ / kīfʷɪ́~īfʷɪ́","vúlə́ / kə̀vúlə́","fɔ̂lə̀~fʷò / kə́fɔ̂lə̀~fʷólə́","ʊ̀fʷé~ʊ̀fʷɪ́/ kə̀fʷé","ʊ̀fʷɪ́/ àfʷɪ́","kə́fʊ̂ː / bə́fʊ̂ː","kə̀fʊ̀ː / bə̀fʊ̀ː","fʊ̂ː / tə́fʊ̂ː","fù / bə̀fù","kə́fû / bə́fû","kə́fû / bə́fû","ɪ̀ɲʊ̂ŋ / sə̀ɲʊ̂ŋ","ɪ̀ɲʊ̂ŋ / sə̀ɲʊ̂ŋ","dzʊ̌ / dzʊ́ŋ","dzʊ̌ / dzʊ́ŋ","ʊ́fʊ̂ / áfʊ̂","ʊ́fû / ʊ́fúwū","fôʔ / fôʔbə́","fʊ̂ʔ / fʊ̂ʔkɛ́n","fɒ̀ɦ / fɒ̀ɦ kɪ́","fɒ̀ɦ / fɒ̂ɦ","ʊ̀fí / áfísə́","ʊ̀fí / ɪ́fí","ʊ̀fí / ɪ̀fí~bə̀ʊ̀fí~ìfí","ʊ̀fí / ɪ̀fí"
"71","breast","m̀bə́n / àmbə́nmʷɪ̂","ɪ̄bə́n / mʷɪ̀nbə́n","bɪ̂ɲ / ábɪ̂ɲ","bâːnə̀ / kə́bâːnə̀","ɪ̀bʲɛ́n / kə̀bʲɛ́n","ɪ̄bʲɛ́n / àbʲɛ́n","bɛ̂n / kə́bɛ̂ntə́","bèːn / bʲɛ᷇ːn","bínə̄ / tə̀bínə̄","bínə̄ / bʲə́n","ḿⁿbɛ̂ɲ / ø ~ ḿⁿbɛ̂ːɲ","mbɛ̂ɲ / tə́mbɛ̂ɲ","ìɣɛ̌ʲ / ɣéʲ","ɪ̀ɣáɪ́ / ə̀ɣáɪ́","mbêːn / mbêːn","mbêːn / ø","ɪ́bə᷇ːn / ábə᷇ːn","ábə̂n~ɪ́bə́n / ábə̂nwʊ̄~ábə́n","byâːn / byâːnkə̌","byân / byânkɛ̌","bíàn / bìàn kɪ́","bʲàn / bʲân","ɪ́bʲə́n / ábʲə́nə̀sə́","ɪ́bʲɛ́n / ábʲɛ́n","ɪ̀bʲɛ́n / àbʲɛ́n","ɪ́bʲɛ́n / ābʲɛ́n"
"79","hand","ōkán / àŋkánmʷɪ̂","ʊ̀kán / mʷɪ̀nkán~ŋ̀kàn","kàɲ / àkàɲ","ákâɲ / kə́kâːnə̀","ʊ̀kán / kə̀kán","ʊ́kán / ákán","tsɪ̀n / kə́tsɪ̂ntə́","tsɪ̀ːn / tsɪ᷇ːn","kālə̀ / kā","kálə̄ / kātɛ᷇ː ~ kā","kɔ̃̂ / ø","tsèɲ / tsêɲ ~ tsèɲ (yá)","kə̀ɣú / ɣúó","kə̀ɣó / ə̀ɣó","ábán / bíbán","ábáŋ / bíbán","ʊ́kə᷇ːn / kíkə̄nnō","ʊ́kə̂n / ákə́nwū","kɛ̂ / kɛ̂yə̌ː","kɛ̂ / kɛ̂yə̌N","tsǎːn / tsàːn yí","kê / kê","ʊ́kɛ́ / ákâsə́","ʊ́kɛ́ / ákɛ́","ʊ̀kán / àkán","ʊ̄kán / ākán"
"80","stomach","kə̀tòm / ɪ̀tòmbî","kə̀tòm / bìtòːm","bàtàlə́ / àbàtàlə́","kə́tʷáːmə̀ / bə́tʷáːmə̀","kə̀ntɔ̀m / bìntɔ̀m","kə̀ntɔ̀m / bìntɔ̀m","kə̀tʊ̀m / bə̀tʊ̀m","kə̀tòm / bə̀tòm","tǿːmə́ / bə̀tø̄ːmə́","tʊ̀ːmə́ / bə̀tʊ̀ːmə́","kə̀ntʊ̀ːmə̀ / bə̀ntʊ̀ːmə̀","kə̀ntɪ̃̀ːkə̀ / bə̀ntɪ̃̀ːkə̀","kə̀to᷇ːm / ùtôːm","kə̀tǒːm / ʊ̀tǒːm","átót / bítót","átót / bító","ʊ́tôm / kítómnə̄","ǹtsʊ́lə́ ~ʊ̀tɔ̀m /bàntsʊ́lóbʊ́ ~bàntɔ̀mbú","tyòm / tyômyə̌","tyòm / tyômKə̄","tʷòm / tʷòm","tɥòm / tʷɥòmbóɦ","ǹtʊ̀m / bìntʊ̀m","àntʊ̀m / bìntʊ̀m","kə̀ⁿtɔ̀m / bìⁿtɔ̀m~ìⁿtɔ̀m","kə̀ⁿtòm / bìⁿtòm"
"105","intestine","kɪ̀já / ɪ̀já","kɪ̀já~ìjá / bìjá~ìjá","kə́zôː / bə́zô","kə́zɔ̂ / bə́zɔ̂","kə̀jʲá / bìjʲá","kə̀jʲá / bìjʲá","kə́yʲâ / bə́yʲâ","kə́yʲa᷇ː / bə́yʲa᷇ː","lɘ̀ɣ / bə̀lɘ̀ɣ","lɘ̂ːɣ / bə̀lɘ̂ːɣ","dʒánə́ / tə́dʒâː","dʒánə́ / tə́dʒâː","ɪ̀ndʒʲə᷇ː / sə̀ndʒʲə᷇ː","ɪ̀ndʒʲə᷇ / sə̀ndʒʲə᷇","fínâm / múnâm","múnâm / ø","kíyə́lə̄ / bìyə́lə̄","kíyə́lə̄~bíyə́lə̄ / bíyə́lə̄bī","yɛ̂ʔ / yɛ̂ʔbə̌","yɛ́ʔɛ́ / yɛ́ʔɛ̀bə́","yâɦ / yâ","yâːɦ / yâːbóɦ","ɪ́yá / kìyá","ɪ́yákə́/ kìyákə́","kə̀já~ájá / bìjʲá~ɪ̀yá","kə́já / bíjá"
"107","heart","ǹʃàm / ànʃàmmʷɪ̀","ǹʃàm~ɪ̀ʃǎm / mʷɪ̀nʃàn ~ ǹʃām","ʃìn ~ ʃʲé / kə̀ʃìnnə̀","ʃìn~ʃʲé / kə́ʃʲélə̀","ɪ̀ʃǎm / kə̀ʃàm","ɪ̀ʃām / āʃām","ʃím / kə́ʃîmtə́","ʃɪ̌ːm / kə́ʃɪ́mtə́","sīm / sím","sìm / sím~tə̀símkpə́","ʃə́m / ø","ʃə́m ~ ʃɛ́m / ø ~ ʃɛ̀m (yə́nə́)","ítám / tə́ɣ","tɑm / ə̀tɑ́m","ʃə̄m / ʃə́m","ʃə̄m / ʃə́m","ìʃám / áʃám","ɪ́ʃām / áʃáMú","ʃám / ʃámyə́","ʃām / ʃāmyɛ́n","sám / sām","sám / sām","ɪ́ʃámâ / áʃámàsə́","ɪ̀ʃàm / àʃàm","ɪ̀ʃàm / àʃàm","ɪ̀ʃàm / àʃàm"
"122","blood","ánʃám / ánʃám~ńʃámmʷɪ̂","ǹʃám / mʷɪ̀nʃám~ǹʃǎm","m̩̀fʷɪ́ɲ / m̩̀fʷɪ́nlə́","m̩̀fɥɪ́ɲ / m̩̀fɥɪ́ɲ","ḿ̩fʲám / ḿ̩fʲám","m̩̀fʲám / m̩̀fʲám","ǹʃʷóm / ø","ǹʃóm / kə̀nʃómtə́","lɪ́mə̄ / bə̀lɪ́mə̄","lɪ́mə̄ / bə̀lɪ́mə̄","ŋ́fṹə̃́ / ø","ŋ́fṹə̃́ /  fṹã́","nâm / ǹnám","ǹnə́m / nɑ́mə̀","mʊ́ndzâːn / ø","mʊ́ndzâːn / ø","fìndʒáhá ~ńdʒáhá~ándʒáhá / ándʒáhá ~àndʒáhá~","àndʒáhá / àndʒáhámū","ńdzâː / ńndzâːmə̌","dzà~ndzâ / ndzâmɛ̌n~ndzàː","m̀fə́ɦm / m̀fə̄ɦm mɪ́","m̀fɒ́ɦm / m̀fɒ́ɦm","ńʃām / ńʃâmə̀sə́","ńʃām / ńʃámɪ̂","m̩̀fʲǎm / m̩̀fʲǎm","fʲám / m̩̀fʲǎm"
"129","horn (head)","ɪ̀kpàhà / àŋkpàhàmʷɪ̀","ɪ̀kpàhà / kìkpàhà","kpàsə̀ / kə́kpásə́~ákpâsə́","kpâsə̀ / ákpásə̄~kə̀kpàsə̀","ɪ̀kpáhá / kə̀kpáhā","ɪ́kpáhá / ákpáhā","kə́te᷇ː / ńte᷇ː","kə̄tēː / bə̀tēː","tə́kə̄ / bə̀tə́kə̄","tə́kə̄ / bə́tə́kə̄","kə́tə̂ / bə́tə̂","kə́tə̂ / bə́tə̂","ndɔ̄ŋ / sə̀ndɔ̄ŋ","ndɔ́ŋ / sə́ndɔ́ŋ","bwéwámɪ́dzə́m / bə́nàmɪ́dzə́m","bwèwêtdzə́mə́ / bènʊ́dzə́m","fínʃa᷇ːŋ / ánʃa᷇ːŋ","ànʃâŋ / ànʃâŋmū","ʃɛ̂n / ʃɛ̂nyə̌","ʃɛ̄n / ʃɛ̂nyɛ̌n","tɒ̂ː / tɒ̂","tɒ̂ɦː / tɒ̂ɦː","ɪ̀kpàhà / kìkpàhà","ɪ̀kpàhà / kíkpáhá","ɪ̀kpáhá / kə̀kpáhā","ɪ̀kpáhá / àkpàhà~kə̀kpàhà"
"135","gizzard (fowl)","kə́kʷá~ákʷá / ɪ́kʷábî","kə̀ʃáhá / bíʃáhá","kə̀tám / bə̀tám","kə́tám / bə́tám","kə̀ntɔ̀m / bìntɔ̀m","kə̄kʷān / bìkʷān ~ kə̄kʷã̄ / bìkʷã̄","kə̀tʊ̀m / bə̀tʊ̀m","kə̀tòːm / bə̀tòːm","ʃâːlə́ / ʃáːlə́","ʃàlə́ / ʃálə́","ʃʲálə́ / ʃʲálə́","ʃʲáːlə́ / tə́ʃʲáːlə́","sèʲ~sʲɪ̌ / sə̀sèʲ~sɪ̀sə́","séʲ / sə́séʲ","ŋyàɲyə̀ / ø","ŋyàɲyə̀ / bʊ́ŋyàɲyə́","ǹnànnə̀ / ø","n̄nánnə́ / bānánnə́","ŋwɛ̀ʔn / ø","wɛ̀ʔn / ø","sěː / sé","sěː / sé","áʃóhâ / bíʃáhâ","áʃáhā / bíʃáhā~kíʃáhā","ɪ̀ʃàm~ɪ̄ʃām / àʃàm~áʃám","kə̀kʷò / ɪ̀kʷò"
"202","grass","kə̀nám~ànám/bìnám~ìnám","kə̀nám / bìnám","kə́ɲʲâː / bə́ɲʲâː  ","kə̀ɲʲà / bə̀ɲʲà","kə̀nám / bìnám","kə̀nám / bìnám","kə́nám~kə́na᷇ːm / bə́na᷇ːmə́","kə́náːm / bə́náːm","nɛ̀m / bə̀nɛ̀m","nɛ̀m / bə̀nɛ̀m","ḿfʷã̂ː / tə́mfʷã̂ː","ŋ́fṹã̀ / tə́ŋfṹã́","kə̀ɣɛ̂ʲ / ʊ̀ɣɛ̂ʲ","kə̀ɣɛ̂ʲ / ʊ̀ɣɛ̂ʲ","ø / ø","ántə́ŋ / bíntə́ŋ","ʊ̄kwà / ìkwà","ø / ø","ø / ø","ø","nʷòm / ɲʷôm~ńnʷôm","yùə́n / ʃâːn","bìnám / bínámə́","ánám / bínám","kə̀nám~ànám / bìnám~ɪ̀nám","kə̀nám / bìnám"
"206","root","ʊ̀gbɔ́ŋ / ɪ̀gbɔ́ŋókî","ɪ́gbɔ́ŋ~ʊ̀gbɔ́ŋ~ʊ̀gbɔ́ŋɔ́ / kɪ̄gbɔ́ŋ~ɪ̀gbɔ́ŋ","gɔ̂ŋ / ágɔ̂ŋ","gɔ̂ŋ~gɔ̀ŋ / ágɔ̂ŋ~àgɔ̀ŋ","ʊ̀gbó / ìgbóBIYA  ~ ʊ̀gbə́ / kə̀gbə́BIYA  ~ ʊ́gbɛ́ / ìgbɛ́ NGUN","ʊ̀gbə́ŋ / àgbə́ŋ","zɛ́n~zɛ̃́ŋ / kə́zɛ̂ŋtə́~kɛdzɛ̂ŋtə́","dzɛ́ŋ / kə́dzɛ́ŋtə́nə́","ⁿgém / ⁿgéⁿkpə́","ⁿgɪ̀ⁿkpə́ / ⁿgɪ̀ⁿkpə́","gbə̂ŋ / zə̂ŋ","zə̀ŋ / zə̂ŋ","ɪ́ɣa᷇ːŋ / sə̀ɣa᷇ːŋ","ɪ́ɣa᷇ːŋ / sə̀ɣa᷇ːŋ","tə̀bə́wèdʒʊ́","tə̀bə᷇ː / bʊ̀tə̀bə́","ø / ø","sʊ̀nɔ̂f / bàsʊ̀nɔ̂fbū","sɪ̀nɔ̂f~tábàdǔːwə̄ / sɪ̀nɔ́fbə̌~tábàbə̀dùːbə́","tǎːbà / ø","dzə̂ŋ / dzə̂ŋ","gbə̂ŋ / dzə̂ŋ","ógbɔ́ŋ / ágbɔ́ŋ","ʊ̀gbɔ́ŋ / kìgbɔ́ŋ","ʊ̀gbʊ́ŋ / āgbʊ́ŋ","ɪ̀gbʊ́ŋ~ʊ̀gbʊ́ŋ / àgbʊ́ŋ~kə̀gbʊ́ŋ"
"208","tobacco","tábáŋ / átábáŋbʷɪ̂","tábáŋ / bʊ̀tábáŋ~tábáŋ","kə̀tá / bə̀tá","kə̀tá / bə̀tá","tábáŋ/bə̀tábáŋNgun~tábɔ́ŋ/bàtábɔ́ŋ","tábɔ́ŋ / tábɔ́ŋ ~ bə̀tábɔ́ŋ","tábáŋ / ø~bə̀tábáŋ","tábáŋ / bə̀tábáŋ","bvə́ / tə̀bvə̀tə́","gvə́ / tə̀gvə́tə́","mɥɪ̂ / tə́mɥɪ̂","m̀kpàⁿdàŋ/bàlêyì ~ mɥɪ̂fʷábə́ / tə́mɥɪ̂tə́fwábə́","kə́tíba᷇ːŋ / útíba᷇ːŋ","kə̀tíba᷇ːŋ / ʊ̀tíba᷇ːŋ","ákwó ~ ákó / bíkwó","ákwó / bíkwó","ø / ø","kɪ́báːlə̄ / kɪ́báːlə́kɪ́","kóʔ / kōʔkə́","kʊ́ʔʊ́ / ø","ɲə́m / ɲə́m","tâbà / mkpàndàŋ","tábə́ / bə̀tábə́","m̀kpɪ̀m~àmkpɪ̀m / bìmkpɪ̀m","tábáŋ/bìtábáŋ~àtábáŋ","tábáŋ/bɛ̀tábáŋ"
"211","camwood","kə́bʷôː / ɪ́bʷôːbî","kə́bʷo᷇ː / bībʷo᷇ː","kə̀kʊ́~kə́kʷʊ́ / bə́kʷʊ́~bə́kʊ́","kə́kʷú / bə́kʷú","kə́bo᷇ːh / bíbo᷇ːh","kə́bɑ̂ / kə̀bɑ̂~bìbɑ̂","kə́kʷûː~kʊ̄ː~kə́ku᷇ː / bə́kʷûː ~ kʊ̄ː~kə́ku᷇ː","kə́kʊ́ː / bə́kʊ́ː","kʊ̂ː / tə̀kʊ̂ː","kʊ̂ / tə̀kʊ̂~bə́ku᷇ː"," kə́kú~kə́kʊ́ / bə́kú","kə́kú / bə́kú","kə̀bɘ̂ɣ / ʊ̀bɘ̂","kə́bɨ̂ɣ / ʊ́bɨ̂ɣ","bú / ø","bú / ø","fìbùbú ~ʊ́bùbú / ʊ́bùbú ~ìbùbú","ʊ́bʊ̀bʊ́ ~ ʊ̀bʊ̀bʊ́wū","bʊ́ŋ / bʊ́ŋ~bʊ́ŋwə́","bʊ́ŋ / ø","kɒ̄ɦ / kɒ̄ɦ","kœ̄ɦ / ø","ábô / bìbô","ábo᷇ː / bíbo᷇ː","kə́bô~ábɔ᷇ː / bíbo᷇ː~ɪ́bɔ᷇ː","kə́bo᷇ː / bíbo᷇ː"
"217","forest","kə̀kôbó / ɪ̀kóbóbî","kə̀kʷóbó / bìkʷóbó","kə̀kɥô / bə̀kɥô","kə́kɥø̂ / bə́kɥø̂","kə̀tʊ̂k / bìtʊ̂k","kə̀tʊ̂ / bìtʊ̂","kə̀kó / mə̀ŋkó","kə̀kó / bə̀kó","tòŋ / bə̀ntòŋ","ntʊ̀ŋ / bə̀ntʊ́ŋ","kə̀kʷɛ́ / bə̀kʷɛ́","kə̀kʷɛ́ / bə̀kʷá","kə́kóː / m̀ko᷇ː","kə̀ko᷇ / m̀ko᷇","ndɔ̀k / bʊ̀ndɔ̀k","ndɔ̀k~ndɔ̀g / bùndɔ̀k~bùndɔ̀g","ø / ø","ø / ø","bʊ́ŋǹtsɔ̀ː / bʊ̂ŋńtsɔ̂ːbə́","dyò / ø","kœ́ / kœ́","kɒ̄ɦ / kɑ́ɦ","ákʷóbə́ / bíkʷóbə́","bìdòŋ~bìdʊ̀ŋ~ndòŋ ~ àkwóbə́ / bídóŋə̄~bídʊ́ŋə̄~bìkʷóbə́","kə̀kʷɔ́bə́~àkʷɔ́bə́/bìkʷɔ́bə́~ɪ̀kʷɔ́bə́","kə̀kʷɔ́bə́~àkʷɔ́bə́/bìkʷɔ́bə́~ɪ̀kʷɔ́bə́"
"253","oil","ŋkʷǒː~àŋkʷó / ŋ̀kǒːmʷɪ̂","ŋ̀kʷǒː / mʷɪ̀ŋ̀kʷó","ḿ̩kʊ́ŋ / ḿ̩kʊ́ŋmə̄","ḿ̩kʊ́ŋ / ḿ̩kʊ́ŋ","ŋ̩́kʷú~fíŋkʷú / ŋ̀kʷúŋmə̄","ŋ̩̀kʊ̃̌ː / ŋ̩̀kʊ̃̌ː","mʲé / ø","míé / màmíētə̄","kʷə́lə́m / kʷə́lə́m","kʷʊ́lə́m~fə̀ŋkʊ́kə̄ / kʷʊ́lə́m~kʷə́lə́m","mí / ø","ø ~ mɪ́ / mɪ̂ː (dʊ̄ːlə́)","m̀bvə́ / fə̀mbvə́","ḿvə̂m / ḿbvə́","ándʊ́n / bìndʊ́n","bìyáŋ / bíyáŋ","ìbǎ / íbá","ɪ̀bá / ɪ́báyī","sóːm / ʃɔ́m","ʃɔ́m~ʃɔ̄ʔm / ʃɔ̄mbɛ́n~ʃɔ̀ʔm","míé / mīē mɪ́","mʲə́ / ḿmʲə́","ŋ̀kʷɛ̀ / ŋkʷɛ̀sə́","ŋ̀kʷɛ̄ / ŋ̀kʷɛ̄","kə̀bò~ŋ̩́kʷú / ŋ̩́kʷú","ŋ̩̀kʷʊ̌ː / ŋ̩̀kʷʊ̌ː"
"255","palm tree","àbʷò~kə́bʷôː / ɪ́bʷôːbî","kə́bʷô~àbʷò / bíbʷô","ⁿfɥū / àⁿfɥʊ̀","m̩̀fɥù / àmfɥù","ⁿbɛ̌ː / bàⁿbɛ̌ː~bə̀ⁿbɛ̌ː","m̩̀bᴂ̌ / àbó","ʃʷóm  / kə́ʃʷômtə́","ʃʷōm  / kə́sɔ́mtə́","sɔ́m/sɔ́ːm","sɔ́m/sɔ́m","ʃʷām / ʃʷántʲɪ̃̀","ʃʷám / ʃʷáːm","ʊ́sɔ́m / sɔ́ː","ʊ́sɔ́m / ə́sɔ́m","àbáŋkíbyāŋ / bìbáŋbìbyāŋ","ábáŋ / bíbáŋ","kíbɔ́ː / bíbɔ́ː","kɪ́bó / bìbóbī","ndɛ̄ʔn / ndɛ̂ʔnyə̌","ø","ǹʃùː / ńʃû","ǹʃʷù / sɒ́ɦm","mbɪ́nə́ / ábɛ́","m̀mbénə̀ / bèmbénə́","kə̀bɛ̀ː~àbɛ̀ː / bìbɛ̀ː~ɪ̀bɛ̀ː","kə́bɛ̂ː / ábɛ́~ɪ̀bɛ̌"
