ID	Concept	Doculect	Value
259	co-wife	ABS-Missong-1	ìkwún / kìkwumnə̀
260	co-wife	AGA-Missong-2	ɪ̀kwʊ̌m / kɪ́kwʊ́mnə́
261	white man	NVB-Abar-7	nan
262	white man	ECL-Abar-8	nan
263	white man	NEM-Ajumbu-9	nan
264	white man	KDC-Ajumbu-10	nan
265	white man	ENB-Biya-1	nan
266	white man	ICN-Biya-2	nan
267	white man	NNB-Buu-3	nan
268	white man	MNJ-Buu-4	nan
269	white man	KHK-Fang-12	nan
270	white man	DPN-Fang-13	nan
271	white man	JGY-Koshin-3	nan
272	white man	TEL-Koshin-4	nan
273	white man	KCS-Kung-3	nan
274	white man	NJS-Kung-4	nan
275	white man	NMN-Mundabli-3	nan
276	white man	CEN-Mundabli-2	nan
277	white man	NGT-Munken-3	nan
278	white man	NUN-Munken-4	nan
279	white man	MCA-Ngun-3	nan
280	white man	KBM-Ngun-4	nan
281	white man	APB-Mumfu-1	mànàsɛ́~nàsɛ́ː / mbɛ̂nàsɛ̄~nàsɛ̀bə́
282	white man	DNM-Mumfu-2	nɛ̀sɛ́~màwɛ́ / mbɛ̂nɛ̀sɛ́~mbɛ̄bə̀wɛ̄bɛ́
283	white man	BKB-Mashi-2	mʊ̀wʊ́nàsá / bʊ́níbʊ́nàsá
284	white man	KFK-Mashi-1	nɪ̀sāː~nàsá / bʊ̀nɪ̀sá~bʊ̀nìsā~nàsárà
285	white man	ABS-Missong-1	nàsálə̄ / bànàsálə̄
286	white man	AGA-Missong-2	ø / ø
287	black man	NVB-Abar-7	nan
288	black man	ECL-Abar-8	nan
289	black man	NEM-Ajumbu-9	nan
290	black man	KDC-Ajumbu-10	nan
291	black man	ENB-Biya-1	nan
292	black man	ICN-Biya-2	nan
293	black man	NNB-Buu-3	nan
294	black man	MNJ-Buu-4	nan
295	black man	KHK-Fang-12	nan
296	black man	DPN-Fang-13	nan
297	black man	JGY-Koshin-3	nan
298	black man	TEL-Koshin-4	nan
299	black man	KCS-Kung-3	nan
300	black man	NJS-Kung-4	nan
301	black man	NMN-Mundabli-3	nan
302	black man	CEN-Mundabli-2	nan
303	black man	NGT-Munken-3	nan
304	black man	NUN-Munken-4	nan
305	black man	MCA-Ngun-3	nan
306	black man	KBM-Ngun-4	nan
307	black man	APB-Mumfu-1	màyəl / mbɛ̀yə̄l~mbɛ̀bə̄yəl
