ID	Concept	Doculect	Value
161	deity, god, God	ENB-Biya-1	kə̀jì / bìjì
162	deity, god, God	ICN-Biya-2	kə̀jì / bìjì
163	deity, god, God	NNB-Buu-3	kə̀yìː / bə̀yìː
164	deity, god, God	MNJ-Buu-4	fə̀yìː / bə̀yìː
165	deity, god, God	KHK-Fang-12	fə̀ʒʲə̀ / mə̀nʒʲə̀
166	deity, god, God	DPN-Fang-13	fə̀ʒʲə̀ː / fə̀ʒʲə̀ː~mə̀ʒʲə̀ː
167	deity, god, God	JGY-Koshin-3	kə̀ʒìː / bə̀ʒìː
168	deity, god, God	TEL-Koshin-4	kə̀ʒì / bə̀ʒì
169	deity, god, God	KCS-Kung-3	fə̀ʒʲə̀ / m̀ʒʲə̀
170	deity, god, God	NJS-Kung-4	fə́ʒʲə̀ / ḿʒʲə̀
171	deity, god, God	NMN-Mundabli-3	gbàm / gbàm
172	deity, god, God	CEN-Mundabli-2	gbɑ̀m / gbɑ̀m
173	deity, god, God	NGT-Munken-3	àyì / bìyì
174	deity, god, God	NUN-Munken-4	àyì / bìyì
175	deity, god, God	MCA-Ngun-3	kə̀jì / bìjì
176	deity, god, God	KBM-Ngun-4	kə̀jìː / bìjì
177	deity, god, God	APB-Mumfu-1	gbə̀m / ø
178	deity, god, God	DNM-Mumfu-2	gbə̀m / ø
179	deity, god, God	BKB-Mashi-2	gbə̀m / bʊ̀gbə̀m~gbə᷇m
180	deity, god, God	KFK-Mashi-1	gbə̀m / gbə̂m
181	deity, god, God	ABS-Missong-1	kìgbə̀m / bìgbə̀m
182	deity, god, God	AGA-Missong-2	kìgbə̀m / bìgbə̌mbí
183	devil	NVB-Abar-7	bántán~ʊ́tán/àbántánbʷɪ̂~bántán
184	devil	ECL-Abar-8	bántán / bʷɪ̀bántán
185	devil	NEM-Ajumbu-9	nǎːtàɲ / ànǎːtàɲ
186	devil	KDC-Ajumbu-10	nǎːtàɲ / ànǎːtàɲ
187	devil	ENB-Biya-1	ʊ̀tə̌n / bə́tə̀n
188	devil	ICN-Biya-2	ʊ̀tə̌ːn / bə́tə̌ːn
189	devil	NNB-Buu-3	ǹti᷇ːn / bə̀nti᷇ːn
190	devil	MNJ-Buu-4	ǹtsɪ᷇ːn / bə̀ntsɪ᷇ːn
