ID	Concept	Doculect	Value
137	mother	NEM-Ajumbu-9	ɲʲə́~màmɪ́~nânə́ / bə̀ɲʲə́~bə̀màmɪ́~bə̀nânə́
138	mother	NVI-Ajumbu-1	má / nânə́ ~
139	mother	KMN-Ajumbu-2	mà / màs
140	mother	KDC-Ajumbu-10	nânə́ / bə̀nânə́~ánâ
141	mother	ENB-Biya-1	nɪ́ā / bə̀nɪ́ā
142	mother	ICN-Biya-2	ʊ̀ⁿdìnə́~nî / bə̀ⁿdínə́
143	mother	NNB-Buu-3	nâ / bə̀nâ
144	mother	MNJ-Buu-4	nɪ́ː / bə̀nɪ́
145	mother	KEM-Buu-1	nâː / ɲí
146	mother	KCY-Buu-2	nâ / bə̀nâ
147	mother	KHK-Fang-12	nɛ́ / bə̀nɛ́
148	mother	DPN-Fang-13	nɛ̂ / bə̀nɛ̂
149	mother	KDV-Fang-1	nan
150	mother	KJS-Fang-2	nan
151	mother	JGY-Koshin-3	nə̂ / bə̀nə̂
152	mother	TEL-Koshin-4	ɲʲə́ / bə̀ɲʲə́
153	mother	DPJ-Koshin-1	ø / ø
154	mother	MRY-Koshin-2	ɲʲə̄ / ø
155	mother	KCS-Kung-3	nêɲ ~ wùzə́ŋ / ɣɛ̀nêɲ
156	mother	NJS-Kung-4	nêʲ / nêʲɣê~ɣèʲbɛ̂ʲ
157	mother	ZKG-Kung-1	nɪ̂ / ɣénɪ̂
158	mother	BNM-Kung-2	nè~nɪ̀ / sə́nè
159	mother	NMN-Mundabli-3	nɪ́ / bɑ̀ɦ ~ bònɪ́
160	mother	CEN-Mundabli-2	nɪ́ / nɪ́ː
161	mother	LFN-Mundabli-1	nɪ́ / nɪ́bō
162	mother	NIN-Mundabli-4	nɛ́ / bə̀nɛ́bó
163	mother	NGT-Munken-3	ɲí / bə̀ɲí
164	mother	NUN-Munken-4	nâ / bə̀nàâ
165	mother	NEA-Munken-1	nǎː~na᷇ː / bə̀na᷇ː
166	mother	TNT-Munken-2	nà ~ nǎ / bèɲí ~bə̀na᷇
167	mother	MCA-Ngun-3	níjā / bɛ̀nɪ́jā
168	mother	KBM-Ngun-4	níjā / bɛ̀nɪ́jā
169	mother	WCA-Ngun-1	ɲɪ́sə̀~ na᷇ː / bəɲísə́ ~ bə̀na᷇ː
170	mother	AOM-Ngun-2	nɪ́ ~nɪ́yā / bɛ́nɪ́yā
171	mother	APB-Mumfu-1	n̄nāː / bə̀níbə́ ~ nāː / bə̀nāː
172	mother	DNM-Mumfu-2	màmí / bə̄nâː
