"OrderingID","Concept","NVB-Abar-7","ECL-Abar-8","NMA-Abar-1","NAC-Abar-2","NEM-Ajumbu-9","KDC-Ajumbu-10","NVI-Ajumbu-1","KMN-Ajumbu-2","ENB-BIYA-1","ICN-BIYA-2","NNB-Buu-3","MNJ-Buu-4","KEM-Buu-1","KCY-Buu-2","KHK-FANG-12","DPN-FANG-13","KDV-Fang-1","KJS-Fang-2","JGY-Koshin-3","TEL-Koshin-4","DPJ-Koshin-1","MRY-Koshin-2","KCS-Kung-3","NJS-Kung-4","ZKG-Kung-1","BNM-Kung-2","KFK-Mashi-1","BKB-Mashi-2","ABS-Missong-1","AGA-Missong-2","APB-Mumfu-1","DNM-Mumfu-2","NMN-Mundabli-3","CEN-Mundabli-2","LFN-Mundabli-1","NIN-Mundabli-4","NGT-Munken-3","NUN-Munken-4","NEA-Munken-1","TNT-Munken-2","MCA-Ngun-3","KBM-Ngun-4","WCA-Ngun-1","AOM-Ngun-2"
"801","k.o dragonfly",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ø / ø ","ìfə́n / kífə́nə̄",NULL,NULL,NULL,NULL
"802","mosquito",NULL,NULL,"ʃìmbôː / ḿmbôː","ʃìmbôː / m̀mbôː",NULL,NULL,"fə̀ntʊ́mbʊ̄ʔ / ə̀mtʊ́mbʊ̄ʔ~m̀tʊ́mbʊ̄ʔ ","fə̀ntúmbū / m̀túmbū",NULL,NULL,NULL,NULL,"mbə́nə́ / bə̀mbə́nə́","mbə́nə́ / bə̀mbə́nə́",NULL,NULL,"mbə̀nə̀ / bə̀mbə̀nə̀","mbə́nə̀ / bə̀mbə́nə̀",NULL,NULL,"mbʷɛ̃̄  /  bòmbʷɛ̃̄","mbwẽ̄ /  bòmbʷɛ̃̄",NULL,NULL,"fə̀tə́mbʊ̂ʔ / m̀tə́mbʊ̂ʔ","fə̀túmbʊ̂ʔ / m̀túmbʊ̂ʔ","fìmbálàŋ / mʊ̀mbálàŋ","fìmbàlâŋ / mʊ̀mbàlâŋ","fìmbǎːndàŋ~m̀bǎːndàŋ/ bàmbándàŋ","mbáːndàŋ / bàmbáːndàŋbʊ́","kpə́ŋkɛ̀n / kpə́ŋkɛ̀nbə̌","mkpáŋkɛ́n / mkpáŋkɛ́nbə́~mkpáŋkɛ́n",NULL,NULL,"mkpə́ndʒìn / mkpə́ndʒìnbə̄","ḿkpə́ntʃìn / ḿkpə́ntʃìnbó",NULL,NULL,"ʃɪ̀ntə́mbwʊ̀ / mʊ̀ntə́mbwʊ̀","ʃɪ̀ntə́mbʊ̀ / mʊ̀ntə́mbʊ̀",NULL,NULL,"fìntàmbʊ̀ / m̀támbʊ̀","fìntámbʊ̀ / mwɪ̀ntámbʊ̀"
"803","honey juice","ɪ̀jî / ɪ̀jìkì","ɪ̀jî / kìjìlò",NULL,NULL,NULL,NULL,"kə̀ndʒìn / bə̀ndʒìn","kə̀ndʒìɲ / bə̀ndʒìn",NULL,NULL,NULL,NULL,"ʃyə́kə́ / kə́ʃyə́kə́nə́","ø / ø",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ní / ø","ɲ́ɲɪ́ ~ɲɪ́ / ø","kìndɛ̌ɛ̄ / bìndɛ̌ɛ̄","kɪ̀ndɛ᷇ː / bìndɛ᷇ː","dzɔ̄ː / dzɔ̄ːyə́","zɔ̄l / zɔ̄lyə́",NULL,NULL,"ø ʃə́ŋgə́lə́ / ʃə̄ŋgə̄lə̄bɔ́","ʃə́ŋə́lə̄ / ʃə̄ŋgə̄lə́",NULL,NULL,"àzə̀zólə́ / bìzə̀zóːlə́","àdzə̀zɔ́ːlə́ / bìdzə̀zɔ́ːlə́",NULL,NULL,"fyèázə́zɔ́ ~ fyězə́zɔ́ / mwèzə́zɔ́ ~ mwèázə́zɔ́","ø / ø"
"804","honey bee",NULL,NULL,NULL,NULL,NULL,NULL,"zá / àzá~ə̀zá","zá / kə̀zá",NULL,NULL,NULL,NULL,"ʃíkə́ / kə́ʃíkə́nə́","ø / ø",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ʃə̄k / ø","ʃə̄k / ø","ø / ø","ɪ́zʊ́ŋ / ɪ́zʊ́ŋíyí","ʃák / ʃākyə̄","ʃák / ʃākyə́~ʃàk",NULL,NULL,"sīɛ̄ / sīɛ̄yə́ ~sīɛ̄","sīɛ̄ɦ / sīɛ̄ɦyə́",NULL,NULL,"ɪ̀ʒə̀bə̀ / ø","ɪ̀dʒàbbə̀ / kìdʒàbbə̀",NULL,NULL,"fyězə́zɔ́ ~fìmkpɛ᷇ː / mwèázə́zɔ́ ~m̄kpɛ᷇ː","mɨ̀ŋkpɛ̂ / ø"
"805","k.o bee",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ø / ø ","àndzɪ́ːmə́ / bìndzɪ́ːmə́",NULL,NULL,NULL,NULL
"806","jigger",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ø / ø  ","ʃìnmkpɛ́ / mùnmkpɛ́",NULL,NULL,NULL,NULL
"807","termite","kə̀ⁿdʒíⁿdʒə́ŋ~ⁿdʒíⁿdʒə́ŋ/ ⁿdʒíⁿdʒə́ŋ~bìⁿdʒíⁿdʒə́ŋ","ⁿbʷòɪ̀zàm / bʷìⁿbʷòɪ̀zàm","ʊ́kpɪ᷇ːdǎː / kíkpɪ́ːda᷇ː","ʊ́kpɪ̂ːdǎː / kìkpɪ̂ːdǎː","kə̀ⁿdʒìɲ / bə̀ⁿdʒìɲ","kə́ⁿdʒîn / bə́ⁿdʒîn",NULL,NULL,"fìmkpɛ́ / m̩̀kpɛ́","kə̀dzʊ̂dzǒː / bìdzʊ̂dzǒː","fə̀ⁿgɔ̂ː / mə̀ⁿgɔ̂ː","fə̀ⁿgɔ̂ː / mə̀ⁿgɔ̂ː",NULL,NULL,"dzɘ̌ɣ / dzɘ̌:ɣ","dzə̌ːɣ / dzə́ɣ",NULL,NULL,"ⁿgbʊ̀ ~ ǹtʃɔ̌ː / bə̀ⁿgbʊ̀ ~ bɛ̀ntʃɔ̌ː","gɣə́ / tə̄gɣə́",NULL,NULL,"ɪ̀kə́ʲ / sə̀kə́ʲ","ɪ̀kə́ɪ́~ɪ́kéʲ / sə̀kə́ɪ́~sə̀kéʲ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ʃə̄ŋgə̄lə̄ / ʃə̄ŋgə̄lə̄","ʃə́ŋŋgə́ / ʃə́ŋŋgə́lə́",NULL,NULL,"ɪ̀zó / bìzólə́","ázó ~ ɪ̀zó / bìzó~ɪ́zó",NULL,NULL,"kə̀kʊ̀kʷɛ́~àkʊ̀kʷɛ́ / bìkʊ̀kʷɛ́","kə̀zʊ̀zó /bìzʊ̀zó",NULL,NULL
"808","wingless termite","ʃìŋʃɔ́hɔ́dʒí / mʊ̀nʃɔ́hɔ́dʒí","kə̀ⁿdʒìⁿdʒə́ŋ / bìⁿdʒìⁿdʒə́ŋ","ø / ø","kə̀mbíbyáŋ / bìmbíbyáŋ","zá / záyə̄","zá / kə́záːlə́",NULL,NULL,"fìmkpɛ́ / m̩̀kpɛ́","fìmkpé / mʊ̀mkpɛ́","fə̀ⁿkxâ / mə̀ⁿkxâ","ʃíkə́ / kə́ʃíkə̄nə̄",NULL,NULL,"gìŋ / bə́gíŋkə̄","sì / sí",NULL,NULL,"ʃí / ʃīyə̂","ʃí / ø","ø / ø","gánə́wʊ́ʃì / ø","kə̀séséʔè / ʊ̀séséʔè","ɪ̀séséʔē ~ kə́séséʔē / ʊ̀séséʔē",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"sʲɛ̄ / sʲɛ̄","sʲɛ́ɦ / sʲɛ́ɦ",NULL,NULL,"ɪ̀dʒə̀bə̀~ɪ̀ʒə̀bə̀ / kìdʒə̀bə̀","ŋ̀kàmzǒ / bìŋkàmzǒ","àmbímbyɔ́ŋ /  ø","ø / ø","ⁿkpɛ́ / bìⁿkpɛ́","ⁿkpɛ́ / bɛ̀ⁿkpɛ́",NULL,NULL
"809","big termite mount",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ø / ø","kə̀ŋkwə̀lə̂ŋ / bə̀ŋkwə̀lə̂ŋ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"810","termite mount",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"fə̀ntʃí / mə̀ntʃí ","fə̀ntʃí / mə̀ntʃí",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"811","cobweb",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ásə́k / bísə́k","ásə́k / bísə́k","ø / ø","ø / ø","kwōə̄ / kwōə̄bə́","ø",NULL,NULL,"kʊ̄ / kʊ̄bó ~kʊ̄","kʊ̄ / kʊ̄ːbó",NULL,NULL,"ø / ø","àkyɥìːfə̀ / bìkɥìːfə̀",NULL,NULL,"kə̀kwɔ̀bə̀ / bìkwɔ̀bə̀","kə̀kwɔ̀bœ̏ ~kə̀kwɔ́bə̀ / bìkwɔ̀bœ̀ ~bìkwɔ̀bɘ̀"
"812","millipede",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ø / ø ","ɪ́bʊ̂ŋ / kìbʊ̀ŋə̀",NULL,NULL,NULL,NULL
"813","soil beetle (edible)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"fʷó  /  tòfʷó","kə̀mfyẽ̀   (wingless) /  tòfʷó",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
