"OrderingID","Concept","NVB-Abar-7","ECL-Abar-8","NMA-Abar-1","NAC-Abar-2","NEM-Ajumbu-9","KDC-Ajumbu-10","NVI-Ajumbu-1","KMN-Ajumbu-2","ENB-BIYA-1","ICN-BIYA-2","NNB-Buu-3","MNJ-Buu-4","KEM-Buu-1","KCY-Buu-2","KHK-FANG-12","DPN-FANG-13","KDV-Fang-1","KJS-Fang-2","JGY-Koshin-3","TEL-Koshin-4","DPJ-Koshin-1","MRY-Koshin-2","KCS-Kung-3","NJS-Kung-4","ZKG-Kung-1","BNM-Kung-2","KFK-Mashi-1","BKB-Mashi-2","ABS-Missong-1","AGA-Missong-2","APB-Mumfu-1","DNM-Mumfu-2","NMN-Mundabli-3","CEN-Mundabli-2","LFN-Mundabli-1","NIN-Mundabli-4","NGT-Munken-3","NUN-Munken-4","NEA-Munken-1","TNT-Munken-2","MCA-Ngun-3","KBM-Ngun-4","WCA-Ngun-1","AOM-Ngun-2"
"773","k.o fly (slow, painful bite)",NULL,NULL,"ø / ø","ʃímɔ᷇ːŋ / m̀mɔ᷇ːŋ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"kə́gɔ́ŋnə̄ / bə́gɔ́ŋnə̄","ø / ø",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"fə̀kûlə̀/ m̀kûlə̀","fə́lyə̂lyə̀ː / m̀lyə̀lyə̀ː",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"774","ant",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ø / ø","kə̀ŋgɔ̂ŋŋə́ / ʊ̀ŋgɔ̂ŋŋə́",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"775","soldier ant","ɪ̀zʊ̀ / ɪ̀zʊ̂ː","ɪ̀zʊ́ / mʊ̀nzʊ́",NULL,NULL,"sáfə́ / kə́sáfə́","zɨ̀sə́ / zɨ́sə́",NULL,NULL,"ɪ̀zɪ́ / ɪ̀zɪ́~kə̀zɪ́","fìnʊ᷇ːnám / mʊ́nʊ᷇ːnám","yə́kə́ / kə̀yə́kə̄nə̄","yàkə́ / yákə́",NULL,NULL,"ʒú / bə̀ʒú","ʒʊ̄ə̄~ʒʊ̀ə̀ / ʒʊ́ə́",NULL,NULL,"sá / tə́sā","sá / tə́sá","ø / ø","kə́ŋwáŋŋwáŋ / ø","kə̀ɲí / ʊ̀ɲí","kə̀ɲí / ʊ̀ɲí",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"yɪ́ / yɪ́","yə̌ːɦ / yə́ːɦ",NULL,NULL,"ɪ̀dzɪ́ ~ ɪ̀zɪ́ / ɪ́zɪ́","ɪ̀zé / ɪ̀zélə̄~kɪ́zélə̄",NULL,NULL,"ɪ̄zɪ̌ː / ɪ̄zɪ́~àzɪ́","ɪ̀zɛ̄ / kə̄sɛ̄",NULL,NULL
"776","ant (black, builds a mount on a tree)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ø / ø","sā / ø",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"777","k.o ant",NULL,NULL,"ɪ̀yî / kɪ̀yìlò","ø / ø",NULL,NULL,"mfʊ́fʊ̀ / àmfʊ́fʊ̀","m̀fʊ̌ːfʊ̀ŋ / àmfʊ̌ːfʊ̀ŋ",NULL,NULL,NULL,NULL,"m̀fə́m / bə̀mfə́m","m̀fə́m / bə̀mfə́m",NULL,NULL,"fúfúŋ / bə̀fúfùŋ","ø / ø",NULL,NULL,"mfʊ̀m  /  bòmfʊ̀m","mfʊ̀m /  bòmfʊ̀m",NULL,NULL,"ø / ø","kə̀fə̌ːm / ʊ̀fə̌ːm","m̀fʊ̌m / bʊ̀mfʊ̌m","mfʊ̌ːm / mfʊ᷇ːm","ŋ̀fə́m / bàŋfə́m","mfə́m / bàmfə́m","m̄fə̄m / m̀fə̄mbə́","mfə̀m / mfə̀mbə́",NULL,NULL,"m̀fɔ̌m / m̀fɔ̌mbó","mfɔ̄m / mfɔ̄mbɛn",NULL,NULL,"ø / ø ","m̀fə́m~m̀fœ́m ~ àmfə̀ŋ / bìnmfə́m~ bìmfə̀ŋ",NULL,NULL,"m̀fɔ́m / kə̀fɔ̀mə̀ ~bɛ̀mfɔ́m","ø / ø"
"778","wine red ant",NULL,NULL,"ʃìŋkâːmgbâŋ  / m̀ŋkàːgbâŋ ~","ʃìŋkâːmgbâŋ  / m̀ŋkàːmgbâŋ",NULL,NULL,"ntʊ́mbʊ̂ʔmə́ákʊ́ / ə̀mə̀ntʊ́mbʊ̂ʔakʊ́","ø / ø",NULL,NULL,NULL,NULL,"kàlàmgbá / bə̀kàlàmgbá","ŋkàlàŋgwáʔ / bə̀ŋkàlàŋgwáʔ",NULL,NULL,"fə̀ŋkàlàŋgwá / mə̀ŋkàlàŋgwá","ø / ø",NULL,NULL,"wə̄  /  tówə̄","dʒìː /  tówə̄",NULL,NULL,NULL,NULL,"fìŋkàːmgbə́ / mùŋkàːmgbé","fìŋkàmgbə̌ː / mùŋkàmgběː","fìŋkàràmgbáŋ / mùŋkàràmgbáŋ","ø / ø","ŋkɛ́ / ŋkɛ̄mbə́","ŋkàlàmgbǎŋ / ŋkàlàmgbáŋbə́",NULL,NULL,"n̄tsɪ̄ / n̄tsɪ̄ːmə́","n̄tī / n̄tīmó",NULL,NULL,"ʃìŋkàlàmgbâŋ / ø","ʃìŋkàlàmgbâŋ / mùŋkàlàmbâŋ",NULL,NULL,"fìŋàːmgbâŋ / m̄kàːmgbâŋ","ŋkāhàmgbâŋ / mwɨ̃̀ŋkàhàmgbâŋ"
"779","k. o ant (yellow)",NULL,NULL,"kèndʒám / bìndʒám","kə̀ndʒám / bìndʒám",NULL,NULL,"kə̀mgbò / bə̀mgbò","vǜnə́ / kə̀vǘnə́",NULL,NULL,NULL,NULL,"kə̀ŋgáːmə́ / bə̀ŋgáːmə́","fə̀ŋgáːmə́ / bə̀ŋgáːmə́",NULL,NULL,"ŋgɪ́ŋgə́lə̄ / bə̀ŋgɪ́ŋgə́lə̄","ø / ø",NULL,NULL,"kə̀kǽ  /  bə̀kǽ","ø /  bə̀kǽ",NULL,NULL,"kə́tsú / ʊ́tsú","kə́tsú / ʊ́tsú","ákɔ́ŋ / bìkɔ́ŋ","àkɔ́ŋ / bìkɔ́ŋ","kɪ́wɛ᷇ː / bíwɛ᷇ː","kɪ́wɛ᷇ː / bíwɛ᷇ːbí","ta᷇ːn / tāːnbə́","ø",NULL,NULL,"kpɨ́kpǎː / kpɨ́kpǎːbō","kpúkpaɑ̄ ~twòːm / kpúkpābó ~twòːmbó",NULL,NULL,"àndʒáːmə́ / bìndʒáːmə́","àndʒáːmə́ / bìndʒáːmə́",NULL,NULL,"kə̀mfám / bìmfám ","kə̀mfáːm / bìmfáːm"
"780","ants (black, open thongs)",NULL,NULL,NULL,NULL,NULL,NULL,"ø / ø","kə̀mgbò / bə̀mgbò",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ø / ø","mbìsə̀ / ø",NULL,NULL,NULL,NULL,"mbʊ́nʊ́ / mbʊ́ŋnɪ́","mbʊ́nʊ́ / mbʊ́ŋnɪ́","fìmùMàhá / mùmùMàhá","kɪ́wɛ᷇ː / bíwɛ᷇ːbí","kɥǿː / kɥǿːyə́","kàʃǎm~kàʃàm̄ / kàʃàʔmbə́~kàʃàm̄",NULL,NULL,"ʃə̀ŋkə́lə̄ / ʃə̀ŋkə̀lēbó","tʃū / tʃūbó",NULL,NULL,"ø / ø  ","àdzə̄zɔ́ːlə́ / bìdzə̄dzɔ̄ːlə́",NULL,NULL,"ndʒɔ̀ŋkàhá / bɛ̀ndʒɔ̀ŋkàhá","mùŋgwɪ̀n / ø"
"781","carpenter bee",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"kə́bɑ̂  /  bə́bɑ̂","mgbʊ̀ /  bə́bɑ̂",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"782","lice",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"kpákpá / tə̀kpákpá ","ndóló/mə̀ndóló",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"783","grasshopper","kə̀ⁿdʒám / ɪ̀ⁿdʒámbî","kə̀ⁿdʒám / bìⁿdʒám","ìdʒìndʒàŋ / kɪ́ndʒíndʒáŋō","ìndʒìndʒàŋ / kɪ̀ndʒíndʒáŋō","vɥʊ̈̀nə́ / vɥʊ̈́nə́~kə̀vǘnə́","kə̀ⁿgbʊ̀ / bə̀ⁿgbʊ̀","dzàŋ / kə́dzáŋlə̄~àdzàŋ","dzàŋ / kə́dzâːŋlə̀","kàkà / bə̀kàkà","kə̀mfã̌ː / bìmfã̌ː ~ kə̀jo᷇ː / bìjo᷇ː","kə̀ⁿgáːmə́ / bə̀ⁿgáːmə́","kə̀ⁿgáːmə́ / bə̀ⁿgáːmə́","dʒyə̀ŋ~dʒyɛ̀ŋ / kə́dʒyə᷇ːŋtə́~kə́dʒyɛ̂ŋtə́ ","dʒyə̀ŋ /ə́dʒyə̂ŋ","ⁿgíŋ / ⁿgíŋⁿgə́lə̀","ⁿgíŋⁿgə́lə̀ / bə̀ⁿgíŋⁿgə́lə̀","dzə̀ŋkə́ / dzə́ŋkə́","ø / ø","kə́tâɲ / bə́ntâɲ","kə́ntâɲ / bə́ntâɲ","tʃɔ̀ːbə̀  /  tʃɔ̀ːbə̀ (bòtʃɔ̀ːbə̀)","ndzə̀ŋə̀ /  tʃɔ̀ːbə̀ (bòtʃɔ̀ːbə̀)","kə́tsú / ùtsú","kə́tsʊ᷇~kə́tsʊ́ / sə̀tsʊ᷇ː~ʊ́tsʊ́","tsɨ́ŋ / sə́tsə́ŋ","tsɨ́ŋ / sə́tsə́ŋ","dzzə̄ / dzzə̂","ǹdzê / ńdzê","ɪ̀dʒə̀ŋ / kìdʒə́ŋnə̄","ɪ̀dʒə̀ŋ / kìdʒə́ŋnə̄","gyə̀ŋkàː / gyə̀ŋkàːyə́","gìŋkàː~gìŋkà / gìŋkàːbə́~gìŋkà","tʷôm / tʷôm","tʷɥôɦm / tɥòɦmbóɦ","dzə̀ŋakà / dzə̀ŋkàyə́","dzə̀ŋkà / dzə̀ŋkàyə́","àndʒámə́ / bìndʒámə́","àndʒámə́ / bìndʒámə́~mùndʒámə́","àndʒáːmə́ / bìndʒáːmə́","ìdʒìnndʒàŋ / kìndʒìndʒáŋə̄","ʊ̀fʷɛ́n~ʊ̀fʲɛ́n~ / kə̀ʊ́fʷɛ́n~àfʲɛ́n","kə̀ⁿfáːm / bìⁿfáːm","ɪ̀dʒìndʒàŋ / kə̀ndʒíndʒáŋə23","ɪ̀dʒìndʒàŋ / kə́ndʒíndʒáŋə́"
"784","grasshopper (mongwin)",NULL,NULL,NULL,NULL,NULL,NULL,"fə̀ʃíszāŋ / bə̀ʃídzáŋ~ʃídzāŋ","ø / ø",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"fíndzāŋ / múndzāŋ","fíndzāŋ / múndzāŋ","ǹtòmàntʃúŋ / múntòmàntʃúŋ","fíndʒɔ́ŋɪ́fʊ̀ / mǔndʒɔ́ŋɪ̂fʊ̀","ɲám / ɲámyə́","ø",NULL,NULL,"ɲán / ɲánmɛ́n","ɲ̀ɲáʰ / ɲ̀ɴáʰmbó",NULL,NULL,"ø / ø ","ʃyàdzìzɔ́lə́ ~ ʃyátʃítʃɔ́ːlə́ / bìdzízɔ́lə́ ~  mùátʃítʃɔ́ːlə́",NULL,NULL,"fìwábùtù ~ fìwábùtù / mùmwáːbùtù ~m̄wáːbùtù","ɪ̀tʃɔ̄ŋàfə̀lə́ / àtʃɔ̀ŋàfə̀lə́"
"785","grasshopper (fattest)",NULL,NULL,"kə̀fɔ̀hɔ̀ / bífɔ́hɔ̄","kə̀fòhò / bìfòhò",NULL,NULL,"fə̀ʃídzāŋ / bə̀ʃídzāŋ ~ kə̀fífí / bə̀fífí","kə̀fífí / bə̀fífí",NULL,NULL,NULL,NULL,"ǹsɛ̀ːɲ~nsɛ̃̀ə̃̀ / bə̀nsɛ̃̀ːə̃̀","nsɛ̀ːŋ ~ ǹsɛ̃̀ə̃̀ / bə̀nsɛ̀ŋ",NULL,NULL,"fɔ̀fə́ / bə̀fɔ̀fə́","fɔ́fə́ / bə́fɔ́fə́",NULL,NULL,"ø / ø","fǐː / ø",NULL,NULL,"kə́fə́m / sə̀fə́m~ʊ̀fə́m","ø / ø","ámfə́mfə́ / bímfə́mfə́","ámfə́mfə́ / bímfə́mfə́","kìfàhà / bìfàhà","kìfàhà / bìfàhàbī","mgbə̀mgbɛ̀ / mgbə̀mgbɛ̂bə̌","mgbə́mgbɛ̂ / mgbə́mgbɛ̂bɛ̌n~mgbə́mgbɛ̂",NULL,NULL,"mgbə̀ŋmgbə̀ŋ / mgbə̀ŋmgbə̀ŋ","mgbə̀ŋmbə̀ŋ / mbə̀ŋmbə̀ŋbó",NULL,NULL,"āfāfə̄ / bìfàfə̀","àfàfə̀ / bìfàfə̀",NULL,NULL,"kə́fâːfɨ̀ / bìfàːfɨ̀","kə̀fàːfø̀ / bìfàːfø̀"
"786","small noise making grasshopper",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"kə̀nə́kə́tímə́  /  bʲə́bə́tímə́","kə́mfə́mfə́m /  bʲə́bə́tímə́",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"787","cricket","ɪ̀ⁿdʒìndʒàŋ / ɪ̀ⁿdʒíⁿdʒáŋə́kì","ɪ̀ⁿdʒìⁿdʒàŋ / kíⁿdʒíⁿdʒáŋō","ìdǎː / kída᷇ː ","ìdǎː / kídǎː ","dzàŋ / dzâŋ~kə́dzâŋnə̀","dzàŋ / kə́dzâːnə̀","ø / ø","ø / ø","ɪ̀ⁿdʒìndʒàŋ / kə̀ⁿdʒìⁿdʒáŋə̄","ɪ̀ⁿdʒə̀ŋ / kə̀dʒə́ŋə̄","dʒʲɛ̂n~dʒʲɛ̀ŋ / kə́dʒʲɛ̂ntə́~dʒʲɛ᷇ŋ~dʒʲɛ᷇ŋɛ́","dʒʲɛ̂ŋ / kə́dʒʲɛ᷇ːŋtə́","ø / ø ","bîːʃǎŋ / bə́bîːʃǎŋ","dzə̀ŋ / dzə́ŋkə́","dzə̀ŋkə́ / dzə́ŋkə́","sàŋ / sáŋ ","ø / ø","ǹⁿdzə̀ŋə̀ / ńⁿdzə́ŋə̀","ǹ̩zə̀ŋə̀ / ń̩zə́ŋə̀","tsə̄m  /  tsə́m","ø /  tsə́m","tsə̄ŋ / sə̀tsə̂ŋ","tsə́ŋ / sə̀tsə᷇ŋ",NULL,NULL,"mbʊ̀mbʊ̌ / bʊ̀mbʊ̀mbʊ̌","mbʊ̀mbʊ̌ / bʊ̀mbʊ̀mbʊ̌","ʊ́dáːlə̄ / ídáːlə̄","kìfàhà / bífáhá","ʃīʃāŋ / ʃīʃâŋyə̌","ø","dzə̀ŋ / dzə́ŋ","dzə̀ŋkə̀ / dzɨ̀ŋkə̀ː","sɨ̀sǎŋ / sɨ̀sáŋyə̄","sìsǎːŋ / sìsáŋyə́","ɪ̀ndʒìndʒàŋ / kìndʒáŋā~kìndʒã́ã́","ʃìndʒàŋ / mʊ̀ndʒǎŋ","ʊ́dâːlə́ / ø","ɪ̀dàʃə́ŋ / kìdâʃə̄ŋ","ɪ̀dʒìndʒàŋ/kə̀dʒìⁿdʒáŋə̄~àdʒìⁿdʒáŋə̄","ɪ̀dʒɪ̀ⁿdʒàŋ / kə̀dʒìⁿdʒàŋ~àdʒìⁿdʒàŋ","ìdǎː / kə́da᷇ː","ø / ø"
"788","k. o cricket",NULL,NULL,"ǹtsə̀bò / gbwɪ̀ntsə̀bò","dâːdə̀lə̀ / bə̀dâːdə̀lə̀~",NULL,NULL,"ŋkâmsə́ / àŋkâmsə́","ø / ø",NULL,NULL,NULL,NULL,"ø / ø ","ø / ø",NULL,NULL,"yə̀n / yə́n","ø / ø",NULL,NULL,NULL,NULL,NULL,NULL,"ŋgàŋàtí / sə́ŋgàŋàtí","ŋgàŋàtí / sə́ŋgàŋàtí","àŋkâm / bìŋkâm","àŋkǎːm / bìŋkǎːm","ø / ø","ŋgʊ̀ŋgɔ̀hɔ̀ / bàŋgʊ̀ŋgɔ̀hɔ̀bú","ǹtsɔ̀ː / ǹtsɔ̀ːbə̌","ǹtsɔː / ǹtɔ̂bə́",NULL,NULL,"ǹtsɔ̀ː / ǹtsɔ̀ːbó","ǹtsòː / ǹtsòːbó",NULL,NULL,"ø / ø ","ǹtsàːlə̀ ~ ǹtsàbə̀ / bə̀ntsàːbə̀ ~ bìntsàːbə̀",NULL,NULL,"ǹtsàbə̀ / bɛ̀ntsàbò","ntsàbò / bɛ̀ntsàbò"
"789","cockroach (house)",NULL,NULL,"ntsə̀bò / bwɪ̀ntsə̀bò","ǹtsə̀bò / bə̀ntsə̀bò",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"zɪ̄  /  zî","fə̀ntâ /  zî",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"790","cockroach (toilet)",NULL,NULL,"bíkwôm / bìkwòmò","ø / ø",NULL,NULL,"ø / ø","ø / ø",NULL,NULL,NULL,NULL,"tsʊ́m / tsʊ̋m~kə́tsʊ́mtə́","kə̀yáːkɔ̄m / bə̀yáːkɔ̄m",NULL,NULL,"tsə̀m/tsə́m","tsə̀m/tsə́m",NULL,NULL,"fə̀ŋkó  /  ŋ̀kó","tsʊ́mə́ /  ŋ̀kó",NULL,NULL,"wɪ̀ntɔ́ŋɔ̀ / sə̀wɪ̀ntɔ́ŋɔ̀~","wɪ̀ntɔ́ŋɔ̀ / sə̀wɪ̀ntɔ́ŋɔ̀","mbʊ́nʊ́ / mbʊ́ŋnɪ́","mbʊ́nʊ́ / mbʊ́ŋnɪ́","ø / ø","ø / ø","ø / ø","ø",NULL,NULL,"ø / ø","ø / ø",NULL,NULL,"àkwùmə̀ / bìkwùmə̀","àkə́kátə́ / bìkə́káːtə́",NULL,NULL,"ø / ø","ø / ø"
"791","spider","ɪ̀dǎː / ɪ́da᷇ːkî","ɪ̀dǎː / kɪ́dáːlō","kémwɨ̃́mwǎn / bìmwɨ̃́mwǎn","kə́mɨ́ːmwān /bìmɨ́ːmwān","ⁿkʲáŋə́kʷʊ̌ːkʊ̀ / àⁿkʲáŋə́kʷʊ̌ːkʊ̀","ⁿkâmsə́ / àⁿkâmsə́","mʊ̂ːnə̀ / kə́mʊ̂ːnə̀","mʊ̂ːnə̀ / kə́mʊ̂ːnə̀","ɪ̀dǎː / kə́da᷇ː","ʊ́dâːlə́ / kə́dâːlə́","ʃàŋ~bîːʃǎŋ / kə́ʃâŋtə́~bîːʃǎːŋ","bîːʃǎːŋ / dzɪ̂ːʃǎːŋ","ø / ø","ŋkwʊ̄nkwu᷇n / bèŋkwʊ̄nkwu᷇ːn","sàŋ / sáŋ","sàŋ / sáŋ","fə̀ntɛ̂ː / mə̀ntɛ̂ː","fə̀ntɛ̂ː / mə̀ntɛ̂ː","fʲàŋ / fʲâŋ","fʲàŋ / fʲâŋ","nsə́n  /  nsə́n","fə̀ŋkwɛ̀ɲkwɛ̀ɲ /  nsə́n","kə̀tsàŋə́tfø̀tfø̀ / ùtsàŋə́tfø̀tfø̀","kə̀tsàŋápfə̀pfə̀ / ʊ̀tsàŋápfə̀pfə̀","ɪ̀káɪ́káɪ́ / sə̀káɪ́káɪ́~","ø / ø","fìmkpām / mùmkpǎm","fìmkpām / mùmkpǎm","kìtɪ́tɪ̀ːlə́ / bɪ̀tɪ́tɪ̀ːlə́","kɪ̀tə́tìːlə́ / bìtə́tìːlə́","ŋgʊ́ŋgwɛ̂ʔn / ŋgʊ́ŋgwɛ̀ʔnbə́","ŋgʊ́ŋgwɛ̄ʔn / ŋ̀gʊ́ŋgwɛ́ʔn","sìsìáŋ / sìsíáŋ","sìsǎːŋ / sìsáŋ","ŋgʊ̄ŋgwān / ŋgʊ̄ŋgwānbó","ŋgʊ̄ŋwān ~ŋgʊ̄ŋgwáʰ / ŋgʊ̄ŋwānbó ~ŋgʊ̄ŋgwán","ʊ́dálə̄ / kídálə̄","ɪ̀dàʃə́ŋ / kìdàʃə́ŋ","ø / ø ","àmfə̀ŋ / bìmfə̀ŋ","kə̀kʷɔ̀bə̀~àkʷɔ̀bə̀/bìkʷɔ̀bə̀~ɪ̀kʷɔ̀bə̀","ʊ̀dâá / ádâá~ɪ́dàâ","kə̀mfʊ̀ŋ / bìmfʊ̀ŋ","kə̀mfʊ̀ŋ / bìmfʊ̀ŋ"
"792","scorpion",NULL,NULL,"ø / ø","ʃìnsɪ̀ːmbɪ̀ / m̀sɪ́hɪ̀mgbɪ̀",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"793","tarantula",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"də̀lə̀  /  bə́də́lə̀","fə̀ndɔ̂ŋndɔ̂ŋ /  bə́də́lə̀",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"794","locust",NULL,NULL,"ǹndánó / bwɪ̀ndánó","ǹdáːnó / bə̀ndáːnó",NULL,NULL,"mɪ́nə̀ntʃwòː / àmɪ̀nə̀ntʃwò","ǹtúnə́kʷù(kʷù)/ àntúnə́kʷù~",NULL,NULL,NULL,NULL,"kə̀ŋwʊ̀ò / bə̀ŋwʊ̀ò","kə̀ŋwʊ̀ò / bə̀ŋwʊ̀ò",NULL,NULL,"ntʃɑ̌ / bə̀tʃɑ̌","tʃɑ̌ː / bə̀ntʃɑ̌ː",NULL,NULL,"ntʃɑ̌ː  /  bə̀ntʃɑ̌ː","ntʃɒ̌ː /  bə̀ntʃɑ̌ː",NULL,NULL,NULL,NULL,"ŋkwɪ́nɪ́~kwɪ́nɪ́ / bʊ̀ŋkwɪ́nɪ́","ŋkwìnì / bʊ̀ŋkwìnì","ndíːlə́ / bàndíːlə́","bítə́tìlə́bí / bítə́tílə́bíníbí","ǹtʃyāː / ǹtʃyāːbə́","ø",NULL,NULL,"kpə̀ŋkɪ́dʒì ~kpə̀ŋkə́dʒì / kpə̀ŋkɪ́dʒìbó ~kpə̀ŋkə́dʒì","ǹtʃyǎ / ntʃyǎbó",NULL,NULL,"ø / ø","ǹndá / bə̀nndá",NULL,NULL,"ǹdáːnə́ / bɛ̀ndáːnə́","ø / ø"
"795","wasp (house, black)",NULL,NULL,"kémbímbyáŋ / kémbímbyáŋ","àmbó / m̀mbó~mòmbó",NULL,NULL,"fə́ɱfyɔ̂ŋ / ə́ɱfyɔ̂ŋ","kə̀mbúmbúŋ / kə̀mbúmbúŋ",NULL,NULL,NULL,NULL,"ø / ø ","kə̀mgbɪ́ŋmgbɪ́ŋ / bə̀mgbɪ́ŋmgbɪ́ŋ",NULL,NULL,"kə̀mgbɪ́mbə́lə̄ / bə̀mgbɪ́mbə́lə̄","kə̀mgbɪ́mbə́lə̄ / bə̀mgbɪ́mbə́lə̄",NULL,NULL,"wâɲkə̀mgbèàlə̀ / bàɲbôkə̀mgbèàlə̀","kə̀mgbə́ːŋmgbə́lə̄ / bàɲbôkə̀mgbèàlə̀",NULL,NULL,NULL,NULL,"àmbìmbí / bìmbìmbí","àmbìmbí / bìmbìmbí","ø / ø","ŋgòŋgɔ̀hɔ̀ / bàŋgòŋgɔ̀hɔ̀","sɛ̄ʔn / sɛ̄ʔnbə́","ø",NULL,NULL,"mgbə̀ŋmbə́ŋ / mgbə̀ŋmgbə́ŋbō","mgbə̀ŋmbə́ŋ / mbə̀ŋmbə́ŋbó",NULL,NULL,"ø / ø ","àmbìmbyɔ̌ŋ / bìmbìmbyɔ̌ŋ",NULL,NULL,"kə̀mbìmbyáŋə́ / bìmbìmbyáŋə́","kə̀mbìmbyàŋhɨ̃́ / àmbìmbyáŋhɨ̃́"
"796","wasp (bush)",NULL,NULL,"ǹtsə̀bə́yāŋ / gbwɪ̀ntsə̀bə́yāŋ","nsə̀lə́zàŋkpé / bə̀nsə̀lə́zàŋkpé",NULL,NULL,"mgbòːkə́nâːŋwɪ̀ɲ / ə̀bə̀mgbòbə́nâːŋwɪ̀ɲ","ø / ø",NULL,NULL,NULL,NULL,"ø / ø ","kə̀ŋgáːmə́ / bə̀ŋgáːmə́",NULL,NULL,"kə̀kwa᷇ːkə́mbʊ̀ (mgbʊ̀) /bə̀kwâːkə́mbʊ̀  dragonfly","ø / ø",NULL,NULL,"bə̀kə̀ŋ / ø","ntàɲntǎːɲɲʊ̀mə́ / ø",NULL,NULL,NULL,NULL,"fìntsǎntsɪ́ntsɪ́ / mùntsǎntsɪ́ntsɪ́","fìntsǎntsìntsí / mùntsǎntsìntsí","ø / ø","ø / ø","ø / ø","ø",NULL,NULL,"gɔ̀ŋlé / gɔ̀ŋlébó","gɔ̀ŋlé / gɔ̀ŋléːbō",NULL,NULL,"ø / ø","ìɣʊ̂mbə̀nkàːm / kìɣʊ̀mə́bə́nkâm",NULL,NULL,"kə̀wʊ̂ŋʊ́ɪ̀wɔ́m / bìwʊ̂ŋɪ̂wɔ̌m ~ìwʊ́ŋɨ̀wɔ̌m","ø / ø"
"797","wasp (brown)",NULL,NULL,NULL,NULL,NULL,NULL,"kə̀ŋʊ̀ŋʊ́ŋ / bə̀ŋʊ̀ŋʊ́ŋ~","ø / ø",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
