"OrderingID","Concept","NVB-Abar-7","ECL-Abar-8","NEM-Ajumbu-9","KDC-Ajumbu-10","ENB-BIYA-1","ICN-BIYA-2","NNB-Buu-3","MNJ-Buu-4","KHK-FANG-12","DPN-FANG-13","JGY-Koshin-3","TEL-Koshin-4","KCS-Kung-3","NJS-Kung-4","KFK-Mashi-1","BKB-Mashi-2","ABS-Missong-1","AGA-Missong-2","APB-Mumfu-1","DNM-Mumfu-2","NMN-Mundabli-3","CEN-Mundabli-2","NGT-Munken-3","NUN-Munken-4","MCA-Ngun-3","KBM-Ngun-4"
"21","chief","ŋkʊ́ŋ / ŋkʊ́ŋbʷɪ̂","ŋkʊ́ŋ / ŋkʊ́ŋbʷɪ̂","ŋ̀kʊ́~ŋ̀kʷʊ́ò/àŋkʷʊ́bə̄~àŋkʊ́~àŋkú","ŋ̀kʊ́~ŋ̀kú /àŋkʊ́~àŋkú","ŋkʊ́ŋ / bə̀ŋkʊ́ŋ","ŋkʊ́ŋ / bə̀ŋkʊ́ŋ","ŋ̀kə́ŋ / bə̀ŋkə́ŋ","ŋ̀kə́ŋ / bə̀ŋkə́ŋ","ŋkʊ́ŋ / bə̀ŋkʊ́ŋ","ŋkʊ́ŋ / bə̀ŋkʊ́ŋ","fèɲ / tə́fêɲ","fə̀ɲ / tə̀fə̂ɲ","fɔ̀ʲ / sə̀fɔ̂ʲ","fɔ̀ɪ̀ / fɔ̂ɪ̀sə̀ ~ sə̀fɔ́ɪ̀","kʊ̌ːŋ / bʊ̀ŋkʊ̌ːŋ","kʊ̌ːŋ / bʊ̀ŋkʊ̌ːŋ","ŋ̀kʊ́ŋ / bàŋkʊ́ŋ","ŋ̀kʊ́ŋ / bàŋkʊ́ŋbʊ̄","ŋkʊ̌ŋ / ŋkʊ̌ŋbə́ ~ŋkʊ́ŋ / ŋkʊ̄ŋ","ŋ̀kʊ̌ŋ / bə̀ŋkʊ̄ŋbə́","ŋkʊ̌ŋ / bòŋkʊ̌ŋ","ŋ̀kʊ̌ːŋ / bòŋkʊ̌ŋ","ŋkʊ́ŋ / ŋ̀kʊ́ŋsə́","ŋ̀kʊ́ŋ / bə̀ŋkʊ́ŋ","ŋkʊ́ŋ / bɛ̀ŋkʊ́ŋ","ŋkʊ́ŋ / bɛ̀ŋkʊ́ŋ"
"22","sub chief",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ŋkʊ́ŋwɪ́ásê / bʊ̀ŋkʊ́ŋbwɪ́sê","ŋkʊ́ŋwásə̂ / bʊ̀ŋkʊ̌ŋbásə̂ ~ bʊ̀ŋkʊ̌ŋbʊ́bísə̂","ŋgɛ̌ː / bàŋgɛ́ː","ŋgɛ̌ː ~ ŋgɛ́ː / bàŋgɛ́ː","ŋkʊ̀ŋkɔ́l / ŋkʊ̀ŋkɔ́l~bə̀ŋkʊ̀ŋkɔ́l","ø",NULL,NULL,NULL,NULL,NULL,NULL
"23","quarter head",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"24","elder (birth)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"mwɪ̀ntə̌ɣ / bʊ̀ntə̌ɣbó","mwɪ̀ntə̌ː / bʊ̀nɪ̀bʊntə̌ːbó","nùːtáːlə́ / bánɛ̂ːbàtàːlə́","ʊ̀tàːlə́ / bàtàlə́","ŋgá / ŋgābə́","tɔ́ʔɔ́ / ø",NULL,NULL,NULL,NULL,NULL,NULL
"25","aged person",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ʊ́dʒʊ́n ~ ndʒʊ̀ / bʊ́nìbʊ́dʒʊ́n ~ bʊ́nɪ́bʊ́dʒʊ̂","mʊ̀wʊ́dʒʊ́n / bʊ́nɪ́bʊ́dʒʊ́n","nòʊ̀kʷù / bànɛ̂bàkʷùːlə́","nōːʊ̀kûː / bànɛ̂bàkùːlə́","màtɔ́ʔ~tyèkɔ́l / mbɛ̀bə̀tɔ́ʔ","màkʊ́ / mbɛ́bʊ̀kʊ́",NULL,NULL,NULL,NULL,NULL,NULL
"26","elder (cultural initiation rites)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"27","thief",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ŋkʊ̌ŋ / bʊ̀ŋkʊ̌ŋbó","ŋkʊ̌ŋ / bʊ̀ŋkʊ̌ŋ","àdʒìː~kídʒílə́ / bìdʒílə́","ʊ̀dʒìːlə́ / bàdʒîːlə́","gyɛ̌ʔ / gyɛ̌ʔbə́","gyɛ̀ʔ / màgyɛ̌ʔɛ́~mbɛ́gyɛ́ʔɛ̀",NULL,NULL,NULL,NULL,NULL,NULL
"28","slave",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"m̀fwə̄ / bʊ̀mfwə́","m̀fwə̀ɣ / mfwə́ɣ","m̀fìː / bàmfìː","ø / ø","mfàː / mfâːbə̌","ø",NULL,NULL,NULL,NULL,NULL,NULL
"29","wicked man",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"mwɪ̀bwɪ̌ːlə̀ɪ́ntsɪ̌ / bʊ́nǐːbʊ́bɪ́ːlə̀ɪ́ntsɪ̌ː","mwɪ̀bwɪ̌ːlə̀ɪ́ntɪ̌ / bʊ́nǐːbʊ́bɪ́ːlə̀ɪ́ntɪ̌ː","nòːʊ̀bàhá / bànêbàbàhá","ø / ø","mābōh / mbɛ̂bə́bóh","màbɔ̌ːɣ~màtsɔ́ː / mbɛ́bə́bɔ́~mbɛ̀tsɔ́",NULL,NULL,NULL,NULL,NULL,NULL
"30","stingy man",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"mwɪ̀ʊ́ɲə́mtə́ / bʊ̀nǐbʊ́ɲə́mtə́","mwɪ̀ʊ́ɲə́mtə́ / bʊ̀nǐbʊ́ɲə́mtə́","nùːɲàmnə́ / bànɛ̂bàɲàmnə́","nōɲámnə́ / bànɛ᷇ːbàɲámnə́","māɲə́m / mbɛ̂ɲə́m","ø",NULL,NULL,NULL,NULL,NULL,NULL
