Doculect	Segment	Zscore	Normedcount	SalienceScore
APBMumfu1	ŋm	-0.01	2	0
APBMumfu1	ŋmʷ	-0.14	0	0
APBMumfu1	ŋʷ	-0.34	0	0
APBMumfu1	ŋˤ	-0.14	0	0
APBMumfu1	œ	-0.05	1	0
APBMumfu1	œː	-0.29	0	0
APBMumfu1	œ̃	-0.14	0	0
APBMumfu1	ũ	-0.28	0	0
APBMumfu1	ũʱ	-0.14	0	0
APBMumfu1	ũː	-0.24	0	0
APBMumfu1	ɑ	-0.47	0	0
APBMumfu1	ɑː	-0.4	0	0
APBMumfu1	ɑ̃	-0.14	0	0
APBMumfu1	ɑ̃ː	-0.14	0	0
APBMumfu1	ɒ	-0.32	0	0
APBMumfu1	ɒː	-0.28	0	0
APBMumfu1	ɒ̃	-0.14	0	0
APBMumfu1	ɒ̃ː	-0.14	0	0
APBMumfu1	ɔ	1.64	50	82
APBMumfu1	ɔː	4.09	21	86
APBMumfu1	ɔ̃	-0.23	0	0
APBMumfu1	ɔ̃ː	-0.19	0	0
APBMumfu1	ɘ	-0.34	0	0
APBMumfu1	ɘː	-0.29	0	0
APBMumfu1	ə	-1.27	66	-84
APBMumfu1	əː	0.44	9	4
APBMumfu1	əˠ	-0.14	0	0
APBMumfu1	ə̃	-0.56	0	0
APBMumfu1	ə̃ː	-0.2	0	0
APBMumfu1	ɛ	2.08	79	164
APBMumfu1	ɛː	1.61	17	27
APBMumfu1	ɛ̃	-0.32	0	0
APBMumfu1	ɛ̃ː	-0.28	0	0
APBMumfu1	ɠ	7.21	7	50
APBMumfu1	ɣ	-0.46	0	0
APBMumfu1	ɥ	0.15	10	2
APBMumfu1	ɦ	-0.24	0	0
APBMumfu1	ɦː	-0.16	0	0
APBMumfu1	ɨ	0.29	3	1
APBMumfu1	ɨː	-0.34	0	0
APBMumfu1	ɨ̃	-0.24	0	0
APBMumfu1	ɪ	-1.18	12	-14
APBMumfu1	ɪː	-0.8	1	-1
APBMumfu1	ɪ̃	-0.26	0	0
APBMumfu1	ɪ̃ː	-0.22	0	0
APBMumfu1	ɯ	-0.2	0	0
APBMumfu1	ɱ	-0.44	0	0
APBMumfu1	ɲ	-0.64	12	-8
APBMumfu1	ɲʲ	-0.26	1	0
APBMumfu1	ɲʷ	-0.4	0	0
