Doculect	Segment	Zscore	Normedcount	SalienceScore
Abar	⁵¹	0.35	224	79
Abar	ⁿb	-0.24	4	-1
Abar	ⁿbʷ	1.04	2	2
Abar	ⁿd	0.76	11	8
Abar	ⁿdʷ	-0.29	0	0
Abar	ⁿt	-0.62	0	0
Ajumbu	a	0.15	541	82
Ajumbu	aː	0.86	117	101
Ajumbu	b	-1.94	208	-404
Ajumbu	bʷ	-0.3	8	-2
Ajumbu	d	-0.56	87	-49
Ajumbu	dzʷ	-0.43	0	0
Ajumbu	dʒ	-0.52	48	-25
Ajumbu	dʒʷ	3.32	12	40
Ajumbu	dʷ	-0.37	0	0
Ajumbu	e	-1.47	19	-28
Ajumbu	eː	-0.66	12	-8
Ajumbu	f	1.79	326	585
Ajumbu	fʲ	1.64	11	18
Ajumbu	fʷ	1.42	16	23
Ajumbu	g	1.09	119	129
Ajumbu	gb	-0.52	37	-19
Ajumbu	gʷ	3.2	26	83
Ajumbu	h	-0.78	0	0
Ajumbu	i	-0.97	104	-101
Ajumbu	iː	-1.76	5	-9
Ajumbu	j	-0.33	143	-47
Ajumbu	k	1.04	575	597
Ajumbu	kp	0.18	65	12
Ajumbu	kpʳʷ	3.46	2	7
Ajumbu	kpʷ	-0.29	0	0
Ajumbu	kx	-0.55	3	-2
Ajumbu	kʰ	-0.29	0	0
Ajumbu	kʲ	2.82	25	71
Ajumbu	kʷ	0.0	18	0
Ajumbu	l	-0.21	116	-25
Ajumbu	m	-1.84	267	-492
Ajumbu	mʷ	0.67	5	3
Ajumbu	n	-0.73	361	-265
Ajumbu	nʷ	2.35	1	2
Ajumbu	o	0.22	161	36
Ajumbu	oː	0.1	35	3
Ajumbu	p	-0.74	3	-2
Ajumbu	q	-0.29	0	0
Ajumbu	r	-0.56	2	-1
Ajumbu	s	0.86	164	141
Ajumbu	sʷ	-0.29	0	0
Ajumbu	t	-1.73	130	-225
Ajumbu	ts	-0.37	62	-23
Ajumbu	tsʷ	-0.4	0	0
Ajumbu	tsː	-0.29	0	0
Ajumbu	tʃ	-1.18	33	-39
Ajumbu	tʃʷ	0.34	1	0
Ajumbu	tʰ	-0.51	0	0
Ajumbu	tʲ	-0.49	0	0
Ajumbu	tʷ	0.25	2	0
Ajumbu	tˢ	-0.29	0	0
Ajumbu	u	0.14	99	14
Ajumbu	uʱ	3.42	32	109
Ajumbu	uː	0.97	16	15
Ajumbu	uːʱ	-0.29	0	0
Ajumbu	v	3.07	42	129
Ajumbu	vʷ	3.46	5	17
Ajumbu	w	0.57	171	98
Ajumbu	z	0.6	115	69
Ajumbu	zː	-0.29	0	0
Ajumbu	²¹	-0.29	0	0
Ajumbu	³	-0.9	177	-160
Ajumbu	³¹	-0.43	0	0
Ajumbu	³⁵	-0.29	0	0
Ajumbu	¹	0.26	1218	320
Ajumbu	¹³	-0.97	1	-1
Ajumbu	¹⁵	-1.18	67	-79
Ajumbu	ã	-0.44	0	0
Ajumbu	ãː	-0.54	0	0
Ajumbu	æ	-0.44	0	0
Ajumbu	æː	-0.43	0	0
Ajumbu	æ̃	-0.4	0	0
Ajumbu	õ	-0.51	0	0
Ajumbu	õː	-0.46	0	0
Ajumbu	ø	-0.37	4	-1
Ajumbu	øː	-0.73	0	0
Ajumbu	ĩ	-0.34	0	0
Ajumbu	ĩː	-0.29	0	0
Ajumbu	ŋ	0.44	388	172
Ajumbu	ŋm	-0.4	3	-1
Ajumbu	ŋmʷ	-0.29	0	0
Ajumbu	ŋʷ	3.29	13	43
Ajumbu	ŋˤ	-0.29	0	0
Ajumbu	œ	-0.45	0	0
Ajumbu	œː	-0.38	0	0
Ajumbu	œ̃	-0.29	0	0
Ajumbu	ũ	-0.32	0	0
Ajumbu	ũʱ	-0.29	0	0
Ajumbu	ũː	-0.37	0	0
Ajumbu	ɑ	-0.54	1	-1
Ajumbu	ɑː	-0.72	0	0
Ajumbu	ɑ̃	-0.29	0	0
Ajumbu	ɑ̃ː	-0.29	0	0
Ajumbu	ɒ	-0.41	0	0
Ajumbu	ɒː	-0.47	0	0
Ajumbu	ɒ̃	-0.29	0	0
Ajumbu	ɒ̃ː	-0.29	0	0
Ajumbu	ɔ	-0.44	104	-46
Ajumbu	ɔː	-0.46	11	-5
Ajumbu	ɔ̃	-0.32	0	0
Ajumbu	ɔ̃ː	-0.37	0	0
Ajumbu	ɘ	-0.41	1	0
Ajumbu	ɘː	-0.45	0	0
Ajumbu	ə	0.95	1176	1117
Ajumbu	əː	-0.19	19	-4
Ajumbu	əˠ	-0.29	0	0
Ajumbu	ə̃	-0.82	0	0
Ajumbu	ə̃ː	-0.42	0	0
Ajumbu	ɛ	-0.37	69	-26
Ajumbu	ɛː	-0.21	24	-5
Ajumbu	ɛ̃	-0.51	0	0
Ajumbu	ɛ̃ː	-0.43	0	0
Ajumbu	ɠ	-0.29	0	0
Ajumbu	ɣ	-0.26	12	-3
Ajumbu	ɥ	1.54	67	103
Ajumbu	ɦ	-0.29	0	0
Ajumbu	ɦː	-0.29	0	0
Ajumbu	ɨ	0.57	16	9
Ajumbu	ɨː	-0.59	0	0
Ajumbu	ɨ̃	-0.45	0	0
Ajumbu	ɪ	-0.95	93	-88
Ajumbu	ɪː	-0.1	12	-1
Ajumbu	ɪ̃	-0.4	0	0
Ajumbu	ɪ̃ː	-0.29	0	0
Ajumbu	ɯ	-0.29	0	0
Ajumbu	ɱ	0.32	2	1
Ajumbu	ɲ	2.71	231	626
Ajumbu	ɲʲ	0.0	5	0
Ajumbu	ɲʷ	0.57	3	2
Ajumbu	ɳ	-0.29	0	0
Ajumbu	ʃ	-0.19	69	-13
Ajumbu	ʃʲ	-0.66	2	-1
Ajumbu	ʃʷ	-0.57	0	0
Ajumbu	ʉ	-0.42	0	0
Ajumbu	ʉʱ	-0.29	0	0
Ajumbu	ʉː	-0.29	0	0
Ajumbu	ʊ	-1.14	136	-156
Ajumbu	ʊʱ	3.22	20	64
Ajumbu	ʊʱː	-0.29	0	0
Ajumbu	ʊː	-0.3	22	-7
Ajumbu	ʊ̃	-0.48	0	0
Ajumbu	ʊ̃ː	-0.43	0	0
Ajumbu	ʊ̤	-0.29	0	0
Ajumbu	ʒ	1.95	37	72
