	ABSMissong1	AGAMissong2	AOMNgun2	APBMumfu1	BAAMashi4	BKBMashi2	BNMKung2	CENMundabli2	DNMMumfu2	DPNFang13	ECLAbar8	ENBBiya1	FBCBiya8	ICNBiya2	JGYKoshin3	KBMNgun4	KCSKung3	KCYBuu2	KDCAjumbu10	KDVFang1	KEMBuu1	KFKMashi1	KHKFang12	KJSFang2	KMNAjumbu2	LFNMundabli1	MCANgun3	MEAMumfu3	MNJBuu4	MRYKoshin2	NACAbar2	NCCMumfu4	NCMMashi5	NDNMissong5	NEAMunken1	NEMAjumbu9	NFKBiya7	NGTMunken3	NINMundabli4	NJNBiya6	NJSKung4	NMAAbar1	NMNMundabli3	NMSMissong4	NNBBuu3	NSFBiya5	NUNMunken4	NVBAbar7	NVIAjumbu1	TELKoshin4	TNTMunken2	WCANgun1	ZKGKung1
ECLAbar8	0.048940490	0.030086888	0.020614551	0.138048196	0.118667205	0.095090550	0.095416981	0.110646324	0.114676849	0.129056779	0.000000000	0.064454674	0.034821855	0.066442740	0.104439776	0.031551445	0.112425951	0.134858995	0.099105725	0.167305334	0.151936965	0.090858549	0.150650417	0.177244163	0.124458302	0.132281709	0.044671122	0.119929617	0.125607511	0.135628570	0.018076248	0.108696427	0.108634288	0.015357808	0.037285246	0.090281124	0.045455076	0.024717208	0.124203638	0.027519801	0.115361943	0.040420904	0.109838708	0.019425476	0.128368886	0.026603852	0.022918705	0.008559165	0.109133830	0.102540014	0.041333232	0.027780799	0.110665591
ENBBiya1	0.075186975	0.028316162	0.077334518	0.139448191	0.095073813	0.041675775	0.031079460	0.122005614	0.125381049	0.084044081	0.064454674	0.000000000	0.029939329	0.008959696	0.054594469	0.116154812	0.096211189	0.040361680	0.097360874	0.104045729	0.057375602	0.039061748	0.094849993	0.105366447	0.073837168	0.154978398	0.149092790	0.127961479	0.071224833	0.075607534	0.065922015	0.110559060	0.097226029	0.086333973	0.038651264	0.093027602	0.029167025	0.074113535	0.130424639	0.053526747	0.084387542	0.066100144	0.108651482	0.070727489	0.067454571	0.092469351	0.082802734	0.076059133	0.045579693	0.055130633	0.096396147	0.022011537	0.037701109
FBCBiya8	0.066654353	0.033045029	0.033589960	0.142336062	0.102227435	0.074306432	0.038884616	0.103007065	0.129855891	0.065266412	0.034821855	0.029939329	0.000000000	0.036128516	0.058432075	0.058271694	0.054978029	0.065630501	0.067473370	0.081549242	0.075194850	0.072470334	0.073700995	0.091328413	0.060077944	0.134697980	0.082577418	0.132706971	0.065064557	0.071221750	0.037584519	0.114701193	0.103379411	0.053244176	0.025944273	0.057822115	0.002864936	0.043496556	0.123273754	0.017739934	0.049873817	0.073832800	0.111542805	0.053648779	0.066225676	0.049142927	0.051543382	0.052413589	0.047822344	0.056812528	0.039998620	0.022943092	0.053847965
ICNBiya2	0.084866959	0.024799351	0.072645710	0.115376726	0.072570715	0.027249066	0.046449760	0.104162779	0.101849100	0.088706539	0.066442740	0.008959696	0.036128516	0.000000000	0.060423934	0.116301981	0.111004346	0.049551543	0.102843420	0.115535829	0.070265332	0.024884063	0.102006996	0.114513510	0.088220480	0.130414755	0.148333100	0.102779213	0.078352821	0.085984023	0.066826429	0.089049267	0.077239536	0.087601849	0.032251646	0.100540498	0.037693483	0.069394579	0.107288703	0.063242495	0.098534711	0.056362883	0.092121366	0.065619072	0.075472193	0.093223619	0.073570396	0.074739473	0.056232439	0.062036377	0.096309109	0.018635345	0.046416792
JGYKoshin3	0.115080871	0.094683312	0.118747618	0.167235308	0.106244264	0.073891516	0.050448611	0.107242907	0.163212003	0.037107165	0.104439776	0.054594469	0.058432075	0.060423934	0.000000000	0.123702964	0.063124557	0.035259176	0.042594164	0.056640542	0.037632424	0.076006794	0.041824726	0.054726711	0.035658750	0.156871493	0.149843952	0.146819154	0.034137282	0.038942662	0.106133959	0.140407841	0.132716711	0.124594618	0.066490599	0.042057045	0.046537282	0.090090682	0.133668224	0.067435724	0.061232078	0.138919170	0.114283330	0.115325239	0.025704115	0.120854942	0.096928274	0.117077407	0.026408245	0.004514679	0.101372047	0.072907163	0.050768457
KBMNgun4	0.062435614	0.072007104	0.029105769	0.169025764	0.148116618	0.136101366	0.128629560	0.107610738	0.145779432	0.135788299	0.031551445	0.116154812	0.058271694	0.116301981	0.123702964	0.000000000	0.105757419	0.181126105	0.096352460	0.177857359	0.186594080	0.136739369	0.161422760	0.191166362	0.135747037	0.145248426	0.006641910	0.143160974	0.138742489	0.156156977	0.037889186	0.132236984	0.140949077	0.030279210	0.068940292	0.091594546	0.065417756	0.025519524	0.142227541	0.029578338	0.118924362	0.083404837	0.117977304	0.051143954	0.144017933	0.017899769	0.033656614	0.034308917	0.133257694	0.121215412	0.035494111	0.059887594	0.147615104
KCSKung3	0.121445375	0.122388804	0.100094907	0.185245666	0.155486511	0.135014922	0.047710131	0.124398717	0.182079169	0.049277209	0.112425951	0.096211189	0.054978029	0.111004346	0.063124557	0.105757419	0.000000000	0.083348894	0.061364524	0.050030479	0.073162062	0.139891545	0.046377657	0.055306734	0.045120031	0.161461587	0.119745423	0.187496653	0.063494817	0.052193834	0.097468434	0.173950017	0.181231455	0.121079980	0.101223019	0.053438556	0.045353251	0.114658252	0.143664115	0.061422712	0.007000328	0.162223605	0.144600398	0.132655440	0.060774198	0.112252690	0.120132857	0.126545415	0.050610956	0.058408538	0.088453166	0.100297478	0.062901478
KCYBuu2	0.156467359	0.106438798	0.150558205	0.170181287	0.137952534	0.079548275	0.038861128	0.139991905	0.172598622	0.049093030	0.134858995	0.040361680	0.065630501	0.049551543	0.035259176	0.181126105	0.083348894	0.000000000	0.075209449	0.050777782	0.004562129	0.078275736	0.050708773	0.044087556	0.044297835	0.183080400	0.217264096	0.162653950	0.029180103	0.040832445	0.130033837	0.153181183	0.164797062	0.170786078	0.088282142	0.078275469	0.050338102	0.133373889	0.154257268	0.099397640	0.067163956	0.152666913	0.138058519	0.147940334	0.026751374	0.169149040	0.145393229	0.148896761	0.026285473	0.036677013	0.151376115	0.083716874	0.038864611
KDCAjumbu10	0.120388516	0.113549637	0.102613738	0.180271123	0.153271436	0.118611623	0.074193623	0.119923990	0.169287845	0.064748453	0.099105725	0.097360874	0.067473370	0.102843420	0.042594164	0.096352460	0.061364524	0.075209449	0.000000000	0.081315621	0.077031432	0.118525574	0.082195736	0.087769307	0.039450354	0.172618345	0.110872676	0.153363676	0.068105010	0.065990260	0.090187826	0.150899256	0.168209639	0.103907742	0.082919446	0.005408418	0.060450302	0.084633601	0.162320929	0.066871046	0.065142761	0.149822551	0.142323594	0.101951963	0.065498780	0.095811540	0.090751551	0.102794260	0.044038253	0.038393626	0.084264559	0.092793243	0.079851994
KDVFang1	0.170912194	0.156808939	0.157926889	0.184372949	0.160994500	0.132713981	0.068558986	0.140131391	0.204923905	0.023244778	0.167305334	0.104045729	0.081549242	0.115535829	0.056640542	0.177857359	0.050030479	0.050777782	0.081315621	0.000000000	0.038600985	0.137488046	0.021631696	0.004444955	0.031008583	0.157474494	0.198916456	0.193391152	0.038749847	0.022208350	0.157868281	0.200469148	0.209606454	0.194917440	0.124592929	0.078903389	0.062266747	0.162531930	0.141062218	0.101784481	0.048546892	0.225733879	0.160506340	0.200022887	0.037240711	0.185176883	0.173466137	0.193553950	0.033279178	0.050498311	0.138469497	0.132980108	0.076712290
KEMBuu1	0.169311422	0.130294364	0.164362564	0.187749982	0.155503572	0.102160917	0.045159941	0.147743122	0.195479304	0.041465536	0.151936965	0.057375602	0.075194850	0.070265332	0.037632424	0.186594080	0.073162062	0.004562129	0.077031432	0.038600985	0.000000000	0.103141315	0.039153303	0.030824960	0.040474312	0.194965145	0.222254960	0.185236391	0.022325305	0.034563672	0.146255837	0.175192520	0.189717272	0.188523004	0.109506815	0.080732875	0.055980352	0.149295695	0.165084976	0.104163892	0.059244114	0.182504135	0.150620141	0.170567922	0.019352768	0.182306274	0.164240616	0.168894992	0.028621393	0.039507147	0.161095028	0.102158083	0.046582915
KFKMashi1	0.092222478	0.039581203	0.098503528	0.092144491	0.043781956	0.001248931	0.087843636	0.071869652	0.078675309	0.107558869	0.090858549	0.039061748	0.072470334	0.024884063	0.076006794	0.136739369	0.139891545	0.078275736	0.118525574	0.137488046	0.103141315	0.000000000	0.130261798	0.138399408	0.116125053	0.094065026	0.162944214	0.074565129	0.102862803	0.104201681	0.076064080	0.072313055	0.043842370	0.099064413	0.042961334	0.119638885	0.074448786	0.081237984	0.079190653	0.090987327	0.134589728	0.058866988	0.056836913	0.075420346	0.104109357	0.115317604	0.076884183	0.090098418	0.074018542	0.078967480	0.104722591	0.044807848	0.083797364
KHKFang12	0.164080960	0.145319246	0.157751609	0.201496500	0.142558754	0.124652454	0.063617235	0.136120484	0.209336435	0.007543540	0.150650417	0.094849993	0.073700995	0.102006996	0.041824726	0.161422760	0.046377657	0.050708773	0.082195736	0.021631696	0.039153303	0.130261798	0.000000000	0.016485535	0.049480312	0.179551084	0.187834199	0.194354535	0.029460996	0.036009889	0.153102690	0.189950270	0.186037484	0.174650626	0.112228739	0.077789559	0.056191842	0.144382706	0.155519890	0.091863490	0.043340902	0.208591966	0.151307605	0.173681517	0.023738862	0.174921759	0.155199797	0.180421271	0.048010520	0.042257317	0.132073953	0.122949194	0.072563014
KJSFang2	0.184426797	0.166259698	0.176658125	0.195107744	0.161456289	0.133442396	0.070217345	0.148085319	0.217111547	0.019444517	0.177244163	0.105366447	0.091328413	0.114513510	0.054726711	0.191166362	0.055306734	0.044087556	0.087769307	0.004444955	0.030824960	0.138399408	0.016485535	0.000000000	0.041698935	0.168979048	0.215413837	0.203911228	0.034675208	0.025483710	0.169491795	0.210582526	0.216522578	0.208385537	0.136087649	0.087882903	0.069512461	0.172689488	0.147533561	0.111224331	0.051641913	0.231681954	0.163821698	0.208361222	0.030546848	0.202052627	0.184522948	0.203216018	0.041185888	0.050370079	0.158105999	0.140682820	0.075565957
KMNAjumbu2	0.126971026	0.117740732	0.112848087	0.164319815	0.153417744	0.114180639	0.041120289	0.131889778	0.168033440	0.044430199	0.124458302	0.073837168	0.060077944	0.088220480	0.035658750	0.135747037	0.045120031	0.044297835	0.039450354	0.031008583	0.040474312	0.116125053	0.049480312	0.041698935	0.000000000	0.156070560	0.157117388	0.161709065	0.042190723	0.025041159	0.114042385	0.158353905	0.177718807	0.142740297	0.093085004	0.035233277	0.046815981	0.124147139	0.142449824	0.075981285	0.046795151	0.168499392	0.151821822	0.145887603	0.039837166	0.130605584	0.131907810	0.141241623	0.009507971	0.030732512	0.106586414	0.092383562	0.049352813
LFNMundabli1	0.126243698	0.123200618	0.105807737	0.038489404	0.091678119	0.088398415	0.180685808	0.058439861	0.050998227	0.156056510	0.132281709	0.154978398	0.134697980	0.130414755	0.156871493	0.145248426	0.161461587	0.183080400	0.172618345	0.157474494	0.194965145	0.094065026	0.179551084	0.168979048	0.156070560	0.000000000	0.142050213	0.070377466	0.163960954	0.134873396	0.105681229	0.092087631	0.114707542	0.148440355	0.127151565	0.169611759	0.135967766	0.146813535	0.010806023	0.138101740	0.184459120	0.118222931	0.060618850	0.146915346	0.182192155	0.151745372	0.120012891	0.128214937	0.134429768	0.155253829	0.119764749	0.123594028	0.188410041
MCANgun3	0.065657251	0.096420499	0.037970252	0.171109658	0.167246001	0.161378575	0.159760695	0.114724638	0.149005524	0.161150033	0.044671122	0.149092790	0.082577418	0.148333100	0.149843952	0.006641910	0.119745423	0.217264096	0.110872676	0.198916456	0.222254960	0.162944214	0.187834199	0.215413837	0.157117388	0.142050213	0.000000000	0.150220276	0.166248796	0.176371965	0.047841069	0.145936808	0.164214741	0.040069720	0.091720536	0.106149422	0.090258987	0.040114680	0.143812711	0.045487219	0.142452977	0.099942447	0.126794283	0.068572292	0.173183005	0.023061167	0.042963361	0.043622044	0.158207184	0.144181735	0.040910536	0.083733661	0.183971351
MEAMumfu3	0.139297121	0.097625290	0.109898726	0.038865334	0.103035649	0.072117904	0.160438886	0.065499898	0.032503742	0.162610711	0.119929617	0.127961479	0.132706971	0.102779213	0.146819154	0.143160974	0.187496653	0.162653950	0.153363676	0.193391152	0.185236391	0.074565129	0.194354535	0.203911228	0.161709065	0.070377466	0.150220276	0.000000000	0.149999839	0.156927664	0.108611877	0.011976213	0.098423586	0.128388445	0.104445874	0.153783173	0.136925577	0.113874845	0.068981406	0.145027508	0.194353802	0.091098544	0.064004239	0.108466916	0.170342447	0.137011958	0.094206169	0.103075159	0.129488343	0.149568266	0.137717860	0.099684401	0.160967296
