ConceptA	ConceptB	ChisqPvalue
breast	kill	0.0004997501249375312
breast	know	0.005497251374312844
breast	leg	0.00849575212393803
breast	man	0.005497251374312844
breast	moon	0.006496751624187906
breast	mouth	0.0074962518740629685
breast	name	0.01249375312343828
breast	neck	0.01249375312343828
breast	night	0.0014992503748125937
breast	nose	0.026486756621689155
breast	rain	0.010494752623688156
breast	road	0.0239880059970015
breast	stone	0.0014992503748125937
breast	sun	0.0029985007496251873
breast	tail	0.005997001499250375
breast	tongue	0.0384807596201899
breast	tooth	0.02798600699650175
breast	water	0.03548225887056472
breast	woman	0.025987006496751622
burn	die	0.015992003998001
burn	fish	0.0004997501249375312
burn	horn	0.0014992503748125937
burn	neck	0.0004997501249375312
burn	two	0.0024987506246876563
burn	water	0.0004997501249375312
child	elephant	0.006496751624187906
child	fire	0.03648175912043978
child	five	0.004997501249375313
child	house	0.0029985007496251873
child	iron	0.04547726136931534
child	night	0.017491254372813594
child	three	0.033483258370814596
child	village	0.043478260869565216
cloud	dog	0.0004997501249375312
cloud	egg	0.0004997501249375312
cloud	eye	0.006496751624187906
cloud	feather	0.0004997501249375312
cloud	fingernail	0.0004997501249375312
cloud	fish	0.0029985007496251873
cloud	hair	0.0004997501249375312
cloud	heart	0.0009995002498750624
cloud	know	0.0004997501249375312
cloud	liver	0.0004997501249375312
cloud	moon	0.0004997501249375312
cloud	one	0.0014992503748125937
cloud	see	0.0034982508745627187
cloud	smoke	0.0004997501249375312
cloud	two	0.005997001499250375
cloud	water	0.0004997501249375312
come	die	0.0004997501249375312
come	dog	0.02448775612193903
come	drink	0.0004997501249375312
come	ear	0.004497751124437781
come	eat	0.0004997501249375312
come	egg	0.0029985007496251873
come	fat, oil	0.001999000499750125
come	fish	0.0009995002498750624
come	give	0.0004997501249375312
come	kill	0.0004997501249375312
come	know	0.0004997501249375312
come	leg	0.00399800099950025
come	mouth	0.010494752623688156
come	name	0.009995002498750625
come	night	0.010494752623688156
come	rain	0.0069965017491254375
come	road	0.0014992503748125937
come	see	0.0004997501249375312
come	skin	0.02348825587206397
come	smoke	0.001999000499750125
come	stone	0.0004997501249375312
come	sun	0.0009995002498750624
come	tail	0.0014992503748125937
come	tongue	0.0004997501249375312
come	tooth	0.009495252373813094
come	tree	0.0009995002498750624
come	walk	0.03798100949525238
count	fall	0.00399800099950025
count	urine	0.0004997501249375312
die	drink	0.0004997501249375312
die	ear	0.04897551224387806
die	egg	0.034482758620689655
die	fingernail	0.0004997501249375312
die	fire	0.0029985007496251873
die	fish	0.02848575712143928
die	give	0.0014992503748125937
die	hear	0.0009995002498750624
die	kill	0.0004997501249375312
die	leaf	0.0009995002498750624
die	leg	0.009495252373813094
die	liver	0.03798100949525238
die	road	0.021989005497251374
die	see	0.0004997501249375312
die	smoke	0.001999000499750125
die	sun	0.027486256871564217
die	tongue	0.001999000499750125
die	walk	0.044977511244377814
dog	drink	0.04297851074462768
dog	ear	0.0004997501249375312
dog	eat	0.02798600699650175
dog	egg	0.0009995002498750624
dog	eye	0.0014992503748125937
dog	feather	0.00399800099950025
dog	fire	0.0004997501249375312
dog	fish	0.00399800099950025
dog	fly	0.0004997501249375312
dog	give	0.030984507746126936
dog	hair	0.0004997501249375312
dog	hear	0.001999000499750125
dog	heart	0.0004997501249375312
dog	horn	0.0004997501249375312
dog	kill	0.0004997501249375312
dog	know	0.020989505247376312
dog	leg	0.0004997501249375312
dog	louse	0.0004997501249375312
dog	man	0.0004997501249375312
dog	moon	0.0004997501249375312
dog	name	0.0009995002498750624
dog	neck	0.02448775612193903
dog	night	0.001999000499750125
dog	nose	0.009995002498750625
dog	one	0.0004997501249375312
dog	person	0.0004997501249375312
dog	rain	0.031984007996002
dog	root	0.0024987506246876563
dog	sand	0.0004997501249375312
dog	see	0.0004997501249375312
dog	sleep	0.0004997501249375312
dog	stone	0.0004997501249375312
dog	sun	0.0004997501249375312
dog	tail	0.013993003498250875
dog	tongue	0.0079960019990005
dog	tree	0.0004997501249375312
dog	two	0.0384807596201899
dog	woman	0.0014992503748125937
drink	ear	0.028985507246376812
drink	egg	0.004497751124437781
drink	fish	0.04547726136931534
drink	give	0.010494752623688156
drink	kill	0.004497751124437781
drink	know	0.0004997501249375312
drink	leg	0.03548225887056472
drink	liver	0.026486756621689155
drink	name	0.019490254872563718
drink	see	0.0024987506246876563
drink	sun	0.0004997501249375312
drink	tail	0.01649175412293853
drink	tongue	0.0004997501249375312
drink	woman	0.004497751124437781
ear	eat	0.011494252873563218
ear	egg	0.001999000499750125
ear	eye	0.010494752623688156
ear	fat, oil	0.0004997501249375312
ear	fire	0.0014992503748125937
ear	fish	0.0009995002498750624
ear	give	0.0004997501249375312
ear	ground, soil	0.010994502748625687
ear	hair	0.0004997501249375312
ear	hear	0.0004997501249375312
ear	heart	0.01199400299850075
ear	kill	0.0004997501249375312
ear	knee	0.01899050474762619
ear	know	0.0004997501249375312
ear	leaf	0.0029985007496251873
ear	leg	0.0004997501249375312
ear	name	0.005497251374312844
ear	night	0.0009995002498750624
ear	nose	0.008995502248875561
ear	one	0.0004997501249375312
ear	person	0.01699150424787606
ear	rain	0.013493253373313344
ear	root	0.004497751124437781
ear	see	0.0024987506246876563
ear	skin	0.005997001499250375
ear	smoke	0.015992003998001
ear	stone	0.0009995002498750624
ear	sun	0.0004997501249375312
ear	tooth	0.01249375312343828
ear	tree	0.0004997501249375312
ear	woman	0.0009995002498750624
eat	egg	0.0069965017491254375
eat	fish	0.0009995002498750624
eat	give	0.0024987506246876563
eat	heart	0.006496751624187906
eat	horn	0.028985507246376812
eat	kill	0.0004997501249375312
eat	knee	0.03248375812093953
eat	leg	0.015492253873063468
eat	man	0.0009995002498750624
eat	mouth	0.0004997501249375312
eat	name	0.0034982508745627187
eat	rain	0.018490754622688656
eat	see	0.0004997501249375312
eat	smoke	0.0009995002498750624
eat	sun	0.0029985007496251873
eat	tail	0.04597701149425287
eat	tongue	0.0014992503748125937
eat	tree	0.01249375312343828
eat	woman	0.015992003998001
egg	eye	0.0004997501249375312
