Variety	Concept	Stability
kung1260	889_medicine	1.0
kung1260	903_monkey	1.0
kung1260	909_mother	1.0
kung1260	90_basket	1.0
kung1260	913_mouth	1.0
kung1260	921_name	1.0
kung1260	975_palmnut	1.0
kung1260	978_palmtree	1.0
mbuu1238	1000_pepper	1.0
mbuu1238	1003_person	1.0
mbuu1238	1017_pig	1.0
mbuu1238	1022_pineapple	1.0
mbuu1238	1024_place	1.0
mbuu1238	1027_plantain	1.0
mbuu1238	1044_pot	1.0
mbuu1238	1046_potato	1.0
mbuu1238	1076_raffiabamboo	1.0
mbuu1238	1079_rain	1.0
mbuu1238	1123_road	1.0
mbuu1238	1134_root	1.0
mbuu1238	1136_rope	1.0
mbuu1238	1148_salt	1.0
mbuu1238	1150_sand	1.0
mbuu1238	1167_seed	1.0
mbuu1238	1189_sheep	1.0
mbuu1238	1206_sieve	1.0
mbuu1238	1238_smoke	1.0
mbuu1238	1240_snake	1.0
mbuu1238	1247_soap	1.0
mbuu1238	1290_star	1.0
mbuu1238	1307_stone	1.0
mbuu1238	1311_stormwind	1.0
mbuu1238	1325_sun	1.0
mbuu1238	1367_termite	1.0
mbuu1238	1403_toilet	1.0
mbuu1238	1404_tongue	1.0
mbuu1238	1405_tooth	1.0
mbuu1238	1409_trap	1.0
mbuu1238	1416_tree	1.0
mbuu1238	1451_umbrella	1.0
mbuu1238	1484_war	1.0
mbuu1238	1490_water	1.0
mbuu1238	1513_winglesstermite	1.0
mbuu1238	1526_workn	1.0
mbuu1238	1541_xylophone	1.0
mbuu1238	1542_yam	1.0
mbuu1238	1552_zinc	1.0
mbuu1238	157_bird	1.0
mbuu1238	163_blood	1.0
mbuu1238	170_book	1.0
mbuu1238	184_breast	1.0
mbuu1238	194_broom	1.0
mbuu1238	233_camwood	1.0
mbuu1238	247_casecourtn	1.0
mbuu1238	250_cat	1.0
mbuu1238	253_caterpillar	1.0
mbuu1238	264_chair	1.0
mbuu1238	276_chief	1.0
mbuu1238	277_child	1.0
mbuu1238	340_corn	1.0
mbuu1238	351_crab	1.0
mbuu1238	359_cricket	1.0
mbuu1238	365_cup	1.0
mbuu1238	374_dance	1.0
mbuu1238	381_day	1.0
mbuu1238	385_deitygodgod	1.0
mbuu1238	391_devil	1.0
mbuu1238	40_air	1.0
mbuu1238	428_drum	1.0
mbuu1238	430_dryseason	1.0
mbuu1238	433_dust	1.0
mbuu1238	435_ear	1.0
mbuu1238	443_egg	1.0
mbuu1238	458_elephantstalk	1.0
mbuu1238	474_eye	1.0
mbuu1238	477_faeces	1.0
mbuu1238	484_farm	1.0
mbuu1238	500_fence	1.0
mbuu1238	519_fire	1.0
mbuu1238	522_fireside	1.0
mbuu1238	527_fish	1.0
mbuu1238	550_forest	1.0
mbuu1238	556_fowl	1.0
mbuu1238	557_friend	1.0
mbuu1238	574_gardenegg	1.0
mbuu1238	590_goat	1.0
mbuu1238	592_gong	1.0
mbuu1238	594_grass	1.0
mbuu1238	599_grave	1.0
mbuu1238	618_gun	1.0
mbuu1238	621_hair	1.0
mbuu1238	623_hand	1.0
mbuu1238	648_head	1.0
mbuu1238	650_headpad	1.0
mbuu1238	661_hill	1.0
mbuu1238	667_hoe	1.0
mbuu1238	676_horse	1.0
mbuu1238	719_jaw	1.0
mbuu1238	72_axe	1.0
mbuu1238	76_bag	1.0
mbuu1238	813_ladder	1.0
mbuu1238	81_banana	1.0
mbuu1238	822_leaf	1.0
mbuu1238	889_medicine	1.0
mbuu1238	903_monkey	1.0
mbuu1238	905_moon	1.0
mbuu1238	913_mouth	1.0
mbuu1238	921_name	1.0
mbuu1238	939_nose	1.0
mbuu1238	944_oil	1.0
mbuu1238	958_owl	1.0
mbuu1238	975_palmnut	1.0
mbuu1238	978_palmtree	1.0
mbuu1238	980_pap	1.0
miss1255	1000_pepper	1.0
miss1255	1003_person	1.0
miss1255	1017_pig	1.0
miss1255	1022_pineapple	1.0
miss1255	1024_place	1.0
miss1255	1044_pot	1.0
miss1255	1046_potato	1.0
miss1255	1076_raffiabamboo	1.0
miss1255	1079_rain	1.0
miss1255	1080_rainbow	1.0
miss1255	1136_rope	1.0
miss1255	1148_salt	1.0
miss1255	1189_sheep	1.0
miss1255	1206_sieve	1.0
miss1255	1238_smoke	1.0
miss1255	1240_snake	1.0
miss1255	1247_soap	1.0
miss1255	1252_song	1.0
miss1255	1290_star	1.0
miss1255	1307_stone	1.0
miss1255	1311_stormwind	1.0
miss1255	1312_story	1.0
miss1255	1325_sun	1.0
miss1255	139_bed	1.0
miss1255	1404_tongue	1.0
miss1255	1405_tooth	1.0
miss1255	1416_tree	1.0
miss1255	1484_war	1.0
miss1255	148_belly	1.0
miss1255	1490_water	1.0
miss1255	1499_week	1.0
miss1255	1526_workn	1.0
miss1255	1541_xylophone	1.0
miss1255	1542_yam	1.0
miss1255	1545_year	1.0
miss1255	157_bird	1.0
miss1255	159_bitterleaf	1.0
miss1255	163_blood	1.0
miss1255	170_book	1.0
miss1255	184_breast	1.0
miss1255	194_broom	1.0
miss1255	237_cap	1.0
miss1255	250_cat	1.0
miss1255	264_chair	1.0
miss1255	276_chief	1.0
miss1255	277_child	1.0
miss1255	304_cloth	1.0
miss1255	334_compound	1.0
miss1255	340_corn	1.0
miss1255	348_cowcattle	1.0
miss1255	351_crab	1.0
miss1255	359_cricket	1.0
miss1255	365_cup	1.0
miss1255	371_cutlass	1.0
miss1255	374_dance	1.0
miss1255	381_day	1.0
miss1255	385_deitygodgod	1.0
miss1255	391_devil	1.0
miss1255	40_air	1.0
miss1255	412_dog	1.0
miss1255	430_dryseason	1.0
miss1255	433_dust	1.0
miss1255	435_ear	1.0
miss1255	443_egg	1.0
miss1255	458_elephantstalk	1.0
miss1255	474_eye	1.0
miss1255	477_faeces	1.0
miss1255	484_farm	1.0
miss1255	493_feather	1.0
miss1255	500_fence	1.0
miss1255	50_animal	1.0
miss1255	519_fire	1.0
miss1255	527_fish	1.0
miss1255	550_forest	1.0
miss1255	556_fowl	1.0
miss1255	557_friend	1.0
miss1255	574_gardenegg	1.0
miss1255	590_goat	1.0
miss1255	592_gong	1.0
miss1255	594_grass	1.0
miss1255	596_grasshopper	1.0
miss1255	599_grave	1.0
miss1255	620_hailstone	1.0
miss1255	621_hair	1.0
miss1255	623_hand	1.0
miss1255	648_head	1.0
miss1255	650_headpad	1.0
miss1255	654_heart	1.0
miss1255	661_hill	1.0
miss1255	667_hoe	1.0
miss1255	672_hornhead	1.0
miss1255	676_horse	1.0
miss1255	681_house	1.0
miss1255	713_intestine	1.0
miss1255	719_jaw	1.0
miss1255	72_axe	1.0
miss1255	76_bag	1.0
miss1255	803_knife	1.0
miss1255	813_ladder	1.0
miss1255	81_banana	1.0
miss1255	822_leaf	1.0
miss1255	889_medicine	1.0
miss1255	905_moon	1.0
miss1255	909_mother	1.0
miss1255	90_basket	1.0
miss1255	913_mouth	1.0
miss1255	918_mushroom	1.0
miss1255	939_nose	1.0
miss1255	944_oil	1.0
miss1255	958_owl	1.0
miss1255	95_bat	1.0
miss1255	975_palmnut	1.0
miss1255	978_palmtree	1.0
miss1255	980_pap	1.0
mufu1234	1017_pig	1.0
mufu1234	1024_place	1.0
