ID	Concept	Doculect	Value	Tokens
122	909_mother	ABSMissong1	ɲí / bàɲí	ɲ i ⁵
123	909_mother	AGAMissong2	ɲí / bàɲí	ɲ i ⁵
124	1003_person	NVBAbar7	ònò~ʊ̀nʊ̀ / ána᷇ː	o ¹ n o ¹
125	1003_person	ECLAbar8	ʊ̀nò / bʷɪ̀na᷇ː	ʊ ¹ n o ¹
126	1003_person	NMAAbar1	ʊ̀nʊ̀ / bə́na᷇ː	ʊ ¹ n ʊ ¹
127	1003_person	NACAbar2	ʊ̀nò / bə́na᷇ː	ʊ ¹ n o ¹
128	1003_person	NEMAjumbu9	ŋʊ̀ / ánɪ̂~ánîbə̄	ŋ ʊ ¹
129	1003_person	NVIAjumbu1	ŋʊ̀ / ánɪ̀	ŋ ʊ ¹
130	1003_person	KMNAjumbu2	ŋʊ̀ / ánɪ̂	ŋ ʊ ¹
131	1003_person	KDCAjumbu10	ŋʊ̀ / ànè	ŋ ʊ ¹
132	1003_person	ENBBiya1	ʊ̀nʊ̀ / bə̀nô	ʊ ¹ n ʊ ¹
133	1003_person	ICNBiya2	ʊ̀nə̀~ʊ̀nò / bə̀nø̂	ʊ ¹ n ə ¹
134	1003_person	NNBBuu3	mgbɪ̀ / mbɪ́lə́	m gb ɪ ¹
135	1003_person	MNJBuu4	mgbɪ̀ː / mbɪ᷇ːlə́	m gb ɪ ¹
136	1003_person	KEMBuu1	mgbɪ̀ / mbɪ̀ːlə̀	m gb ɪ ¹
137	1003_person	KCYBuu2	mgbɪ̀ / mbɪ́ːlə́	m gb ɪ ¹
138	1003_person	KHKFang12	ŋmə̀ / ŋmɪ̀m	ŋm ə ¹
139	1003_person	DPNFang13	ŋmə̀~ŋmə̀tə̀ / ŋmɪ᷇ːm	ŋm ə ¹
140	1003_person	JGYKoshin3	mùèɲ ~ mwèɲ / bə́nî	m u ¹ e ¹ ɲ
141	1003_person	TELKoshin4	mɥɪ̀ɲ / bə́nî	m ɥ ɪ ¹ ɲ
142	1003_person	DPJKoshin1	mʷə̀n  /  bə̀nɪ̀	mʷ ə ¹ n
143	1003_person	MRYKoshin2	mwɪ̀n  /  bə̀nɪ̀	m w ɪ ¹ n
144	1003_person	KCSKung3	wùò / àɣʲə᷇ː	w u ¹ o ¹
145	1003_person	NJSKung4	wʊ̀ə̀ / ɣʲə᷇ː	w ʊ ¹ ə ¹
146	1003_person	ZKGKung1	wùò / ə́ɣyə᷇	w u ¹ o ¹
147	1003_person	BNMKung2	wʊ̀ə̀ / ə́ɣɨ᷇ː	w ʊ ¹ ə ¹
148	1003_person	NMNMundabli3	mò / ḿbɛ̂ː	m o ¹
149	1003_person	CENMundabli2	mò / mbɛ̂ː	m o ¹
150	1003_person	LFNMundabli1	mɔ̀wɔ́ / mbɛ̀ːbó	m ɔ ¹ w ɔ ⁵
151	1003_person	NINMundabli4	mò / mbɛːbɛ́n	m o ¹
152	1003_person	NGTMunken3	ʊ̀nɛ̀ / bə̀nɛ̂	ʊ ¹ n ɛ ¹
153	1003_person	NUNMunken4	ʊ̀nè / bə́nê	ʊ ¹ n e ¹
