Doculect	Segment	Zscore	Normedcount	SalienceScore
g41bajuni	n̪	19.52	10	195
g42aamu	m	1.25	42	53
g42dunguja	ɟ	13.22	12	159
g42swahili	a	1.37	76	104
g43kae	ɟ	11.0	10	110
g44angazija	m	1.38	43	59
g44bndzwani	ʈ	12.17	8	97
g44dmaore	ɖ	16.2	6	97
g51pogoro	m	1.38	43	59
g52ndamba	i	1.34	65	87
g61sangu	i	1.27	64	81
g62hehe	i	1.82	72	131
g63bena	i	1.2	63	76
g64pangwa	h	3.29	25	82
g65kinga	u	1.66	71	118
g66wanji	l	2.52	53	133
h111hangala	k	1.77	40	71
h11beembe	u	1.97	77	152
h12civilicongo	ə	2.63	28	74
h131kisundicongokimongo1988	u	1.19	62	74
h13kikunyi1989	u	1.04	59	61
h16akisikongo2013	n	1.91	46	88
h16akisolongodrc2012	n	2.01	47	95
h16bkindibu2013	n	2.23	49	109
h16cilinji	d	2.19	24	53
h16cimbala	n	2.33	50	117
h16cizobe	u	1.04	59	61
h16ckiyombedrc1982	e	2.2	47	103
h16cyombe	e	2.53	51	129
h16dciwoyodrc2012	n	2.76	54	149
h16flaadi	n	1.8	45	81
h16gkimpangu2012	a	1.22	74	91
h16gntandu	a	1.37	76	104
h16hkinkanu2012	n	2.01	47	95
h16kikongo	n	2.12	48	102
h16kimbatangidinga	k	1.88	41	77
h16kimbeko	n	1.91	46	88
h21akimbundu	i	1.68	70	118
h31yaka	a	2.44	91	222
h321soonde	u	1.4	66	92
h32suku	u	1.4	66	92
h41mbala	g	3.02	27	82
h42hunganna	k	1.25	35	44
jd53shi	u	1.4	66	92
jd62rundi	u	1.87	75	140
jd64shubi	u	1.97	77	152
jd65hangaza	i	1.75	71	124
jd66kiha	u	2.79	93	260
jd67kivinza	u	2.18	81	176
je11runyoro	e	1.86	43	80
je12rutooro	k	1.04	33	34
je13runyankore	e	2.36	49	116
je14rukiga	e	1.86	43	80
je15luganda	u	1.35	65	88
je16lusoga	e	1.37	37	51
je17gwere	k	1.57	38	59
je21runyambo	o	1.27	50	63
je22haya	e	1.62	40	65
je23zinza	e	1.53	39	60
je24kerebe	e	1.2	35	42
je25jita	o	1.03	46	48
je25kilegi	o	1.51	54	81
je25mkwaya	r	2.98	37	110
je31cbukusu	tʰ	15.26	8	122
je31lumasaaba	i	1.41	66	93
je32luyia	i	1.55	68	105
je34samialugwe	e	2.44	50	122
je401ngoreme	r	3.56	43	153
je402ikizu	r	3.76	45	169
je403suba	r	3.37	41	138
je404shasi	r	3.66	44	161
je41maragoli	i	1.34	65	87
je42gusii	r	3.76	45	169
je43kuria	i	2.03	75	152
je43kuriamago	o	2.33	68	159
je43kuriatari	o	2.28	67	152
je44zanaki	r	4.05	48	194
je45nata	r	3.46	42	145
k11ciokwe	w	2.71	28	76
k14lwena	w	2.54	27	69
k15mbunda	l	1.9	45	85
k21lozi	l	2.44	52	127
k31luyana	i	1.62	69	111
k332rumanyo	û	10.07	19	191
k33kwangali	e	1.2	35	42
komgrassfields	ə	7.03	70	492
kulungjarawan	l	1.74	43	75
l11pende	û	9.53	18	171
l12bholu	i	2.16	77	167
l13kwese	g	6.14	45	276
l221lwalwa	s	3.46	27	94
l23songe	u	1.25	63	79
l31alubakasai	u	1.56	69	107
l32kanyok	u	1.66	71	118
l33lubashaba	k	1.57	38	59
l34hemba	u	1.3	64	83
l35sanga	d	3.2	31	99
l41kaonde	j	3.44	35	121
l51salampasu	j	3.87	38	147
l52lunda	u	1.4	66	92
l53runda	d	4.2	38	160
l62nkoya	h	3.78	28	106
m11pimbwe	i	2.03	75	152
m12lungwa	u	2.12	80	170
m13fipa	i	2.44	81	198
m14rungu	m	1.38	43	59
m15mambwe	u	1.66	71	118
m21ndali	g	1.12	16	18
m21wanda	u	1.35	65	88
m22namwanga	u	2.02	78	158
m23nyiha	i	1.82	72	131
m24malila	i	1.68	70	118
m25safwa	i	2.03	75	152
m28lambya	i	2.1	76	159
m31nyakyusa	u	1.5	68	102
m41taabwa	u	1.25	63	79
m42bemba	u	2.07	79	164
m52lala	u	2.33	84	196
m54lamba	u	1.87	75	140
m61lenje	s	2.69	23	62
m62soli	ʃ	4.35	13	57
m64tonga	u	1.09	60	65
mbulajarawan	n	2.12	48	102
moghamograssfields	i	2.3	79	182
mungakagrassfields	ʉ	12.32	26	320
n11manda	l	1.35	38	51
n12ngoni	l	1.43	39	56
n13matengo	h	2.16	18	39
n14mpoto	k	1.36	36	49
n21tumbukamalawi	p	1.77	11	20
n31chewa	a	1.15	73	84
n42kunda	a	2.15	87	187
njengrassfields	ʉ	5.62	12	67
okugrassfields	ɥ	12.09	8	97
p11ndengeleko	u	1.04	59	61
p12rufiji	l	1.66	42	70
p13matumbi	l	1.51	40	60
p14ngindo	l	1.12	35	39
p15mbunga	l	1.74	43	75
p21yao	l	1.51	40	60
p22mwera	l	1.43	39	56
p23simakonde	l	1.35	38	51
p25mabia	l	1.35	38	51
p31emakhua	a	1.51	78	118
p31gikorovere	a	2.8	96	268
r11umbundu	o	2.28	67	152
r21kwanyama	o	2.75	75	206
r22ndonga	o	2.51	71	178
r31herero	o	2.45	70	172
s11shona	m	1.25	42	53
s16kalanga	a	1.37	76	104
s21venda	h	4.59	33	152
s311shekgalagari	o	2.04	63	128
s31tswana	tɬ	20.57	12	247
s41xhosa	u	1.09	60	65
s42zulu	i	1.27	64	81
s44ndebele	h	3.78	28	106
s51tshwa	a	1.3	75	97
s53tsonga	tʼ	20.57	5	103
tivtivoid	h	3.13	24	75
zaambojarawan	p	1.5	10	15

