	Doculect1	Doculect2	cosDistance
59740	d24songola	m41taabwa	0.979940122
52004	c36gmosange	c412libobi	0.979903511
69401	e623akiseri	g22bsouthpare	0.979871388
88356	m22namwanga	m42bemba	0.979856611
88034	m12lungwa	m41taabwa	0.979806681
79036	g65kinga	m15mambwe	0.979746409
82264	h31yaka	n31chewa	0.979742451
88040	m12lungwa	m64tonga	0.979650628
79959	h16akisikongo2013	h16kimbatangidinga	0.979626404
87975	m11pimbwe	m28lambya	0.979605953
88354	m22namwanga	m31nyakyusa	0.979591874
87218	l221lwalwa	m54lamba	0.979586801
79033	g65kinga	m12lungwa	0.979506549
89557	r11umbundu	r22ndonga	0.979502288
89081	n12ngoni	n13matengo	0.979499502
88614	m31nyakyusa	p11ndengeleko	0.979434457
80088	h16akisolongodrc2012	h16cizobe	0.979425599
78885	g64pangwa	l62nkoya	0.979397320
79032	g65kinga	m11pimbwe	0.979325379
49207	c25condinga	c25mboshi	0.979314794
88361	m22namwanga	m64tonga	0.979065545
89047	n11manda	n13matengo	0.979050809
78495	g61sangu	s42zulu	0.979038549
78912	g64pangwa	n14mpoto	0.979031516
68362	e621dkibosho	e64kahe	0.979028738
49206	c25condinga	c25eeboyi	0.978987576
72306	f23sumbwa	g37kutu	0.978946362
75783	g34nguungulu	n21tumbukamalawi	0.978932858
72782	f25bungu	m12lungwa	0.978921381
89446	p21yao	p23simakonde	0.978906881
84626	je25jita	je25kilegi	0.978895137
35062	b503vili	b51dumala	0.978880728
78909	g64pangwa	n11manda	0.978840846
68871	e622clema	je25mkwaya	0.978829929
74638	g23sambaa	g42aamu	0.978804510
67940	e621bmachame	e621csiha	0.978796575
75815	g35luguru	g36kami	0.978780284
82775	jd53shi	jd65hangaza	0.978762175
34731	b501wanzimo	b51duma	0.978759274
72790	f25bungu	m24malila	0.978717607
81422	h16gntandu	h16kimbatangidinga	0.978667632
87803	l52lunda	m54lamba	0.978641774
82354	h321soonde	l52lunda	0.978588058
89154	n14mpoto	p12rufiji	0.978528303
89329	p11ndengeleko	p21yao	0.978501481
87972	m11pimbwe	m23nyiha	0.978481860
79201	g66wanji	n12ngoni	0.978475386
83571	je12rutooro	je13runyankore	0.978472859
32724	b41shira	b42sangumi	0.978457376
83007	jd64shubi	jd66kiha	0.978448392
78049	g51pogoro	g61sangu	0.978405785
79034	g65kinga	m13fipa	0.978398877
81676	h16kikongo	h16kimbeko	0.978392027
79955	h16akisikongo2013	h16gkimpangu2012	0.978364161
65841	e53meruimenti	f32nyaturuwil	0.978297875
72577	f24kimbu	k31luyana	0.978290621
79887	h13kikunyi1989	m11pimbwe	0.978262352
88596	m31nyakyusa	m42bemba	0.978259741
88198	m15mambwe	m31nyakyusa	0.978232103
79824	h13kikunyi1989	h321soonde	0.978190217
59739	d24songola	m31nyakyusa	0.978068231
89356	p12rufiji	p23simakonde	0.978050301
88092	m13fipa	m52lala	0.978027731
89445	p21yao	p22mwera	0.978004229
88350	m22namwanga	m23nyiha	0.978001441
74460	g22bsouthpare	g37kutu	0.977937664
32726	b41shira	b44lumbu	0.977906436
89354	p12rufiji	p21yao	0.977890856
46900	c141bonyala	c21ngare	0.977852039
78316	g52ndamba	n12ngoni	0.977851098
78603	g62hehe	m31nyakyusa	0.977842421
78422	g61sangu	k31luyana	0.977804115
75448	g32kwere	n21tumbukamalawi	0.977802000
88644	m41taabwa	m61lenje	0.977765852
