Doculect	Gloss	Form	Segments	SalienceScore
b77bfumu	burn	tsuu	ts u u	86
b78wuumu	belly	dum	d u m	53
b81tiene	four	nɪɪ	n ɪ ɪ	173
b82buma	knife	mpɛl	m p ɛ l	31
b84mbunda	bird	nɤn	n ɤ n	43
b85dnsongo	nose	mbom	m b o m	98
b85emput	shame	ntswɨn	n ts w ɨ n	52
b85yanzi	nose	mbɔm	m b ɔ m	54
b861ngul	drink	ana	a n a	175
b862lwel	name	dzən	dz ə n	99
b863pindi	nose	mbɔm	m b ɔ m	66
b864ngong	burn	kɔlɔm	k ɔ l ɔ m	97
b865nzadi	house	ndzɔ	n dz ɔ	33
b86dinga	nose	mbɔm	m b ɔ m	39
b86dzing	nose	mbwœm	m b w œ m	64
bamungrassfields	tree	tɨtɨ	t ɨ t ɨ	214
bilejarawan	eye	njuŋ	n j u ŋ	66
bwazzajarawan	drink	nu	n u	100
c101baboledz	cloud	etee	e t e e	66
c101baboleep	person	moto	m o t o	60
c101babolema	cloud	etee	e t e e	50
c104aka	arm	bɔ	b ɔ	52
c105mbenga	vomit	lo	l o	47
c141bonyala	two	aba	a b a	43
c142mondongo	bark	eɸoɸo	e ɸ o ɸ o	100
c15bongili	person	moto	m o t o	54
c21ngare	two	abaa	a b a a	56
c22akwa	two	abaa	a b a a	69
c24koyo	arm	ɛbɔgɔ	ɛ b ɔ g ɔ	50
c25abunji	two	abaa	a b a a	69
c25bolee	cloud	eɸiira	e ɸ i i r a	46
c25condinga	two	abaa	a b a a	62
c25eeboyi	two	abaa	a b a a	54
c25mboshi	one	ɸɔɔ	ɸ ɔ ɔ	55
c302bolondo	kill	ɓooli	ɓ o o l i	122
c322zamba	nose	zolo	z o l o	65
c323mpama	ashes	tsweleke	ts w e l e k e	56
c32bobangi	sleep	tɔlɔ	t ɔ l ɔ	72
c34sakata	sand	zɛl	z ɛ l	40
c36dlingala	person	moto	m o t o	44
c36gmonyongo	burn	bololi	b o l o l i	86
c36gmosange	nose	zolo	z o l o	80
c37ebudza	head	moto	m o t o	106
c401babati1919	mouth	mɯnɯkɯ	m ɯ n ɯ k ɯ	290
c401pakabete	heart	neme	n e m e	110
c412libobi	kill	booli	b o o l i	78
c41ngombe	arm	ebo	e b o	44
c42ebwela	come	oɗoɗi	o ɗ o ɗ i	188
c43abaati	ear	ɪtɪʊ	ɪ t ɪ ʊ	181
c44bwa	horn	lɪsɪkɪ	l ɪ s ɪ k ɪ	200
c52soko	two	ele	e l e	101
c52soko1919	sun	lɯhɯ	l ɯ h ɯ	248
c54turumba1919	arm	bɯɯ	b ɯ ɯ	632
c55lokele	bark	loso	l o s o	105
c61ekonda	nose	boolo	b o o l o	144
c61mongo	iron	loolo	l o o l o	80
c71tetela	person	oto	o t o	101
c76ombo	die	bo	b o	49
c81dengese	drink	nɔ	n ɔ	41
c83bushong	sand	ʃjɛɛŋj	ʃ j ɛ ɛ ŋ j	78
c85wongo	leg	r̃ukur̃u	r̃ u k u r̃ u	87
d11mbole	bark	loso	l o s o	145
d12lengola	two	ʂili	ʂ i l i	120
d13metoko	animal	ɲama	ɲ a m a	57
d14enya	ear	kutu	k u t u	73
d201liko	man	mʊlʊkʊ	m ʊ l ʊ k ʊ	125
d20bvamba1919	arm	kɯkɯ	k ɯ k ɯ	80
d211kango	sleep	alalaa	a l a l a a	156
d21baali	egg	ɗisi	ɗ i s i	37
d23kibirakumu1919	groundsoil	dɯdɯ	d ɯ d ɯ	224
d24songola	big	kulu	k u l u	92
d25lega	leg	kʊgʊlʊ	k ʊ g ʊ l ʊ	78
d28holoholo	sky	ɪgʊlʊ	ɪ g ʊ l ʊ	89
d304homa1919	bone	kɯɯ	k ɯ ɯ	94
d305nyangali	dew	mamɛ	m a m ɛ	98
d308bodo2	feather	ata	a t a	59
d308ebodo	snake	sɪɪ	s ɪ ɪ	41
d311bila	fingernail	ɛkɔlɛ	ɛ k ɔ l ɛ	67
d313mbuttu1919	iron	idɯkɯ	i d ɯ k ɯ	72
d32bira	skin	koso	k o s o	89
d32birabunia	egg	liki	l i k i	53
d331bvanuma	nose	ɽʊɽʊ	ɽ ʊ ɽ ʊ	696
d333ndaaka	egg	ukɪɪ	u k ɪ ɪ	47
d334mbo	root	ukuu	u k u u	44
d33nyali	knee	l̪ul̪u	l̪ u l̪ u	274
d43nyanga	eat	ra	r a	36
d55buyu	big	ahuhi	a h u h i	67
dugurijarawan	heart	ɓaal	ɓ a a l	58
e46sonjo	give	ha	h a	59
e51kikuyu	eye	riːθɔ	r iː θ ɔ	74
e52embu	navel	rorera	r o r e r a	64
e52mbeere	kill	oraɣa	o r a ɣ a	55
e531muthambi	nose	ɲoːro	ɲ oː r o	52
e531mwimbi	eat	rea	r e a	48
e53igoji	two	ere	e r e	58
e53imenti	kill	oraɣa	o r a ɣ a	46
e53meru	four	fiini	f i i n i	118
e53meruimenti	night	utuku	u t u k u	96
e53merutig	ear	utu	u t u	145
e53miutini	nose	ɲoːro	ɲ oː r o	57
e53tigania	nose	ɲuuru	ɲ u u r u	99
e541chuka	leg	kuguru	k u g u r u	59
e54tharaka	night	utuku	u t u k u	93
e55kamba	firewood	oko	o k o	64
e55kambakitu	leg	koo	k o o	169
e55kambamach	sleep	eoo	e o o	174
e56daiso	animal	ɲama	ɲ a m a	66
e621bmachame	hair	fii	f i i	88
e621csiha	hair	ifili	i f i l i	104
e621dkibosho	bite	amada	a m a d a	98
e622akimochi	tree	ikidi	i k i d i	78
e622clema	root	mri	m r i	64
e622cmamba	root	mri	m r i	61
e622cvunjo	liver	ɺima	ɺ i m a	77
e623akiseri	village	mtaa	m t a a	72
e623dkeni	hunger	ʃaa	ʃ a a	119
e623mkuu	dew	imii	i m i i	87
e64kahe	animal	ɲama	ɲ a m a	54
e65gweno	man	mmi	m m i	72
e701elwana	four	naa	n a a	112
