ConceptA	ConceptB	ChisqPvalue
ashes	tooth	0.00849575212393803
ashes	tree	0.0004997501249375312
ashes	two	0.0009995002498750624
ashes	water	0.0069965017491254375
bark	bird	0.0004997501249375312
bark	bone	0.0009995002498750624
bark	feather	0.0004997501249375312
bark	fish	0.020989505247376312
bark	hair	0.008995502248875561
bark	hear	0.0004997501249375312
bark	leg	0.0009995002498750624
bark	two	0.04897551224387806
belly	bird	0.04997501249375312
belly	blood	0.026486756621689155
belly	bone	0.009995002498750625
belly	breast	0.021989005497251374
belly	dog	0.0004997501249375312
belly	drink	0.013493253373313344
belly	ear	0.0004997501249375312
belly	eat	0.00399800099950025
belly	egg	0.0009995002498750624
belly	eye	0.00849575212393803
belly	fat, oil	0.0024987506246876563
belly	fire	0.0024987506246876563
belly	fish	0.0004997501249375312
belly	give	0.028985507246376812
belly	hair	0.00399800099950025
belly	head	0.004497751124437781
belly	horn	0.0014992503748125937
belly	kill	0.0004997501249375312
belly	leg	0.0004997501249375312
belly	man	0.0004997501249375312
belly	moon	0.0004997501249375312
belly	mouth	0.001999000499750125
belly	name	0.0004997501249375312
belly	neck	0.001999000499750125
belly	night	0.0004997501249375312
belly	nose	0.004997501249375313
belly	one	0.008995502248875561
belly	rain	0.0079960019990005
belly	see	0.01649175412293853
belly	smoke	0.0004997501249375312
belly	sun	0.0004997501249375312
belly	tongue	0.0009995002498750624
belly	tooth	0.0029985007496251873
belly	tree	0.005497251374312844
belly	two	0.012993503248375811
belly	woman	0.0004997501249375312
big	die	0.01649175412293853
big	dog	0.004497751124437781
big	drink	0.0014992503748125937
big	ear	0.0009995002498750624
big	fish	0.012993503248375811
big	head	0.017991004497751123
big	kill	0.001999000499750125
big	know	0.0004997501249375312
big	leaf	0.001999000499750125
big	tail	0.0009995002498750624
big	tongue	0.0009995002498750624
big	tree	0.013493253373313344
big	two	0.00399800099950025
bird	bite	0.037481259370314844
bird	blood	0.029985007496251874
bird	bone	0.017991004497751123
bird	breast	0.009495252373813094
bird	egg	0.009495252373813094
bird	eye	0.009495252373813094
bird	feather	0.0009995002498750624
bird	fingernail	0.0004997501249375312
bird	fish	0.03398300849575212
bird	ground, soil	0.010494752623688156
bird	hair	0.030984507746126936
bird	head	0.04297851074462768
bird	hear	0.0024987506246876563
bird	heart	0.04047976011994003
bird	horn	0.017491254372813594
bird	kill	0.0009995002498750624
bird	leaf	0.0004997501249375312
bird	liver	0.03298350824587706
bird	man	0.0014992503748125937
bird	neck	0.0069965017491254375
bird	night	0.0034982508745627187
bird	nose	0.011494252873563218
bird	person	0.0079960019990005
bird	rain	0.015492253873063468
bird	root	0.028985507246376812
bird	sleep	0.02798600699650175
bird	tail	0.04397801099450275
bird	tooth	0.0014992503748125937
bite	cloud	0.027486256871564217
bite	come	0.0384807596201899
bite	egg	0.02948525737131434
bite	fingernail	0.00399800099950025
bite	fish	0.0074962518740629685
bite	hear	0.006496751624187906
bite	heart	0.0004997501249375312
bite	kill	0.013493253373313344
bite	know	0.0009995002498750624
bite	liver	0.03398300849575212
bite	rain	0.037481259370314844
bite	sleep	0.049475262368815595
bite	tail	0.005497251374312844
bite	tongue	0.0014992503748125937
bite	tree	0.044977511244377814
bite	water	0.031984007996002
bite	woman	0.04847576211894053
blood	bone	0.0009995002498750624
blood	breast	0.005997001499250375
blood	ear	0.0024987506246876563
blood	egg	0.0004997501249375312
blood	fire	0.0004997501249375312
blood	fish	0.0009995002498750624
blood	goat	0.02348825587206397
blood	hair	0.0004997501249375312
