ConceptA	ConceptB	ChisqResidual	NumForms
animal_70	come_5802	2.5604723233260147	1
animal_70	come_5854	2.783264422680829	1
animal_80	come_5857	6.206826190415251	1
animal_110	egg_8758	3.627247952765757	3
animal_110	egg_8878	3.3698619158465446	2
animal_111	egg_8878	4.112985340580384	1
animal_111	egg_8916	8.196409244174669	1
animal_112	egg_8758	5.06773398185455	4
animal_112	egg_8800	4.335688269592769	1
animal_118	egg_8748	2.2497210893618966	1
animal_118	egg_9095	14.33543927743787	1
animal_133	egg_8773	3.8288694106557646	1
animal_133	egg_8878	7.876650368625793	3
animal_16	egg_8758	2.124252762548936	4
animal_16	egg_8817	2.0284495765163157	16
animal_162	egg_8890	7.063588118543841	1
animal_217	egg_8958	7.569846877948973	1
animal_22	egg_8769	7.063588118543841	1
animal_22	egg_8780	5.816639650490502	2
animal_22	egg_8916	5.710713527746242	1
animal_23	egg_8780	4.616335266864124	2
animal_23	egg_8890	2.6002876733038103	1
animal_23	egg_9104	8.196409244174669	1
animal_24	egg_8771	5.710713527746242	1
animal_24	egg_9113	3.00210241274997	1
animal_243	egg_8758	2.910564471398748	1
animal_259	egg_8917	9.000669319154609	1
animal_26	egg_8773	10.329705283548991	2
animal_26	egg_8775	3.4504525051013006	1
animal_317	egg_8758	-2.049519861826823	6
animal_338	egg_9084	7.569846877948973	1
animal_350	egg_8761	3.00210241274997	1
animal_369	egg_8761	3.2918235529798148	2
animal_369	egg_9084	4.2204866036445745	1
animal_405	egg_8928	8.196409244174669	1
animal_49	egg_8748	3.005555560314151	6
animal_49	egg_8817	2.9697967570190107	17
animal_49	egg_8868	3.7448883913873985	1
animal_5	egg_8762	7.569846877948973	1
animal_5	egg_8771	2.82527117286633	1
animal_5	egg_8890	2.354921239606631	1
animal_70	egg_8817	2.200358664698043	5
animal_70	egg_9038	8.196409244174669	1
animal_110	fat, oil_10648	4.324167682932875	1
animal_110	fat, oil_10655	2.4757361197939867	2
animal_110	fat, oil_10777	2.2704152193498404	2
animal_111	fat, oil_10532	2.0586836381961	1
animal_112	fat, oil_10514	-2.2279318632779597	0
animal_112	fat, oil_10532	2.399082635766134	3
animal_112	fat, oil_10545	5.400098644960355	2
animal_112	fat, oil_10550	6.270902094201482	1
animal_114	fat, oil_10611	10.062787150189763	1
animal_118	fat, oil_10532	2.0586836381961	1
animal_118	fat, oil_10777	2.9933978582643506	1
animal_133	fat, oil_10558	2.6993956018987237	1
animal_133	fat, oil_10846	8.978424501967496	1
animal_16	fat, oil_10503	11.086013155612939	16
animal_16	fat, oil_10514	-2.8223239904275785	4
animal_16	fat, oil_10545	4.375293833093726	3
animal_16	fat, oil_10655	2.4883186237267134	4
animal_217	fat, oil_10710	3.734644478363739	1
animal_22	fat, oil_10506	3.31417136554429	1
animal_22	fat, oil_10558	3.0918262067005218	1
animal_225	fat, oil_10710	3.734644478363739	1
animal_23	fat, oil_10525	3.9072298004441217	1
animal_23	fat, oil_10532	2.14289195876067	2
animal_243	fat, oil_10838	14.300518963135993	1
animal_26	fat, oil_10525	11.562686640947218	2
animal_26	fat, oil_10527	11.64791528940629	1
animal_317	fat, oil_10503	-2.6733008791826385	5
animal_317	fat, oil_10514	2.592897907782141	169
animal_317	fat, oil_10777	-3.303522501500883	1
animal_338	fat, oil_10532	3.198340707106612	1
animal_350	fat, oil_10777	4.447791243738646	1
animal_49	fat, oil_10590	3.734644478363739	1
animal_49	fat, oil_10610	2.463374856294198	1
animal_49	fat, oil_10777	7.135457195567197	9
animal_49	fat, oil_10783	3.734644478363739	1
animal_5	fat, oil_10506	5.063160398440779	2
animal_5	fat, oil_10553	2.3474652756407246	1
animal_5	fat, oil_10558	2.1698151830137307	1
animal_5	fat, oil_10656	4.209217756815842	1
animal_56	fat, oil_10503	2.6626379804328764	1
animal_56	fat, oil_10555	10.062787150189763	1
animal_70	fat, oil_10500	4.581269254208205	1
animal_70	fat, oil_10787	8.176054132548881	1
animal_80	fat, oil_10532	2.0586836381961	1
animal_86	fat, oil_10777	4.23330384873602	2
animal_110	fingernail_11400	3.2676869155073254	4
animal_110	fingernail_11617	3.3776224379485247	1
animal_111	fingernail_11357	2.1463021463032192	1
animal_111	fingernail_11392	9.899999999999999	1
animal_112	fingernail_11319	4.2485291572496005	1
animal_112	fingernail_11322	4.929503017546495	3
animal_112	fingernail_11406	2.2127025628355357	2
animal_112	fingernail_11417	2.4748737341529163	1
animal_114	fingernail_11400	3.0333333333333337	1
animal_118	fingernail_11340	3.252691193458119	1
animal_133	fingernail_11499	3.018691769624716	2
animal_16	fingernail_11319	2.2453400019012557	1
animal_16	fingernail_11320	3.4446485231843122	1
animal_16	fingernail_11327	6.306233720997214	5
animal_16	fingernail_11336	5.966306256372329	3
animal_16	fingernail_11595	4.985267567574134	7
animal_162	fingernail_11424	2.6097226239416793	1
animal_217	fingernail_11374	5.864395652037503	1
animal_22	fingernail_11322	3.0333333333333337	1
animal_22	fingernail_11331	4.970328627632852	1
animal_22	fingernail_11458	11.460402843414071	1
animal_225	fingernail_11357	3.313717822393997	1
animal_23	fingernail_11323	8.042491322138101	1
animal_24	fingernail_11673	14.071424945612296	1
animal_243	fingernail_11351	4.501913173554352	1
animal_243	fingernail_11537	2.5403411844343533	1
animal_259	fingernail_11357	3.313717822393997	1
