	animal_317	arm_808	belly_1914	big_2431	bird_2723	bite_3105	breast_4265	breast_4284	child_5068	die_6742	die_6976	dog_7348	drink_7636	ear_7930	ear_8040	egg_8817	elephant_9157	eye_9674	eye_9769	face_10038	fall_10314	fat, oil_10514	feather_10928	fire_11947	five_12733	fly_13243	four_13441	goat_14327	head_15361	head_15217	heart_16283	horn_16467	house_16986	house_16865	hunger_17380	know_18997	leg_19876	louse_20701	moon_21517	moon_21358	name_22298	neck_22950	one_24148	person_24653	rain_25113	road_25605	sand_26562	see_26914	send_27203	shame_27442	sing_27812	sleep_28909	snake_29468	spear_29766	tail_31265	ten_31562	three_31928	tongue_32199	tooth_32424	tree_32867	two_33128	two_33356	walk_34527	water_35122	woman_35913
die_6976	0.3734567901234568	0.32992031872509964	0.08889423076923077	0.09242677824267784	0.1636082474226804	0.2733333333333333	0.019342105263157893	0.2	0.3371098265895954	0.0	0.0	0.3526666666666667	0.4423622047244094	0.1344015444015444	0.23353535353535354	0.07319502074688797	0.07107476635514018	0.16266355140186914	0.140625	0.048776371308016875	0.13876146788990826	0.3572093023255814	0.12211267605633802	0.07272727272727274	0.12803225806451612	0.17889423076923078	0.18312714776632302	0.13704724409448818	0.3764090909090909	0.04035874439461883	0.15569037656903764	0.14135514018691586	0.11467889908256881	0.027056277056277053	0.24946768060836505	0.2323041474654378	0.215748987854251	0.09507042253521127	0.19117647058823528	0.061945701357466056	0.2645	0.2001779359430605	0.15402654867256638	0.4760371517027863	0.40344729344729346	0.3538888888888889	0.18615384615384617	0.2652054794520548	0.21904	0.17149606299212597	0.16676470588235293	0.3160091743119266	0.1797872340425532	0.01652892561983471	0.27282511210762334	0.2989530685920578	0.265984555984556	0.4023529411764706	0.373134328358209	0.18457627118644065	0.00949367088607595	0.2929017857142857	0.12763713080168776	0.16937728937728938	0.22446601941747574
dog_7348	0.3978285714285714	0.3056183745583039	0.12107758620689657	0.1008955223880597	0.30926174496644293	0.4096138996138996	0.022239382239382238	0.2967049808429119	0.4635376044568245	0.05042801556420233	0.3526666666666667	0.0	0.5582656826568266	0.17375886524822692	0.22736842105263158	0.14007782101167315	0.06477732793522267	0.14036290322580647	0.1806810035842294	0.1469387755102041	0.20675105485232068	0.39843971631205677	0.13481327800829876	0.1370886075949367	0.2490880503144654	0.20346153846153847	0.1741486068111455	0.23970037453183524	0.44879668049792537	0.03501945525291829	0.16253731343283584	0.15950207468879665	0.12246963562753037	0.04515625	0.274083044982699	0.2008366533864542	0.45306451612903226	0.08198380566801619	0.25896265560165976	0.10330578512396695	0.6866225165562914	0.30593220338983046	0.16633858267716534	0.605	0.5664542936288088	0.4144140625	0.26682539682539685	0.38954098360655737	0.21728571428571428	0.23357664233576642	0.2657707509881423	0.2970281124497992	0.21718146718146716	0.05596899224806202	0.30520161290322584	0.31592105263157894	0.26888888888888896	0.6128875379939209	0.5210320284697508	0.21551724137931033	0.018333333333333333	0.3698770491803278	0.2173015873015873	0.3722992700729927	0.2058823529411765
drink_7636	0.7385798816568047	0.5600358422939068	0.20830578512396694	0.18782608695652173	0.2895076923076923	0.5014285714285713	0.044384057971014496	0.33603571428571427	0.6866016713091923	0.06322580645161291	0.4423622047244094	0.5582656826568266	0.0	0.13412698412698412	0.3586440677966102	0.14576512455516014	0.12593023255813954	0.17318352059925093	0.2885365853658537	0.16314606741573034	0.2733730158730159	0.4963050847457627	0.18525291828793772	0.14256704980842913	0.3490548780487805	0.2777822580645161	0.3589028213166144	0.3303225806451613	0.6687346938775511	0.02731707317073171	0.19013888888888886	0.3360995850622407	0.22740157480314963	0.05451612903225806	0.45446735395189003	0.328062015503876	0.398014440433213	0.215748987854251	0.3478740157480315	0.08859778597785978	0.597027027027027	0.43646864686468645	0.1712589928057554	0.81546783625731	0.7308695652173912	0.4464130434782609	0.3297014925373134	0.6153770491803279	0.4103584229390681	0.28457044673539517	0.3367537313432836	0.37125	0.3550566037735849	0.04238754325259515	0.38022813688212925	0.6066216216216216	0.4387972508591066	0.9180674846625767	0.6639518900343643	0.3191512915129151	0.019862068965517243	0.4605038759689922	0.2077697841726619	0.508833922261484	0.26472440944881886
ear_7930	0.329942363112392	0.2977941176470588	0.06926406926406926	0.19428571428571428	0.22563758389261743	0.12965156794425087	0.10913636363636364	0.06652920962199312	0.3186885245901639	0.07443037974683545	0.1344015444015444	0.17375886524822692	0.13412698412698412	0.0	0.0	0.1373061224489796	0.0614468085106383	0.14314893617021276	0.12566787003610108	0.06374501992031872	0.06324110671936758	0.3234767025089606	0.1216017316017316	0.09931034482758622	0.24735294117647058	0.09560165975103735	0.24163879598662205	0.14184501845018452	0.054982817869415807	0.14451612903225805	0.215748987854251	0.0398443579766537	0.07934426229508197	0.04481481481481481	0.10181818181818182	0.13456	0.21878787878787878	0.08690987124463519	0.07030418250950571	0.11458149779735682	0.29432432432432437	0.3454676258992806	0.16400826446280994	0.4655718475073314	0.4867039106145251	0.1407446808510638	0.1489922480620155	0.373728813559322	0.15143369175627241	0.14840579710144927	0.0882720588235294	0.1279087452471483	0.11878787878787879	0.08134453781512604	0.11833962264150945	0.17971246006389777	0.24014285714285716	0.3711918604651162	0.23844884488448845	0.18818181818181817	0.061709401709401715	0.10327205882352943	0.10845559845559846	0.2343214285714286	0.11655601659751037
ear_8040	0.2868831168831169	0.155	0.12843023255813954	0.06685185185185186	0.0715547703180212	0.19602620087336245	0.00587378640776699	0.19380733944954126	0.19776470588235295	0.010613207547169812	0.23353535353535354	0.22736842105263158	0.3586440677966102	0.0	0.0	0.0467579908675799	0.07440217391304348	0.1138659793814433	0.08890756302521009	0.04004761904761905	0.13089005235602094	0.17015625	0.0702051282051282	0.039200000000000006	0.0896896551724138	0.11626315789473685	0.1136231884057971	0.10349137931034483	0.4054450261780104	0.010922330097087379	0.1306511627906977	0.15934426229508195	0.05722772277227724	0.034141414141414146	0.18950819672131147	0.1159903381642512	0.12982832618025753	0.09586956521739129	0.11712195121951219	0.01743961352657005	0.2073421926910299	0.13636363636363635	0.05619266055045871	0.23681957186544342	0.25069565217391304	0.2125446428571429	0.10472727272727272	0.18782608695652173	0.12252100840336133	0.07934426229508197	0.0995045045045045	0.30880208333333337	0.10472727272727272	0.009074074074074073	0.2545959595959596	0.17831460674157307	0.155	0.24429022082018928	0.25	0.19883495145631067	0.01097560975609756	0.1755188679245283	0.0988785046728972	0.09652509652509651	0.14862433862433863
egg_8817	0.1733625730994152	0.15574144486692015	0.03219047619047619	0.10331838565022423	0.2778846153846154	0.06180147058823529	0.12978378378378377	0.0649034749034749	0.24391930835734868	0.05861244019138757	0.07319502074688797	0.14007782101167315	0.14576512455516014	0.1373061224489796	0.0467579908675799	0.0	0.0531219512195122	0.031558441558441556	0.21917391304347827	0.16989898989898988	0.11488038277511961	0.12903225806451613	0.12004999999999999	0.051367924528301884	0.13931972789115646	0.03211453744493392	0.13877622377622378	0.09216	0.05285714285714285	0.09482051282051282	0.084375	0.04309417040358745	0.04328828828828828	0.048995215311004786	0.14921052631578946	0.05147058823529412	0.16400826446280994	0.03115207373271889	0.032263374485596706	0.10227272727272727	0.3861168384879725	0.11003508771929825	0.09	0.25513274336283187	0.35072463768115936	0.155	0.05520161290322581	0.1825	0.06606741573033709	0.17604166666666665	0.11068085106382979	0.1059322033898305	0.09281512605042015	0.12690355329949238	0.0582258064516129	0.13686206896551723	0.09832727272727272	0.15735632183908044	0.17314487632508835	0.05476	0.08576530612244898	0.0748582995951417	0.07901709401709402	0.12552238805970148	0.05811659192825112
elephant_9157	0.17914012738853505	0.15766949152542373	0.02150537634408602	0.0671078431372549	0.14649606299212597	0.022239382239382238	0.05953488372093023	0.03489626556016598	0.2805079365079365	0.03595744680851064	0.07107476635514018	0.06477732793522267	0.12593023255813954	0.0614468085106383	0.07440217391304348	0.0531219512195122	0.0	0.02580487804878049	0.08528634361233481	0.11755555555555555	0.05224489795918367	0.05328413284132841	0.10505681818181818	0.012864321608040201	0.28918032786885245	0.021724137931034483	0.17813492063492065	0.06278260869565216	0.0872072072072072	0.02358288770053476	0.15125000000000002	0.049792746113989636	0.024079601990049753	0.0935672514619883	0.40888888888888886	0.026301369863013697	0.060928270042194095	0.03919354838709677	0.024266055045871558	0.0825142857142857	0.10083601286173634	0.047127272727272726	0.04923076923076923	0.10526315789473684	0.2125	0.10393939393939394	0.012142857142857143	0.06020477815699658	0.10439130434782609	0.12653153153153154	0.05542986425339366	0.1159903381642512	0.04	0.15668674698795182	0.09132075471698115	0.1694941634241245	0.07652173913043478	0.12063829787234041	0.13688212927756654	0.10028436018957347	0.08544378698224853	0.0419650655021834	0.061421800947867304	0.049846153846153846	0.08941489361702129
eye_9674	0.38750830564784056	0.15625984251968503	0.2084431137724551	0.07239819004524888	0.08771929824561403	0.3042533936651584	0.0016513761467889909	0.16859649122807016	0.31100609756097564	0.010273972602739725	0.16266355140186914	0.14036290322580647	0.17318352059925093	0.14314893617021276	0.1138659793814433	0.031558441558441556	0.02580487804878049	0.0	0.0	0.061714285714285715	0.1701047120418848	0.3213278008298755	0.00871111111111111	0.09630208333333334	0.08757575757575758	0.2112087912087912	0.1941573033707865	0.2897142857142857	0.20497716894977167	0.02580487804878049	0.060928270042194095	0.16005291005291003	0.2288268156424581	0.01895734597156398	0.09293680297397769	0.3497267759562841	0.10204081632653061	0.22479532163742688	0.24796875	0.0010964912280701754	0.2328712871287129	0.24047430830039523	0.026595744680851064	0.32512499999999994	0.2225	0.1337037037037037	0.20842105263157895	0.14568965517241378	0.18055555555555558	0.24004504504504506	0.16666666666666669	0.20742857142857143	0.18046948356807513	0.013136363636363635	0.17962616822429905	0.2724324324324325	0.30283261802575107	0.38368421052631574	0.2877821011673152	0.17879069767441863	0.002922374429223744	0.2333333333333333	0.07840000000000001	0.09815094339622642	0.07655502392344497
eye_9769	0.21820936639118457	0.21574468085106385	0.023510204081632652	0.17066666666666666	0.274083044982699	0.08084175084175085	0.18063106796116504	0.14184501845018452	0.34130193905817174	0.14768181818181816	0.140625	0.1806810035842294	0.2885365853658537	0.12566787003610108	0.08890756302521009	0.21917391304347827	0.08528634361233481	0.0	0.0	0.09128099173553718	0.05707509881422925	0.10314285714285713	0.3461809045226131	0.04737704918032787	0.26910299003322263	0.02385496183206107	0.19439344262295083	0.07080419580419581	0.10177536231884057	0.1343778801843318	0.19120481927710845	0.06477732793522267	0.016641509433962264	0.16190697674418605	0.2752363636363636	0.03036101083032491	0.20742424242424243	0.015625	0.03764705882352941	0.2710891089108911	0.33177914110429446	0.2367353951890034	0.18379746835443037	0.43393586005830903	0.5729394812680115	0.22289473684210528	0.11045454545454547	0.3125913621262459	0.10965034965034964	0.1343321299638989	0.08501845018450183	0.08501845018450183	0.06391304347826088	0.1965116279069767	0.138996138996139	0.19753246753246753	0.1113907284768212	0.35072463768115936	0.28789115646258506	0.08859778597785978	0.17142857142857143	0.0837818181818182	0.12841897233201582	0.2636861313868613	0.10330578512396695
face_10038	0.21845201238390094	0.09852272727272726	0.0608421052631579	0.05137777777777778	0.2316015625	0.14384297520661157	0.08791208791208792	0.05776	0.39822222222222226	0.05472361809045226	0.048776371308016875	0.1469387755102041	0.16314606741573034	0.06374501992031872	0.04004761904761905	0.16989898989898988	0.11755555555555555	0.061714285714285715	0.09128099173553718	0.0	0.13938144329896907	0.16689655172413795	0.02704225352112676	0.06186868686868687	0.24758490566037736	0.07920792079207921	0.1835205992509363	0.20497716894977167	0.10683760683760683	0.05278350515463917	0.045375000000000006	0.09777777777777777	0.1138659793814433	0.045226130653266326	0.23243801652892565	0.10322429906542055	0.102880658436214	0.0625	0.09462616822429906	0.051457286432160805	0.2607407407407407	0.07130281690140845	0.042334801762114536	0.2580487804878049	0.23525568181818182	0.09642570281124499	0.065	0.1467013888888889	0.19517391304347825	0.15450643776824033	0.11663677130044842	0.08842794759825327	0.18899999999999997	0.14135869565217393	0.07214592274678112	0.19884328358208958	0.18720647773279353	0.1994224924012158	0.16383211678832119	0.12653153153153154	0.05671875	0.09120689655172415	0.09662100456621005	0.07170370370370371	0.061421800947867304
