a11londo
ĩ	9.72	3
ũ	2.76	1
ɔ	2.09	33
ɔ̃	4.32	2
ɛ	2.15	28
ɛ̃	11.85	1

b252mahongwe
dʒ	5.19	13
ɛ̃	11.85	1

b25kota
b	2.65	33
dʒ	4.77	12
õ	2.54	1
ũ	5.68	2
ɔ̃	2.1	1

b301viya
e	3.02	57
ts	3.66	10
ɣ	3.54	21
β	2.1	6

b302himba
o	2.04	63
ts	2.42	7
ɣ	4.28	25
β	2.51	7

b304pinzi
ts	3.66	10
ɣ	4.65	27
β	2.51	7

b305vove
ɣ	2.61	16

b31tsogo
e	2.44	50
ts	2.42	7
ɣ	2.61	16

b32kande
m̩	16.91	5
n̩	8.11	5
tʃ	2.26	7
ŋ̍	8.59	3
ɣ	4.28	25
β	2.51	7

b404ngubi
d	2.19	24
ts	3.24	9
ɣ	5.21	30

b41shira
a	-2.06	28
d	2.62	27
ə	3.26	34
ɣ	5.77	33

b42sangumb
d	2.48	26
ts	2.42	7
ə	3.47	36
ɣ	2.8	17

b42sangumi
d	2.34	25
ts	2.42	7
ə	4.1	42
ɣ	2.8	17

b43punu
d	2.62	27
ə	3.26	34

b44lumbu
d	2.34	25
ts	2.42	7
ə	2.74	29

b501wanzie
ts	2.0	6
β	2.51	7

b501wanzimo

b503vili

b51duma
ts	2.0	6
β	2.1	6

b51dumala
ts	2.42	7

b52nzebi
ts	2.0	6
ʁ	13.97	13

b53tsaangipoungi
dʒ	2.2	6

b601lempini
dʒ	3.48	9
tʃ	3.49	10
ĩ	3.15	1
ɔ̃	2.1	1
ɣ	2.06	13

b602kaninginord
dʒ	2.2	6

b602kaningisud
dʒ	3.48	9
tʃ	2.26	7
ɣ	2.06	13

b62mbaama
dʒ	2.2	6
tʃ	3.08	9
ĩ	3.15	1
ɔ̃	2.1	1

b63ndumu
g	2.68	25

b701atsitsege
dʒ	3.91	10
i	2.37	80
k	2.09	43
tʃ	2.67	8

b71aibtekeibalicongo
dz	2.97	10
ts	3.66	10
u	2.33	84
w	2.54	27
ɔ̃	2.1	1

b71aletekeleconi

b71atekedj
a	2.65	94
dʒ	3.48	9
tʃ	2.67	8
ĩ	3.15	1

b71atekeos
a	2.37	90
dʒ	3.48	9
tʃ	3.49	10

b77bfumu
dz	2.63	9
ts	4.48	12

b78wuumu
ts	4.07	11
ũ	5.68	2

b81tiene
dz	2.97	10
dʷ	14.53	1
p	2.59	14
ã	3.22	2
ɪ	7.22	37
ɪː	18.39	2
ʊ	4.25	28

b82buma

b84mbunda
aː	4.07	8
dz	3.64	12
ts	5.31	14
uː	2.37	3
ɤ	19.51	3

b85dnsongo
b	2.23	30
dz	3.98	13
m	2.99	56
ts	2.0	6
ã	3.22	2
õ	5.19	2

b85emput
ts	2.0	6
w	3.39	32

b85yanzi
aː	3.54	7
j	2.87	31
w	2.03	24
ɨ	2.26	8

b861ngul
a	2.51	92
dz	4.32	14
j	2.16	26
ts	2.42	7

b862lwel
dz	3.64	12
ə	4.31	44

b863pindi
b	2.37	31
dz	3.3	11
w	2.03	24

b864ngong
a	-2.06	28
k	2.93	51
ts	5.31	14
ãː	20.57	3
ĩː	20.57	2
ũ	5.68	2
ɔ	2.7	40
ɔ̃ː	20.57	2

b865nzadi
dz	4.32	14
p	2.86	15
ts	2.0	6
û	3.57	7

b86dinga
aː	3.0	6
ts	2.0	6
ɤ	6.46	1

b86dzing
w	2.2	25
œ	18.88	4

bamungrassfields
p	2.86	15
t	3.74	33
y	3.66	4
ŋ	2.03	19
ɔˀ	6.83	3
ə	2.0	22
ɥ	7.5	5
ɨ	9.54	32
ʂ	7.78	8
ʉ	3.71	8
ʌ	11.87	5
ʌ̃̀	20.57	1
ʔ	3.29	7

bilejarawan
ŋ	3.51	29
ə̃	14.53	1

bwazzajarawan
û	2.49	5
ɓ	2.4	8

c101baboledz

c101baboleep
dz	2.63	9

c101babolema
dz	2.29	8

c104aka
b	2.51	32
s	2.1	20

c105mbenga
b	2.37	31
ø	4.53	1

c141bonyala
dz	3.64	12
ã	4.93	3
ɔ̃	15.45	7

c142mondongo
b	2.23	30
o	2.28	67
ɱ	8.88	4
ɸ	8.37	10

c15bongili
dz	2.29	8

c21ngare
dz	2.97	10

c22akwa
dz	3.3	11
g	2.33	23

c24koyo
b	2.08	29
dʒ	3.48	9
g	2.33	23
ts	2.0	6

c25abunji
dz	2.63	9
β	2.1	6

c25bolee
dz	2.97	10
ɸ	8.37	10

c25condinga
dz	2.97	10
β	2.92	8

c25eeboyi
