Cognate1	Cognate1	Weight
air_18	rain_2667	0.5
air_18	rainbow_2682	0.25
air_18	root_2768	0.21428571428571427
air_18	salt_2788	0.4444444444444444
air_18	seed_2863	0.6666666666666666
air_18	sieve_2952	0.5
air_18	sky_2968	0.2727272727272727
air_18	sky_3000	0.25
air_18	snake_3065	1.0
air_18	soldier ant_3122	0.09090909090909091
air_18	soldier ant_3164	0.25
air_18	song_3171	0.3333333333333333
air_18	spider_3204	0.25
air_18	spider_3190	0.25
air_18	star_3232	1.0
air_18	stomach_3293	0.25
air_18	stomach_3269	0.2
air_18	stone_3333	0.6666666666666666
air_18	storm (wind)_3334	0.2727272727272727
air_18	storm (wind)_3357	0.25
air_18	story_3408	0.6
air_18	story_3402	0.25
air_18	sun_3448	0.4444444444444444
air_18	termite_3484	0.2222222222222222
air_18	termite_3475	0.2857142857142857
air_18	toilet_3527	0.2857142857142857
air_18	toilet_3523	0.16666666666666666
air_18	trap_3615	0.3333333333333333
air_18	trap_3598	0.3333333333333333
air_18	war_3706	1.0
air_18	water_3725	1.0
air_18	work (n)_3798	0.23076923076923078
air_18	work (n)_3787	0.2
air_18	xylophone_3835	0.16666666666666666
air_18	yam_3854	0.5714285714285714
air_10	banana_84	0.3076923076923077
air_10	bat_149	0.25
air_10	bat_137	0.5
air_10	bed_166	0.2
air_10	bed_175	0.5
air_10	bitter leaf_223	0.5
air_10	blood_277	1.0
air_10	broom_418	0.8
air_10	camwood_434	0.18181818181818182
air_10	cap_458	0.14285714285714285
air_10	case (court) (n)_467	1.0
air_10	cat_517	0.16666666666666666
air_10	caterpillar_521	0.3333333333333333
air_10	chair_576	0.25
air_10	cloth_605	0.3076923076923077
air_10	compound_626	1.0
air_10	corn_652	0.3333333333333333
air_10	cow, cattle_676	0.3333333333333333
air_10	crab_687	0.3333333333333333
air_10	cricket_710	0.2
air_10	cup_746	0.375
air_10	cutlass_789	0.3076923076923077
air_10	dance_815	0.75
air_10	day_837	0.125
air_10	day_829	0.375
air_10	deity, god, God_845	0.3333333333333333
air_10	devil_863	0.5
air_10	devil_858	0.125
air_10	dog_913	1.0
air_10	drum_925	0.2
air_10	drum_944	0.25
air_10	dry season_978	0.5
air_10	dust_998	0.5
air_10	ear_1007	0.3076923076923077
air_10	egg_1013	0.5
air_10	elephant stalk_1035	0.25
air_10	eye_1064	0.2727272727272727
air_10	faeces_1093	1.0
air_10	father_1169	0.2
air_10	feather_1173	0.18181818181818182
air_10	fire_1218	0.16666666666666666
air_10	fireside_1233	0.09090909090909091
air_10	fish_1284	0.5
air_10	fly (bird)_1300	0.25
air_10	forest_1318	1.0
air_10	fowl_1364	0.8
air_10	garden egg_1426	0.5714285714285714
air_10	gizzard (fowl)_1465	0.3333333333333333
air_10	grass_1492	0.4444444444444444
air_10	grasshopper_1522	0.75
air_10	gun_1569	0.4
air_10	gun_1557	0.16666666666666666
air_10	hailstone_1578	0.4
air_10	hair_1612	0.2857142857142857
air_10	headpad_1672	0.2857142857142857
air_10	heart_1698	0.14285714285714285
air_10	hill_1742	0.125
air_10	hoe_1767	0.18181818181818182
air_10	hoe_1758	0.5
air_10	horn (head)_1791	0.13333333333333333
air_10	house_1815	1.0
air_10	intestine_1834	1.0
air_10	knife_1886	0.75
air_10	medicine_1959	0.25
air_10	mouth_2052	0.16666666666666666
air_10	mushroom_2090	0.1
air_10	mushroom_2094	0.2
air_10	name_2131	0.5714285714285714
air_10	oil_2166	0.4
air_10	owl_2225	0.3
air_10	palm nut_2257	0.4444444444444444
air_10	pap_2348	0.16666666666666666
air_10	pepper_2381	0.21428571428571427
air_10	pepper_2385	0.125
air_10	person_2423	0.25
air_10	pot_2590	1.0
air_10	rain_2667	0.5
air_10	rainbow_2674	0.5
air_10	rainbow_2683	0.5
air_10	root_2751	0.75
air_10	sheep_2903	0.4
air_10	sky_2966	0.5
air_10	smoke_3010	1.0
air_10	snake_3056	0.25
air_10	soap_3087	0.2857142857142857
air_10	soldier ant_3122	0.3333333333333333
air_10	spider_3183	0.42857142857142855
air_10	star_3235	0.16666666666666666
air_10	star_3225	0.25
air_10	star_3229	0.16666666666666666
air_10	stomach_3267	0.16666666666666666
air_10	stomach_3277	0.5
air_10	stone_3333	0.25
air_10	storm (wind)_3343	0.5714285714285714
air_10	story_3389	0.4444444444444444
air_10	sun_3439	0.6666666666666666
air_10	termite_3477	0.4
air_10	toilet_3521	0.13333333333333333
air_10	trap_3598	0.14285714285714285
air_10	trap_3606	0.75
air_10	umbrella_3653	0.5
air_10	water_3726	0.125
air_10	water_3716	0.5
air_10	wingless termite_3763	0.25
air_10	work (n)_3793	0.4
air_10	yam_3855	0.75
air_10	yam_3845	0.25
