# Wordlist

# DATA
ID	CONCEPT	DOCULECT	VALUE	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	LEXSTATID
1158	ear	NUNMunken4	átɔ́ŋ / bítɔ́ŋ	a ⁵ t ɔ ⁵ ŋ	7 8 1 7 8 4	XTBYTN	A6TU6N	48	48.A.V 48.6.T 48.T.C 48.U.V 48.6.T 48.N.c	3.0 1.0 1.3 3.0 1.0 0.5	a⁵tɔ⁵ŋ	0	1030	256
1159	ear	NEAMunken1	átɔ́ŋ / bítɔ́ŋ	a ⁵ t ɔ ⁵ ŋ	7 8 1 7 8 4	XTBYTN	A6TU6N	36	36.A.V 36.6.T 36.T.C 36.U.V 36.6.T 36.N.c	3.0 1.0 1.3 3.0 1.0 0.5	a⁵tɔ⁵ŋ	0	1030	256
1160	ear	TNTMunken2	àtɔ́ŋ / bìtɔ́ŋ	a ¹ t ɔ ⁵ ŋ	7 8 1 7 8 4	XTBYTN	A6TU6N	52	52.A.V 52.6.T 52.T.C 52.U.V 52.6.T 52.N.c	3.0 1.0 1.3 3.0 1.0 0.5	a¹tɔ⁵ŋ	0	1030	256
1161	ear	MCANgun3	kə̀tɔ́ŋə́~àtɔ́ŋə́ / bìtɔ́ŋə́~ɪ̀tɔ́ŋə́	k ə ¹ t ɔ ⁵ ŋ ə ⁵	1 7 8 1 7 8 4 7 8	AXTBYTBYT	KE6TU6NE6	28	28.K.C 28.E.V 28.6.T 28.T.C 28.U.V 28.6.T 28.N.C 28.E.V 28.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	kə¹tɔ⁵ŋə⁵	0	1030	256
1162	ear	KBMNgun4	kə̀tɔ́ŋə́ / bìtɔ́ŋə́	k ə ¹ t ɔ ⁵ ŋ ə ⁵	1 7 8 1 7 8 4 7 8	AXTBYTBYT	KE6TU6NE6	17	17.K.C 17.E.V 17.6.T 17.T.C 17.U.V 17.6.T 17.N.C 17.E.V 17.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	kə¹tɔ⁵ŋə⁵	0	1030	256
1163	ear	WCANgun1	kə́tɔ́ŋɔ́ / bítɔ́ŋɔ́	k ə ⁵ t ɔ ⁵ ŋ ɔ ⁵	1 7 8 1 7 8 4 7 8	AXTBYTBYT	KE6TU6NU6	53	53.K.C 53.E.V 53.6.T 53.T.C 53.U.V 53.6.T 53.N.C 53.U.V 53.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	kə⁵tɔ⁵ŋɔ⁵	0	1030	256
1164	ear	AOMNgun2	kə̀tɔ́ŋɔ́ / bìtɔ́ŋɔ́	k ə ¹ t ɔ ⁵ ŋ ɔ ⁵	1 7 8 1 7 8 4 7 8	AXTBYTBYT	KE6TU6NU6	3	3.K.C 3.E.V 3.6.T 3.T.C 3.U.V 3.6.T 3.N.C 3.U.V 3.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	kə¹tɔ⁵ŋɔ⁵	0	1030	256
1165	ear	APBMumfu1	tʃɔ́m / tʃɔ́mbə́~tʃɔ́m / tʃɔ́m	tʃ ɔ ⁵ m	1 7 8 4	AXTN	TU6M	4	4.T.C 4.U.V 4.6.T 4.M.c	1.6 3.0 1.0 0.5	tʃɔ⁵m	0	1029	256
1166	ear	DNMMumfu2	tʃɔ́ːn / tʃɔ́mbɛ́	tʃ ɔː ⁵ n	1 7 8 4	AXTN	TU6N	9	9.T.C 9.U.V 9.6.T 9.N.c	1.6 3.0 1.0 0.5	tʃɔː⁵n	0	1029	256
1167	ear	BKBMashi2	átʰʊ̂ / bítʊ́	a ⁵ tʰ ʊ ¹⁵	7 8 1 7 8	XTBYT	A6TY2	6	6.A.V 6.6.T 6.T.C 6.Y.V 6.2.T	3.0 1.0 1.3 3.0 1.0	a⁵tʰʊ¹⁵	0	1030	256
1168	ear	KFKMashi1	átʊ́ / bítʊ́	a ⁵ t ʊ ⁵	7 8 1 7 8	XTBYT	A6TY6	23	23.A.V 23.6.T 23.T.C 23.Y.V 23.6.T	3.0 1.0 1.3 3.0 1.0	a⁵tʊ⁵	0	1030	256
1169	ear	ABSMissong1	kìntʃʊ́ŋ / bìntʃʊ́ŋ	k i ¹ n tʃ ʊ ⁵ ŋ	1 7 8 4 1 7 8 4	AXTMBYTN	KI6NTY6N	1	1.K.C 1.I.V 1.6.T 1.N.c 1.T.C 1.Y.V 1.6.T 1.N.c	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.5	ki¹ntʃʊ⁵ŋ	0	1030	256
1170	ear	AGAMissong2	kìntʃʊ́ŋ / bìntʃʊ́ŋbī	k i ¹ n tʃ ʊ ⁵ ŋ	1 7 8 4 1 7 8 4	AXTMBYTN	KI6NTY6N	2	2.K.C 2.I.V 2.6.T 2.N.c 2.T.C 2.Y.V 2.6.T 2.N.c	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.5	ki¹ntʃʊ⁵ŋ	0	1030	256
