ConceptA	ConceptB	ChisqResidual	NumForms
air_4	hailstone_1579	-2.065261756400137	0
air_7	hailstone_1576	4.545686450484949	2
air_1	hand_1639	2.312279503164388	21
air_1	hand_1642	-2.711630722733202	0
air_10	hand_1642	2.603165493823874	4
air_4	hand_1639	-2.473387769603369	0
air_4	hand_1642	2.911942953545945	9
air_5	hand_1643	7.001400420140049	1
air_1	head_1659	3.3367825291826887	21
air_1	head_1663	-2.6196841599779193	0
air_10	head_1663	2.769380397690943	4
air_18	head_1663	2.769380397690943	4
air_4	head_1659	-2.2228757209048453	0
air_4	head_1660	2.182820625326997	8
air_6	head_1660	2.1221867190679133	3
air_18	heart_1699	5.699587188353825	3
air_18	heart_1729	3.2906581974658233	1
air_7	heart_1733	4.851722960585704	1
air_18	hill_1742	5.5512761295639645	4
air_5	hill_1747	2.7756380647819823	1
air_6	hill_1747	4.807546151624548	3
air_7	hill_1740	5.303300858899106	2
air_1	hoe_1782	2.9160592175990216	16
air_10	hoe_1758	4.545686450484949	2
air_18	hoe_1767	4.141625432664065	4
air_4	hoe_1757	2.642857142857143	3
air_4	hoe_1764	2.1578838210232756	2
air_5	hoe_1754	3.2142857142857144	1
air_6	hoe_1754	5.567306167185677	3
air_7	hoe_1765	2.8110568859997356	1
air_4	horse_1800	2.5927248643506746	10
air_4	horse_1805	-2.008316044185609	2
air_1	house_1806	3.3367825291826887	21
air_10	house_1815	6.581316394931647	4
air_18	house_1824	5.699587188353825	3
air_4	house_1806	-2.2228757209048453	0
air_4	house_1810	2.182820625326997	8
air_6	house_1810	2.1221867190679133	3
air_7	house_1812	4.653693451990369	2
air_1	intestine_1825	3.4920638315932266	23
air_10	intestine_1834	6.581316394931647	4
air_18	intestine_1836	5.761263477983376	4
air_4	intestine_1825	-2.326319992151199	0
air_4	intestine_1828	4.458963213705229	8
air_4	intestine_1838	2.2294816068526147	2
air_5	intestine_1829	3.2906581974658233	1
air_6	intestine_1829	5.699587188353825	3
air_7	intestine_1831	4.653693451990369	2
air_1	jaw_1860	3.0022213997860536	17
air_4	jaw_1860	-2.0	0
air_4	jaw_1863	4.458963213705229	8
air_5	jaw_1864	3.2906581974658233	1
air_6	jaw_1864	5.699587188353825	3
air_7	jaw_1876	3.2906581974658233	1
air_10	knife_1886	6.180982563844154	3
air_18	knife_1894	2.2450411555714944	3
air_4	knife_1880	3.718639916459084	10
air_5	knife_1881	2.338738328607322	1
air_6	knife_1881	4.050813610756598	3
air_7	knife_1883	4.264014327112208	2
