Doculect1	Doculect2	SharedCognateCount
BKBMashi2	NINMundabli4	42
BKBMashi2	NJNBiya6	22
BKBMashi2	NJSKung4	14
BKBMashi2	NMAAbar1	20
BKBMashi2	NMNMundabli3	42
BKBMashi2	NMSMissong4	28
BKBMashi2	NNBBuu3	33
BKBMashi2	NSFBiya5	24
BKBMashi2	NUNMunken4	21
BKBMashi2	NVBAbar7	20
BKBMashi2	NVIAjumbu1	21
BKBMashi2	TELKoshin4	40
BKBMashi2	TNTMunken2	20
BKBMashi2	WCANgun1	19
BKBMashi2	ZKGKung1	8
BNMKung2	CENMundabli2	13
BNMKung2	DNMMumfu2	13
BNMKung2	DPNFang13	21
BNMKung2	ECLAbar8	18
BNMKung2	ENBBiya1	16
BNMKung2	FBCBiya8	16
BNMKung2	ICNBiya2	18
BNMKung2	JGYKoshin3	24
BNMKung2	KBMNgun4	17
BNMKung2	KCSKung3	87
BNMKung2	KCYBuu2	20
BNMKung2	KDCAjumbu10	23
BNMKung2	KDVFang1	15
BNMKung2	KEMBuu1	20
BNMKung2	KFKMashi1	13
BNMKung2	KHKFang12	20
BNMKung2	KJSFang2	14
BNMKung2	KMNAjumbu2	23
BNMKung2	LFNMundabli1	14
BNMKung2	MCANgun3	16
BNMKung2	MEAMumfu3	14
BNMKung2	MNJBuu4	25
BNMKung2	MRYKoshin2	21
BNMKung2	NACAbar2	16
BNMKung2	NCCMumfu4	14
BNMKung2	NCMMashi5	14
BNMKung2	NDNMissong5	18
BNMKung2	NEAMunken1	19
BNMKung2	NEMAjumbu9	23
BNMKung2	NFKBiya7	18
BNMKung2	NGTMunken3	18
BNMKung2	NINMundabli4	13
BNMKung2	NJNBiya6	18
BNMKung2	NJSKung4	86
BNMKung2	NMAAbar1	16
BNMKung2	NMNMundabli3	13
BNMKung2	NMSMissong4	19
BNMKung2	NNBBuu3	22
BNMKung2	NSFBiya5	19
BNMKung2	NUNMunken4	18
BNMKung2	NVBAbar7	16
BNMKung2	NVIAjumbu1	22
BNMKung2	TELKoshin4	22
BNMKung2	TNTMunken2	17
BNMKung2	WCANgun1	15
BNMKung2	ZKGKung1	89
CENMundabli2	DNMMumfu2	100
CENMundabli2	DPNFang13	52
CENMundabli2	ECLAbar8	32
CENMundabli2	ENBBiya1	25
CENMundabli2	FBCBiya8	30
CENMundabli2	ICNBiya2	29
CENMundabli2	JGYKoshin3	62
CENMundabli2	KBMNgun4	29
CENMundabli2	KCSKung3	19
CENMundabli2	KCYBuu2	56
CENMundabli2	KDCAjumbu10	35
CENMundabli2	KDVFang1	40
CENMundabli2	KEMBuu1	58
CENMundabli2	KFKMashi1	42
CENMundabli2	KHKFang12	51
CENMundabli2	KJSFang2	38
CENMundabli2	KMNAjumbu2	34
CENMundabli2	LFNMundabli1	122
CENMundabli2	MCANgun3	25
CENMundabli2	MEAMumfu3	112
CENMundabli2	MNJBuu4	63
CENMundabli2	MRYKoshin2	42
CENMundabli2	NACAbar2	26
CENMundabli2	NCCMumfu4	107
CENMundabli2	NCMMashi5	42
CENMundabli2	NDNMissong5	39
CENMundabli2	NEAMunken1	28
CENMundabli2	NEMAjumbu9	37
CENMundabli2	NFKBiya7	29
CENMundabli2	NGTMunken3	27
CENMundabli2	NINMundabli4	121
CENMundabli2	NJNBiya6	31
CENMundabli2	NJSKung4	19
CENMundabli2	NMAAbar1	26
CENMundabli2	NMNMundabli3	127
CENMundabli2	NMSMissong4	38
CENMundabli2	NNBBuu3	65
CENMundabli2	NSFBiya5	30
CENMundabli2	NUNMunken4	29
CENMundabli2	NVBAbar7	30
CENMundabli2	NVIAjumbu1	33
CENMundabli2	TELKoshin4	60
CENMundabli2	TNTMunken2	29
CENMundabli2	WCANgun1	27
CENMundabli2	ZKGKung1	11
DNMMumfu2	DPNFang13	45
DNMMumfu2	ECLAbar8	26
DNMMumfu2	ENBBiya1	21
