Doculect1	Doculect2	weight	color
BNMKung2	TELKoshin4	.01	grey90
BNMKung2	TNTMunken2	.01	grey90
BNMKung2	WCANgun1	.01	grey90
BNMKung2	ZKGKung1	.01	grey90
CENMundabli2	DNMMumfu2	29.333333333333332	grey30
CENMundabli2	DPNFang13	.01	grey90
CENMundabli2	ECLAbar8	13	fffff
CENMundabli2	ENBBiya1	.01	grey90
CENMundabli2	FBCBiya8	.01	grey90
CENMundabli2	ICNBiya2	.01	grey90
CENMundabli2	JGYKoshin3	.01	grey90
CENMundabli2	KBMNgun4	.01	grey90
CENMundabli2	KCSKung3	.01	grey90
CENMundabli2	KCYBuu2	46	red
CENMundabli2	KDCAjumbu10	.01	grey90
CENMundabli2	KDVFang1	.01	grey90
CENMundabli2	KEMBuu1	50	red
CENMundabli2	KFKMashi1	.01	grey90
CENMundabli2	KHKFang12	.01	grey90
CENMundabli2	KJSFang2	.01	grey90
CENMundabli2	KMNAjumbu2	.01	grey90
CENMundabli2	LFNMundabli1	37.333333333333336	grey30
CENMundabli2	MCANgun3	.01	grey90
CENMundabli2	MEAMumfu3	33.333333333333336	grey30
CENMundabli2	MNJBuu4	53	red
CENMundabli2	MRYKoshin2	.01	grey90
CENMundabli2	NACAbar2	15	fffff
CENMundabli2	NCCMumfu4	34.0	grey30
CENMundabli2	NCMMashi5	.01	grey90
CENMundabli2	NDNMissong5	.01	grey90
CENMundabli2	NEAMunken1	.01	grey90
CENMundabli2	NEMAjumbu9	.01	grey90
CENMundabli2	NFKBiya7	.01	grey90
CENMundabli2	NGTMunken3	.01	grey90
CENMundabli2	NINMundabli4	37.333333333333336	grey30
CENMundabli2	NJNBiya6	.01	grey90
CENMundabli2	NJSKung4	.01	grey90
CENMundabli2	NMAAbar1	14	fffff
CENMundabli2	NMNMundabli3	39.666666666666664	grey30
CENMundabli2	NMSMissong4	.01	grey90
CENMundabli2	NNBBuu3	55	red
CENMundabli2	NSFBiya5	.01	grey90
CENMundabli2	NUNMunken4	.01	grey90
CENMundabli2	NVBAbar7	15	fffff
CENMundabli2	NVIAjumbu1	.01	grey90
CENMundabli2	TELKoshin4	.01	grey90
CENMundabli2	TNTMunken2	.01	grey90
CENMundabli2	WCANgun1	.01	grey90
CENMundabli2	ZKGKung1	.01	grey90
DNMMumfu2	DPNFang13	.01	grey90
DNMMumfu2	ECLAbar8	14	fffff
DNMMumfu2	ENBBiya1	.01	grey90
DNMMumfu2	FBCBiya8	.01	grey90
DNMMumfu2	ICNBiya2	.01	grey90
DNMMumfu2	JGYKoshin3	.01	grey90
DNMMumfu2	KBMNgun4	.01	grey90
DNMMumfu2	KCSKung3	.01	grey90
DNMMumfu2	KCYBuu2	38	red
DNMMumfu2	KDCAjumbu10	.01	grey90
DNMMumfu2	KDVFang1	.01	grey90
DNMMumfu2	KEMBuu1	43	red
DNMMumfu2	KFKMashi1	.01	grey90
DNMMumfu2	KHKFang12	.01	grey90
DNMMumfu2	KJSFang2	.01	grey90
DNMMumfu2	KMNAjumbu2	.01	grey90
DNMMumfu2	LFNMundabli1	30.666666666666668	grey30
DNMMumfu2	MCANgun3	.01	grey90
DNMMumfu2	MEAMumfu3	35.666666666666664	grey30
DNMMumfu2	MNJBuu4	44	red
DNMMumfu2	MRYKoshin2	.01	grey90
DNMMumfu2	NACAbar2	11	fffff
DNMMumfu2	NCCMumfu4	35.333333333333336	grey30
DNMMumfu2	NCMMashi5	.01	grey90
DNMMumfu2	NDNMissong5	.01	grey90
DNMMumfu2	NEAMunken1	.01	grey90
DNMMumfu2	NEMAjumbu9	.01	grey90
DNMMumfu2	NFKBiya7	.01	grey90
DNMMumfu2	NGTMunken3	.01	grey90
DNMMumfu2	NINMundabli4	28.666666666666668	grey30
DNMMumfu2	NJNBiya6	.01	grey90
DNMMumfu2	NJSKung4	.01	grey90
DNMMumfu2	NMAAbar1	10	fffff
DNMMumfu2	NMNMundabli3	29.333333333333332	grey30
DNMMumfu2	NMSMissong4	.01	grey90
DNMMumfu2	NNBBuu3	44	red
DNMMumfu2	NSFBiya5	.01	grey90
DNMMumfu2	NUNMunken4	.01	grey90
DNMMumfu2	NVBAbar7	13	fffff
DNMMumfu2	NVIAjumbu1	.01	grey90
DNMMumfu2	TELKoshin4	.01	grey90
DNMMumfu2	TNTMunken2	.01	grey90
DNMMumfu2	WCANgun1	.01	grey90
DNMMumfu2	ZKGKung1	.01	grey90
DPNFang13	ECLAbar8	.01	grey90
DPNFang13	ENBBiya1	.01	grey90
DPNFang13	FBCBiya8	.01	grey90
DPNFang13	ICNBiya2	.01	grey90
DPNFang13	JGYKoshin3	.01	grey90
DPNFang13	KBMNgun4	.01	grey90
DPNFang13	KCSKung3	.01	grey90
DPNFang13	KCYBuu2	.01	grey90
DPNFang13	KDCAjumbu10	.01	grey90
DPNFang13	KDVFang1	.01	grey90
DPNFang13	KEMBuu1	.01	grey90
DPNFang13	KFKMashi1	.01	grey90
DPNFang13	KHKFang12	.01	grey90
DPNFang13	KJSFang2	.01	grey90
DPNFang13	KMNAjumbu2	.01	grey90
DPNFang13	LFNMundabli1	.01	grey90
DPNFang13	MCANgun3	.01	grey90
DPNFang13	MEAMumfu3	.01	grey90
DPNFang13	MNJBuu4	.01	grey90
DPNFang13	MRYKoshin2	.01	grey90
DPNFang13	NACAbar2	.01	grey90
DPNFang13	NCCMumfu4	.01	grey90
DPNFang13	NCMMashi5	.01	grey90
DPNFang13	NDNMissong5	.01	grey90
DPNFang13	NEAMunken1	.01	grey90
DPNFang13	NEMAjumbu9	.01	grey90
DPNFang13	NFKBiya7	.01	grey90
DPNFang13	NGTMunken3	.01	grey90
DPNFang13	NINMundabli4	.01	grey90
DPNFang13	NJNBiya6	.01	grey90
DPNFang13	NJSKung4	.01	grey90
DPNFang13	NMAAbar1	.01	grey90
DPNFang13	NMNMundabli3	.01	grey90
DPNFang13	NMSMissong4	.01	grey90
DPNFang13	NNBBuu3	.01	grey90
DPNFang13	NSFBiya5	.01	grey90
DPNFang13	NUNMunken4	.01	grey90
DPNFang13	NVBAbar7	.01	grey90
DPNFang13	NVIAjumbu1	.01	grey90
DPNFang13	TELKoshin4	.01	grey90
DPNFang13	TNTMunken2	.01	grey90
DPNFang13	WCANgun1	.01	grey90
DPNFang13	ZKGKung1	.01	grey90
ECLAbar8	ENBBiya1	.01	grey90
ECLAbar8	FBCBiya8	.01	grey90
ECLAbar8	ICNBiya2	.01	grey90
ECLAbar8	JGYKoshin3	.01	grey90
