ID	Concept	Doculect	Value	Tokens
211	person	WCANgun1	ɪ̀nò / bə̀nô	ɪ ¹ n o ¹
212	person	AOMNgun2	ʊ̀nòː / bɛ́no᷇ː	ʊ ¹ n oː ¹
213	person	DNMMumfu2	màwɛ̌n / mbɛ̂ː	m a ¹ w ɛ ¹⁵ n
214	person	BKBMashi2	mwɪ̀ / bʊ́ní	m w ɪ ¹
215	person	KFKMashi1	mwɪ̀ / bʊ́ní	m w ɪ ¹
216	person	ABSMissong1	ǹnò / bànɛ̂bʊ̄	n ¹ n o ¹
217	person	AGAMissong2	n̄nōwʊ́ / bànɛ᷇bʊ́~ǹnò / bànɛ᷇ː	n ³ n o ³ w ʊ ⁵
367	friend	NVBAbar7	bî~bîmô / bʷɪ̀bî~àbìmóbʷɪ̀	b i ⁵¹
368	friend	ECLAbar8	ʊ̀kʷèː / bʷɪ̀kʷè	ʊ ¹ kʷ eː ¹
369	friend	NMAAbar1	bî / bwɪ̀bî	b i ⁵¹
370	friend	NACAbar2	ʊ̀kwè / bə̀kwè	ʊ ¹ k w e ¹
371	friend	NEMAjumbu9	ǹ̩sànə́ / ásěː~ǹ̩sànə́	n ¹ s a ¹ n ə ⁵
372	friend	NVIAjumbu1	ǹsánə́ / ànsànə́~àsè	n ¹ s a ⁵ n ə ⁵
373	friend	KMNAjumbu2	ǹsáːnə́ / ànsánə́	n ¹ s aː ⁵ n ə ⁵
374	friend	KDCAjumbu10	ǹ̩sânə́ / ásé	n ¹ s a ⁵¹ n ə ⁵
375	friend	NNBBuu3	ǹsʊ́n / bə̀nsʊ́n	n ¹ s ʊ ⁵ n
376	friend	MNJBuu4	ǹsʊ́ːn / bə̀nsʊ́ːn	n ¹ s ʊː ⁵ n
377	friend	KEMBuu1	ǹsʊ́ːn / bə̀nsʊ́ːn	n ¹ s ʊː ⁵ n
378	friend	KCYBuu2	ǹsʊ́n / bə́nsʊ́ːn	n ¹ s ʊ ⁵ n
379	friend	KHKFang12	sʊ̄n / bə̀nsʊ́n	s ʊ ³ n
380	friend	DPNFang13	sʊ̄n / bə̀nsʊ́n	s ʊ ³ n
381	friend	KDVFang1	sʊ̄n / bə̀nsʊ̄n	s ʊ ³ n
382	friend	KJSFang2	sʊ̄n / sʊ́n ~	s ʊ ³ n
383	friend	JGYKoshin3	ńséɲ / ǹséɲ ~ ńséɲ	n ⁵ s e ⁵ ɲ
384	friend	TELKoshin4	ǹsɪ̄ɲ / ńsɪ́ɲ	n ¹ s ɪ ³ ɲ
385	friend	MRYKoshin2	nsɪ́ɲ / ø	n s ɪ ⁵ ɲ
386	friend	KCSKung3	sø̄ʲ ~ wʊ̀òsòɲ / sóʲ	s ø ³ j
387	friend	NJSKung4	sóʲ / ə̄sóʲ	s o ⁵ j
388	friend	ZKGKung1	sǿɪ́ / sə̀sǿɪ́	s ø ⁵ ɪ ⁵
389	friend	BNMKung2	sóɪ́ / ə́sóɪ́	s o ⁵ ɪ ⁵
390	friend	NMNMundabli3	n̄sʊ̄ŋ / ǹsʊ̄ɪ̄ɲ	n ³ s ʊ ³ ŋ
391	friend	CENMundabli2	ńsʊ́ːŋ / ńsǿé	n ⁵ s ʊː ⁵ ŋ
392	friend	LFNMundabli1	n̄sʊ̄ŋ / n̄swén	n ³ s ʊ ³ ŋ
393	friend	NINMundabli4	n̄sʊ̄ŋ / n̄sòènyɛ́n	n ³ s ʊ ³ ŋ
394	friend	NGTMunken3	bʲâ / bə̀bʲá	b j a ⁵¹
395	friend	NUNMunken4	àtsò / bàtsò	a ¹ ts o ¹
396	friend	MCANgun3	bī~bîː / bɛ̀bí	b i ³
397	friend	KBMNgun4	ʊ̀kɥɪ̀ / bə̀kɥɪ̀	ʊ ¹ k ɥ ɪ ¹
398	friend	WCANgun1	bìː / bèbîː	b iː ¹
399	friend	AOMNgun2	ʊ̀kwɪ̀ / bɛ́kwɪ᷇ː	ʊ ¹ k w ɪ ¹
400	friend	APBMumfu1	ńsʊ́ŋ / ńswéːn	n ⁵ s ʊ ⁵ ŋ
401	friend	DNMMumfu2	n̄sʊ̄ŋ / n̄sōn	n ³ s ʊ ³ ŋ
402	friend	BKBMashi2	ǹsʊ́ / ǹsʊ́	n ¹ s ʊ ⁵
403	friend	KFKMashi1	ǹsʊ́ / ǹsʊ́ŋ	n ¹ s ʊ ⁵
404	friend	ABSMissong1	ìtsʊ̈̌ / kítsʊ̂lə̀	i ¹ ts ʊ̤ ¹⁵
405	friend	AGAMissong2	ɪ̀tsʊ̌ / átsʊ́wú~kɪ́tsʊ́lə́	ɪ ¹ ts ʊ ¹⁵
449	chief	NVBAbar7	ŋkʊ́ŋ / ŋkʊ́ŋbʷɪ̂	ŋ k ʊ ⁵ ŋ
450	chief	ECLAbar8	ŋkʊ́ŋ / ŋkʊ́ŋbʷɪ̂	ŋ k ʊ ⁵ ŋ
451	chief	NMAAbar1	ŋkʊ́ŋ / bwɪ̀ŋkʊ́ŋ	ŋ k ʊ ⁵ ŋ
452	chief	NACAbar2	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ k ʊ ⁵ ŋ
453	chief	NEMAjumbu9	ŋ̀kʊ́~ŋ̀kʷʊ́ò/àŋkʷʊ́bə̄~àŋkʊ́~àŋkú	ŋ ¹ k ʊ ⁵
454	chief	NVIAjumbu1	ŋkʊ́ / bə̀ŋkʊ́~ŋkʊ́ / àŋkʊ́	ŋ k ʊ ⁵
455	chief	KMNAjumbu2	ŋkʷú / kə̀ŋkúlə́~bə̀ŋkúlə́~àŋkʷú	ŋ kʷ u ¹
456	chief	KDCAjumbu10	ŋ̀kʊ́~ŋ̀kú /àŋkʊ́~àŋkú	ŋ ¹ k ʊ ⁵
