ID	Concept	Doculect	Value	Tokens
218	person	KBMNgun4	ʊ̀nò / bə́nô	ʊ.¹/ʊ n o.¹/o
219	person	WCANgun1	ɪ̀nò / bə̀nô	ɪ.¹/ɪ n o.¹/o
220	person	AOMNgun2	ʊ̀nòː / bɛ́no᷇ː	ʊ.¹/ʊ n oː.¹/oː
221	person	DNMMumfu2	màwɛ̌n / mbɛ̂ː	m a.¹/a w ɛ.¹⁵/ɛ n
222	person	BKBMashi2	mwɪ̀ / bʊ́ní	m w ɪ.¹/ɪ
223	person	KFKMashi1	mwɪ̀ / bʊ́ní	m w ɪ.¹/ɪ
224	person	ABSMissong1	ǹnò / bànɛ̂bʊ̄	n.¹/n n o.¹/o
225	person	AGAMissong2	n̄nōwʊ́ / bànɛ᷇bʊ́~ǹnò / bànɛ᷇ː	n.³/n n o.³/o w ʊ.⁵/ʊ
375	friend	NVBAbar7	bî~bîmô / bʷɪ̀bî~àbìmóbʷɪ̀	b i.⁵¹/i
376	friend	ECLAbar8	ʊ̀kʷèː / bʷɪ̀kʷè	ʊ.¹/ʊ kʷ eː.¹/eː
377	friend	NMAAbar1	bî / bwɪ̀bî	b i.⁵¹/i
378	friend	NACAbar2	ʊ̀kwè / bə̀kwè	ʊ.¹/ʊ k w e.¹/e
379	friend	NEMAjumbu9	ǹ̩sànə́ / ásěː~ǹ̩sànə́	n.¹/n s a.¹/a n ə.⁵/ə
380	friend	NVIAjumbu1	ǹsánə́ / ànsànə́~àsè	n.¹/n s a.⁵/a n ə.⁵/ə
381	friend	KMNAjumbu2	ǹsáːnə́ / ànsánə́	n.¹/n s aː.⁵/aː n ə.⁵/ə
382	friend	KDCAjumbu10	ǹ̩sânə́ / ásé	n.¹/n s a.⁵¹/a n ə.⁵/ə
383	friend	ENBBiya1	bí / bàbí~bə̀bí	b i.⁵/i
384	friend	ICNBiya2	bʲê / bə̀bʲê	b j e.⁵¹/e
385	friend	NNBBuu3	ǹsʊ́n / bə̀nsʊ́n	n.¹/n s ʊ.⁵/ʊ n
386	friend	MNJBuu4	ǹsʊ́ːn / bə̀nsʊ́ːn	n.¹/n s ʊː.⁵/ʊː n
387	friend	KEMBuu1	ǹsʊ́ːn / bə̀nsʊ́ːn	n.¹/n s ʊː.⁵/ʊː n
388	friend	KCYBuu2	ǹsʊ́n / bə́nsʊ́ːn	n.¹/n s ʊ.⁵/ʊ n
389	friend	KHKFang12	sʊ̄n / bə̀nsʊ́n	s ʊ.³/ʊ n
390	friend	DPNFang13	sʊ̄n / bə̀nsʊ́n	s ʊ.³/ʊ n
391	friend	KDVFang1	sʊ̄n / bə̀nsʊ̄n	s ʊ.³/ʊ n
392	friend	KJSFang2	sʊ̄n / sʊ́n ~	s ʊ.³/ʊ n
393	friend	JGYKoshin3	ńséɲ / ǹséɲ ~ ńséɲ	n.⁵/n s e.⁵/e ɲ
394	friend	TELKoshin4	ǹsɪ̄ɲ / ńsɪ́ɲ	n.¹/n s ɪ.³/ɪ ɲ
395	friend	MRYKoshin2	nsɪ́ɲ / ø	n s ɪ.⁵/ɪ ɲ
396	friend	KCSKung3	sø̄ʲ ~ wʊ̀òsòɲ / sóʲ	s ø.³/ø j
397	friend	NJSKung4	sóʲ / ə̄sóʲ	s o.⁵/o j
398	friend	ZKGKung1	sǿɪ́ / sə̀sǿɪ́	s ø.⁵/ø ɪ.⁵/ɪ
399	friend	BNMKung2	sóɪ́ / ə́sóɪ́	s o.⁵/o ɪ.⁵/ɪ
400	friend	NMNMundabli3	n̄sʊ̄ŋ / ǹsʊ̄ɪ̄ɲ	n.³/n s ʊ.³/ʊ ŋ
401	friend	CENMundabli2	ńsʊ́ːŋ / ńsǿé	n.⁵/n s ʊː.⁵/ʊː ŋ
402	friend	LFNMundabli1	n̄sʊ̄ŋ / n̄swén	n.³/n s ʊ.³/ʊ ŋ
403	friend	NINMundabli4	n̄sʊ̄ŋ / n̄sòènyɛ́n	n.³/n s ʊ.³/ʊ ŋ
404	friend	NGTMunken3	bʲâ / bə̀bʲá	b j a.⁵¹/a
405	friend	NUNMunken4	àtsò / bàtsò	a.¹/a ts o.¹/o
406	friend	MCANgun3	bī~bîː / bɛ̀bí	b i.³/i
407	friend	KBMNgun4	ʊ̀kɥɪ̀ / bə̀kɥɪ̀	ʊ.¹/ʊ k ɥ ɪ.¹/ɪ
408	friend	WCANgun1	bìː / bèbîː	b iː.¹/iː
409	friend	AOMNgun2	ʊ̀kwɪ̀ / bɛ́kwɪ᷇ː	ʊ.¹/ʊ k w ɪ.¹/ɪ
410	friend	APBMumfu1	ńsʊ́ŋ / ńswéːn	n.⁵/n s ʊ.⁵/ʊ ŋ
411	friend	DNMMumfu2	n̄sʊ̄ŋ / n̄sōn	n.³/n s ʊ.³/ʊ ŋ
412	friend	BKBMashi2	ǹsʊ́ / ǹsʊ́	n.¹/n s ʊ.⁵/ʊ
413	friend	KFKMashi1	ǹsʊ́ / ǹsʊ́ŋ	n.¹/n s ʊ.⁵/ʊ
414	friend	ABSMissong1	ìtsʊ̈̌ / kítsʊ̂lə̀	i.¹/i ts ʊ̤.¹⁵/ʊ̤
415	friend	AGAMissong2	ɪ̀tsʊ̌ / átsʊ́wú~kɪ́tsʊ́lə́	ɪ.¹/ɪ ts ʊ.¹⁵/ʊ
459	chief	NVBAbar7	ŋkʊ́ŋ / ŋkʊ́ŋbʷɪ̂	ŋ k ʊ.⁵/ʊ ŋ
460	chief	ECLAbar8	ŋkʊ́ŋ / ŋkʊ́ŋbʷɪ̂	ŋ k ʊ.⁵/ʊ ŋ
