ID	CONCEPT	DOCULECT	VALUE	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	ALIGNMENT
16446	cough (n)	FBCBiya8	ʊ̀kpé / kə̀kpélə́	ʊ.¹/ʊ kp e.⁵/e	7 1 7	XBZ	YKE	13	13.Y.V 13.K.C 13.E.V	1.5 1.75 0.8	ʊ.¹/ʊkpe.⁵/e	0	863	ʊ.¹/ʊ kp e.⁵/e
16447	cough (n)	ENBBiya1	ʊ́kpé / ākpé	ʊ.⁵/ʊ kp e.⁵/e	7 1 7	XBZ	YKE	12	12.Y.V 12.K.C 12.E.V	1.5 1.75 0.8	ʊ.⁵/ʊkpe.⁵/e	0	863	ʊ.⁵/ʊ kp e.⁵/e
16448	cough (n)	ICNBiya2	ʊ́kpʷé / bʊ́kpʷé	ʊ.⁵/ʊ kpʷ e.⁵/e	7 1 7	XBZ	YKE	14	14.Y.V 14.K.C 14.E.V	1.5 1.75 0.8	ʊ.⁵/ʊkpʷe.⁵/e	0	863	ʊ.⁵/ʊ kpʷ e.⁵/e
8839	cow, cattle	NVBAbar7	ⁿbɔ̀ŋ / ⁿbɔ̀ŋbʷɪ̂	ⁿb ɔ.¹/ɔ ŋ	1 7 4	AXN	PUN	48	48.P.C 48.U.V 48.N.c	2.0 1.5 0.8	ⁿbɔ.¹/ɔŋ	0	898	- - ⁿb ɔ.¹/ɔ ŋ - -
8840	cow, cattle	ECLAbar8	ⁿbɔ̀ŋ / bʷɪ̀ⁿbɔ̀ŋ	ⁿb ɔ.¹/ɔ ŋ	1 7 4	AXN	PUN	11	11.P.C 11.U.V 11.N.c	2.0 1.5 0.8	ⁿbɔ.¹/ɔŋ	0	898	- - ⁿb ɔ.¹/ɔ ŋ - -
8841	cow, cattle	NMAAbar1	mbɔ̀ŋ / gbwɪ̀mbɔ̀ŋ	m b ɔ.¹/ɔ ŋ	4 1 7 4	ACYN	MPUN	42	42.M.C 42.P.C 42.U.V 42.N.c	2.0 1.5 1.3 0.8	mbɔ.¹/ɔŋ	0	898	m - b ɔ.¹/ɔ ŋ - -
8842	cow, cattle	NACAbar2	mbɔ̀ŋ / bə̀mbɔ̀ŋ	m b ɔ.¹/ɔ ŋ	4 1 7 4	ACYN	MPUN	31	31.M.C 31.P.C 31.U.V 31.N.c	2.0 1.5 1.3 0.8	mbɔ.¹/ɔŋ	0	898	m - b ɔ.¹/ɔ ŋ - -
8843	cow, cattle	NVIAjumbu1	mbɔ̀lɔ́ʔ / àmbɔ̀lɔ́ʔ	m b ɔ.¹/ɔ l ɔ.⁵/ɔ ʔ	4 1 7 5 7 1	ACYBYN	MPULUH	49	49.M.C 49.P.C 49.U.V 49.L.C 49.U.V 49.H.c	2.0 1.5 1.3 1.75 1.3 0.8	mbɔ.¹/ɔlɔ.⁵/ɔʔ	0	898	m - b ɔ.¹/ɔ l ɔ.⁵/ɔ ʔ
8844	cow, cattle	KMNAjumbu2	mbɔ̀lɔ́ / àmbɔ̀lɔ́	m b ɔ.¹/ɔ l ɔ.⁵/ɔ	4 1 7 5 7	ACYBZ	MPULU	25	25.M.C 25.P.C 25.U.V 25.L.C 25.U.V	2.0 1.5 1.3 1.75 0.8	mbɔ.¹/ɔlɔ.⁵/ɔ	0	898	m - b ɔ.¹/ɔ l ɔ.⁵/ɔ -
8845	cow, cattle	NNBBuu3	mbòːlə́ / bə̀mbòːlə́	m b oː.¹/oː l ə.⁵/ə	4 1 7 5 7	ACYBZ	MPULE	45	45.M.C 45.P.C 45.U.V 45.L.C 45.E.V	2.0 1.5 1.3 1.75 0.8	mboː.¹/oːlə.⁵/ə	0	898	m - b oː.¹/oː l ə.⁵/ə -
