Grapheme	IPA	FREQUENCY	CODEPOINTS	NOTES
ʃʲ	ʃʲ	14	U+0283U+02b2	
ʃʷ	ʃʷ			
t	t	211	U+0074	
tʰ	tʰ			
tʲ	tʲ	17	U+0074U+02b2	
tˢ	tˢ			
ts	ts	67	U+0074U+0073	
tsː	tsː			
tsʷ	tsʷ			
tʃ	tʃ	8	U+0074U+0283	
tʃʷ	tʃʷ			
tᵗ	t			
tʷ	tʷ			
ù	u.¹			
ũ̀	ũ.¹			
ú	u.¹	14	U+00fa	
ũ̌	ũ.¹⁵			
u	u.³			
ũ̄	ũ.³			
ū	u.³			
u᷄	u.³⁵			
ǔ	u.⁵			
ṹ	ũ.⁵			
û	u.⁵¹			
ũ̂	ũ.⁵¹			
ũ᷇	ũ.⁵³			
u᷇	u.⁵³			
ǜ	uʱ.¹			
ǚ	uʱ.¹⁵			
ü	uʱ.³			
ǖ	uʱ.³			
ü᷇	uʱ.³			
ǘ	uʱ.⁵			
ü̃́	ũʱ.⁵			
ü̂	uʱ.⁵¹			
ũ᷇ː	ũ.⁵³			
ũ᷇ː	ũ.⁵³			
ùː	uː.¹			
ǔː	uː.¹⁵			
uː	uː.³			
ũ̄ː	ũː.³			
ūː	uː.³	3	U+016b U+02d0	
u᷄ː	uː.³⁵			
ṹː	ũː.⁵			
úː	uː.⁵	4	U+00fa U+02d0	
ûː	uː.⁵¹			
u᷇ː	uː.⁵³			
ǘː	uːʱ.⁵			
u᷇ːʷ	uːʷ.⁵³			
ùᶠ	u.¹			
ũ̀ᶠ	ũ.¹			
úʷ	u.⁵			
ʉ̀	ʉ.¹			
ʉ̌	ʉ.¹⁵			
ʉ	ʉ.³			
ʉ̄	ʉ.³			
ʉ́	ʉ.⁵			
ʉ̂	ʉ.⁵			
ʉ̈	ʉʱ			
ʉ᷇ː	ʉː.⁵³			
ɥ	ɥ	77	U+0265	
ɯ́	ɯ.⁵			
ʊ̀̃	ʊ̃.¹			
ʊ̀	ʊ.¹	18	U+028a U+0300	
ʊ̂	ʊ.¹⁵			
ʊ̌	ʊ.¹⁵			
ʊ̈̌	ʊ̤.¹⁵			
ʊ	ʊ.³			
ʊ̄	ʊ.³			
ʊ̄̃	ʊ̃.³			
ʊ̃́	ʊ̃.⁵			
ʊ̃̀	ʊ̃.⁵			
ʊ́	ʊ.⁵	127	U+028a U+0301	
ʊ᷇	ʊ.⁵³			
ʊ̈̄	ʊʱ	³		
ʊ̈̀	ʊʱ.¹			
ʊ̈	ʊʱ.³			
ʊ͏͏͏̈	ʊʱ.³			
ʊ̈́	ʊʱ.⁵			
ʊ̈̂	ʊʱ.⁵¹			
ʊ̏ː	ʊː.¹			
ʊ̀ː	ʊː.¹	4	U+028a U+0300 U+02d0	
ʊ᷇ː	ʊː.¹			
ʊ̌ː	ʊː.¹⁵			
ʊ̃̌ː	ʊ̃ː.¹⁵			
ʊ̃̄ː	ʊ̃ː.³			
ʊ̄ː	ʊː.³			
ʊ́ː	ʊː.⁵	20	U+028a U+0301 U+02d0	
ʊ̂ː	ʊː.⁵¹	8	U+028a U+0302	
ʊ̃᷇ː	ʊ̃᷇ː.⁵³			
ʊ̈᷇ː	ʊʱː.⁵³			
v	v			
vʷ	vʷ			
W	w		U+0077	
w	w	20	U+0077	
wʷ	w			
x	x			
y	j			
z	z	50	U+007a	
zː	zː			
ʒ	ʒ			
ʒʷ	ʒʷ			
ʔ	ʔ	11	U+0294	
ʼ	ʔ			
β	β			
βʷ	βʷ			
