Grapheme	IPA	FREQUENCY	CODEPOINTS	NOTES
ɨ	ɨ ³
ɨ̄	ɨ ³
ɨ́	ɨ ⁵
ɨ̃́	ɨ̃ ⁵
ɨ̂	ɨ ⁵ ¹
ɨ̃̂	ɨ̃ ⁵ ¹
ɨ̀ː	ɨː ¹
ɨ̌ː	ɨː ¹ ⁵
ɨ́ː	ɨː ⁵
ɨ̄᷇ː	ɨː ⁵ ³
ɨ᷇ː	ɨː ⁵ ³
j	j
ʲ	j
ᵏ	k
K	k
k	k	308	U+006b
kᶠ	k f
kʲ	kʲ	11	U+006b U+02b2
kp	kp
kpʳʷ	kpʷ
kʷ	kʷ	43	U+006b U+02b7
kx	kˣ
kˣ	kˣ
ƙ	q
l	l	44	U+006c
lː	l
ṃ	m
m̩	m
m	m	215	U+006d
̀m	m ¹
m̀	m ¹	22	U+006d U+0300
m̩̀	m ¹	26	U+006d U+0329 U+0300
m̄	m ³
m̩̄	m ³
ṃ̄	m ³
ḿ	m ⁵
ḿ̩	m ⁵
ḿ̩̩	m ⁵
m̂	m ⁵ ¹
M	ɱ
mʷ	mʷ	15	U+006d U+02b7
ɱ	ɱ
ɱ̀	ɱ ¹
ⁿ	n
N	n
n̩	n
ṇ	n
n	n	419	U+006e
Ń	n 
Ǹ	n ¹
ǹ̩	n ¹
ǹ	n ¹	48	U+01f9
n̄	n ³
ṇ̄	n ³
ń	n ⁵
ń̩	n ⁵
N̂	n ⁵ ¹
ⁿb	n b
ⁿbʷ	n bʷ
ⁿd	n d
ⁿdʷ	n dʷ
ⁿt	n t
nʷ	nʷ
ɲ	ɲ	162	U+0272
ɲ̀	ɲ ¹
ɲ̄	ɲ ³
ɲ́	ɲ ⁵
ɲⁱ	ɲʲ
ɲʲ	ɲʲ	8	U+0272 U+02b2
ɲʷ	ɲʷ
ᶇ	ŋ
ɳ	ɳ
Ŋ	ŋ
ŋ̃	ŋ
ŋ̩	ŋ
ŋ	ŋ	111	U+014b
ŋ̩̀	ŋ ¹
ŋ̀	ŋ ¹	12	U+014b U+0300
ŋ̄	ŋ ³
ŋ̄̀	ŋ ³ ¹
ŋ́	ŋ ⁵
ŋ̩́	ŋ ⁵
ŋ̈	ŋˤ
ŋm̀	ŋ m ¹
ŋm	ŋm
ŋmʷ	ŋmʷ
ŋʃʲ	ŋ ʃʲ	5	U+014b U+0283 U+02b2
ŋʷ	ŋʷ	4	U+014b U+02b7
