Grapheme	IPA	FREQUENCY	CODEPOINTS	NOTES
ɨ	ɨ.³/ɨ
ɨ̄	ɨ.³/ɨ
ɨ́	ɨ.⁵/ɨ
ɨ̃́	ɨ̃.⁵/ɨ̃
ɨ̂	ɨ.⁵¹/ɨ
ɨ̃̂	ɨ̃.⁵¹/ɨ̃
ɨ̀ː	ɨː.¹/ɨː
ɨ̌ː	ɨː.¹⁵/ɨː
ɨ́ː	ɨː.⁵/ɨː
ɨ̄᷇ː	ɨː.⁵³/ɨː
ɨ᷇ː	ɨː.⁵³/ɨː
j	j
ʲ	j
ᵏ	k
K	k
k	k	308	U+006b
kᶠ	kᶠ/k
kʲ	kʲ	11	U+006bU+02b2
kp	kp
kpʳʷ	kpʳʷ
kʷ	kʷ	43	U+006bU+02b7
kx	kx
kˣ	kx
ƙ	q
l	l	44	U+006c
lː	l
m̩	m
ṃ	m
m	m	215	U+006d
̀m	m.¹/m
m̀	m.¹/m	22	U+006d U+0300
m̩̀	m.¹/m	26	U+006d U+0329 U+0300
m̄	m.³/m
m̩̄	m.³/m
ṃ̄	m.³/m
ḿ	m.⁵/m
ḿ̩	m.⁵/m
ḿ̩̩	m.⁵/m
m̂	m.⁵¹/m
M	ɱ
mʷ	mʷ	15	U+006dU+02b7
ɱ	ɱ
ɱ̀	ɱ.¹/ɱ
ⁿ	n
N	n
n̩	n
ṇ	n
n	n	419	U+006e
Ǹ	N.¹/n
ǹ̩	n.¹/n
ǹ	n.¹/n	48	U+01f9
n̄	n.³/n
ṇ̄	n.³/n
ń	n.⁵/n
ń̩	n.⁵/n
N̂	n.⁵¹/n
Ń	Ń/n
ⁿb	ⁿb
ⁿbʷ	ⁿbʷ
ⁿd	ⁿd
ⁿdʷ	ⁿdʷ
ⁿt	ⁿt
nʷ	nʷ
ɲ	ɲ	162	U+0272
ɲ̀	ɲ.¹/ɲ
ɲ̄	ɲ.³/ɲ
ɲ́	ɲ.⁵/ɲ
ɲⁱ	ɲʲ
ɲʲ	ɲʲ	8	U+0272U+02b2
ɲʷ	ɲʷ
ᶇ	ŋ
ɳ	ɳ
Ŋ	ŋ
ŋ̃	ŋ
ŋ̩	ŋ
ŋ	ŋ	111	U+014b
ŋ̩̀	ŋ.¹/ŋ
ŋ̀	ŋ.¹/ŋ	12	U+014b U+0300
ŋ̄	ŋ.³/ŋ
ŋ̄̀	ŋ.³¹/ŋ
ŋ́	ŋ.⁵/ŋ
ŋ̩́	ŋ.⁵/ŋ
ŋ̈	ŋˤ
ŋm̀	ŋ m.¹/ŋ m
ŋm	ŋm
ŋmʷ	ŋmʷ
ŋʃʲ	ŋ ʃʲ	5	U+014b U+0283U+02b2
ŋʷ	ŋʷ	4	U+014bU+02b7
õ̀	õ.¹/õ
ø̀	ø.¹/ø
ò	o.¹/o	61	U+00f2
õ̌	õ.¹⁵/õ
ø̌	ø.¹⁵/ø
ǒ	o.¹⁵/o	4	U+01d2
o	o.³/o
ȭ	õ.³/õ
ø	ø.³/ø
ø̄	ø.³/ø
ō	o.³/o	3	U+014d
ő	o.⁵/o
ṍ	õ.⁵/õ
ǿ	ø.⁵/ø
ó	o.⁵/o	50	U+00f3
o᷇	o.⁵/o 
õ̂	õ.⁵¹/õ
ø̂	ø.⁵¹/ø	10	U+00f8 U+0302
ô	o.⁵¹/o	56	U+00f4
ø᷇	ø.⁵³/ø
ø̀ː	øː.¹/øː
òː	oː.¹/oː	3	U+00f2 U+02d0
õ̌ː	õː.¹⁵/õː
ǒː	oː.¹⁵/oː	26	U+01d2 U+02d0
oː	oː.³/oː
ȭː	õː.³/õː
ōː	oː.³/oː
ṍː	õː.⁵/õː
ǿː	øː.⁵/øː
ø̂ː	øː.⁵/øː
óː	oː.⁵/oː	16	U+00f3 U+02d0
ôː	oː.⁵¹/oː
õ᷇ː	õː.⁵³/õː
ø᷇ː	øː.⁵³/øː
ø᷇᷇ː	øː.⁵³/øː
o᷇ː	oː.⁵³/oː	5	U+006f U+1dc7 U+02d0
œ̀	œ.¹/œ
œ̏	œ.¹/œ
œ̌	œ.¹⁵/œ
œ	œ.³/œ
œ̄	œ.³/œ
œ́	œ.⁵/œ
œ̂	œ.⁵¹/œ
œ̃᷇	œ̃.⁵³/œ
œ᷇	œ.⁵³/œ
œ̀ː	œː.¹/œː
œ̌ː	œː.¹⁵/œː
œ̄ː	œː.³/œː
œ́ː	œː.⁵/œː
œ̂ː	œː.⁵¹/œː
œ᷇ː	œː.⁵³/œː
óő	oː.⁴⁵/oː
ɔ̃̀	ɔ̃.¹/ɔ̃
ɔ̀	ɔ.¹/ɔ	34	U+0254 U+0300
ɔ̌	ɔ.¹⁵/ɔ
ɔ̃̌	ɔ̃.¹⁵/ɔ̃
ɔ	ɔ.³/ɔ
ɔ̃̄	ɔ̃.³/ɔ̃
ɔ̄	ɔ.³/ɔ
ɔ́	ɔ.⁵/ɔ
ɔ̋	ɔ.⁵/ɔ
ɔ̃́	ɔ̃.⁵/ɔ̃
ɔ̂	ɔ.⁵¹/ɔ
ɔ̃̂	ɔ̃.⁵¹/ɔ̃
ɔ᷇	ɔ.⁵³/ɔ
ɔ̀ː	ɔː.¹/ɔː
ɔ̌ː	ɔː.¹⁵/ɔː
ɔ̃̌ː	ɔ̃ː.¹⁵/ɔ̃ː
ɔː	ɔː.³/ɔː
ɔ̄ː	ɔː.³/ɔː
ɔ́ː	ɔː.⁵/ɔː
ɔ̃́ː	ɔ̃ː.⁵/ɔ̃ː
ɔ̂ː	ɔː.⁵¹/ɔː
ɔ̃̂ː	ɔ̃ː.⁵¹/ɔ̃ː
ɔ᷇ː	ɔː.⁵³/ɔː
p	p	83	U+0070
r	r
ʳ	r
s	s	19	U+0073
sʷ	sʷ
ʃ	ʃ	7	U+0283
ʃʲ	ʃʲ	14	U+0283U+02b2
ʃʷ	ʃʷ
t	t	211	U+0074
tʰ	tʰ
tʲ	tʲ	17	U+0074U+02b2
tˢ	tˢ
ts	ts	67	U+0074U+0073
tsː	tsː
tsʷ	tsʷ
tʃ	tʃ	8	U+0074U+0283
tʃʷ	tʃʷ
tᵗ	t
tʷ	tʷ
ù	u.¹/u
ũ̀	ũ.¹/ũ
ú	u.¹/u	14	U+00fa
ũ̌	ũ.¹⁵/ũ
u	u.³/u
ũ̄	ũ.³/ũ
ū	u.³/u
u᷄	u.³⁵/u
ǔ	u.⁵/u
ṹ	ũ.⁵/ũ
û	u.⁵¹/u
ũ̂	ũ.⁵¹/ũ
ũ᷇	ũ.⁵³/ũ
u᷇	u.⁵³/u
ǜ	uʱ.¹/uʱ
ǚ	uʱ.¹⁵/uʱ
ü	uʱ.³/uʱ
ǖ	uʱ.³/uʱ
ü᷇	uʱ.³/uʱ
ǘ	uʱ.⁵/uʱ
ü̃́	ũʱ.⁵/ũʱ
ü̂	uʱ.⁵¹/uʱ
ũ᷇ː	ũː.⁵³/ũː
ùː	uː.¹/uː
ǔː	uː.¹⁵/uː
uː	uː.³/uː
ũ̄ː	ũː.³/ũː
ūː	uː.³/uː	3	U+016b U+02d0
u᷄ː	uː.³⁵/uː
ṹː	ũː.⁵/ũː
úː	uː.⁵/uː	4	U+00fa U+02d0
ûː	uː.⁵¹/uː
u᷇ː	uː.⁵³/uː
ǘː	uːʱ.⁵/uːʱ
u᷇ːʷ	uːʷ.⁵³/uːʷ
ùᶠ	u.¹/u f
ũ̀ᶠ	ũ.¹/ũ f
úʷ	u.⁵/u w
ʉ̀	ʉ.¹/ʉ
ʉ̌	ʉ.¹⁵/ʉ
ʉ	ʉ.³/ʉ
ʉ̄	ʉ.³/ʉ
ʉ́	ʉ.⁵/ʉ
ʉ̂	ʉ.⁵/ʉ 
ʉ̈	ʉʱ
ʉ᷇ː	ʉː.⁵³/ʉː
ɥ	ɥ	77	U+0265
ɯ́	ɯ.⁵/ɯ
ʊ̀̃	ʊ̃.¹/ʊ̃
ʊ̀	ʊ.¹/ʊ	18	U+028a U+0300
ʊ̂	ʊ.¹⁵/ʊ
ʊ̌	ʊ.¹⁵/ʊ
ʊ̈̌	ʊ̤.¹⁵/ʊ̤
ʊ	ʊ.³/ʊ
ʊ̄	ʊ.³/ʊ
ʊ̄̃	ʊ̃.³/ʊ̃
ʊ̃́	ʊ̃.⁵/ʊ̃
ʊ̃̀	ʊ̃.⁵/ʊ̃
ʊ́	ʊ.⁵/ʊ	127	U+028a U+0301
ʊ᷇	ʊ.⁵³/ʊ
ʊ̈̄	ʊʱ	³
ʊ̈̀	ʊʱ.¹/ʊʱ
ʊ̈	ʊʱ.³/ʊʱ
ʊ͏͏͏̈	ʊʱ.³/ʊʱ
ʊ̈́	ʊʱ.⁵/ʊʱ
ʊ̈̂	ʊʱ.⁵¹/ʊʱ
ʊ̏ː	ʊː.¹/ʊː
ʊ̀ː	ʊː.¹/ʊː	4	U+028a U+0300 U+02d0
ʊ᷇ː	ʊː.¹/ʊː 
ʊ̌ː	ʊː.¹⁵/ʊː
ʊ̃̌ː	ʊ̃ː.¹⁵/ʊ̃ː
ʊ̃̄ː	ʊ̃ː.³/ʊ̃ː
ʊ̄ː	ʊː.³/ʊː
ʊ́ː	ʊː.⁵/ʊː	20	U+028a U+0301 U+02d0
ʊ̂ː	ʊː.⁵¹/ʊː	8	U+028a U+0302
ʊ̃᷇ː	ʊ̃ː.⁵³/ʊ̃ː
ʊ̈᷇ː	ʊʱː.⁵³/ʊʱː
v	v
vʷ	vʷ
W	w		U+0077
w	w	20	U+0077
wʷ	w
x	x
y	j
z	z	50	U+007a
zː	zː
ʒ	ʒ
ʒʷ	ʒʷ
ʔ	ʔ	11	U+0294
ʼ	ʔ
β	β
βʷ	βʷ
