NUMBER	ENGLISH	POS
362	cry (n)	N/A
363	cry (v)	N/A
364	cultivate, till	N/A
365	cup	N/A
366	cup sieve	N/A
367	curse	N/A
368	cut (butcher palm cone)	N/A
369	cut (in to slices)	N/A
370	cut (thatch grass)	N/A
371	cutlass	N/A
372	cutlass (big)	N/A
373	cutlass (small)	N/A
374	dance	N/A
375	dance (on toes)	N/A
376	dance (v)	N/A
377	dash (offer)	N/A
378	date	N/A
379	date palm	N/A
380	datepalm	N/A
381	day	N/A
382	death	N/A
383	debate	N/A
384	deceive, cheat	N/A
385	deity, god, God	N/A
386	deliver (baby)	N/A
387	demolish (house)	N/A
388	deny, refuse	N/A
389	descend	N/A
390	destroy	N/A
391	devil	N/A
392	diarrhoea	N/A
393	die (v)	N/A
394	dig	N/A
395	dip (into liquid)	N/A
396	direct (place, road)	N/A
397	dirts	N/A
398	disapear	N/A
399	disappear	N/A
400	discussion	N/A
401	dish	N/A
402	dish (aluminium)	N/A
403	dish (pan)	N/A
404	dish out, share	N/A
405	dish/pot (clay)	N/A
406	disperse (crowd)	N/A
407	disperse (itselves)	N/A
408	disregard (filth)	N/A
409	disturb	N/A
410	divide (cut pieces)	N/A
411	do; make	N/A
412	dog	N/A
413	done (cook)	N/A
414	door	N/A
415	door (frame)	N/A
416	door (lid)	N/A
417	door (lid/space)	N/A
418	door (space)	N/A
419	door lid (cover)	N/A
420	doorway (space)	N/A
421	drag, drive a car	N/A
422	dragonfly	N/A
423	dream (v)	N/A
424	dress (wear)	N/A
425	dress up (nicely)	N/A
426	drink (v)	N/A
427	drip (v)	N/A
428	drum	N/A
429	drum (bothside)	N/A
430	dry season	N/A
431	dry up (tree)	N/A
432	duck	N/A
433	dust	N/A
434	dysentry	N/A
435	ear	N/A
436	earth	N/A
437	earthworm	N/A
438	eat	N/A
439	eat bone	N/A
440	eat slimmy soup	N/A
441	eath	N/A
442	eczema	N/A
443	egg	N/A
444	egussi	N/A
445	egussi cracked	N/A
446	egussi pudding	N/A
447	egussi uncracked	N/A
448	eight (8)	N/A
449	eight hundred (800)	N/A
450	eighteen (18)	N/A
451	eighty (80)	N/A
452	elbow	N/A
453	elder (birth)	N/A
454	elder (cultural initiation rites)	N/A
455	elders dance	N/A
456	electric fish	N/A
457	elephant	N/A
458	elephant stalk	N/A
459	eleven (11)	N/A
460	embrance	N/A
461	empty palm cone	N/A
462	end	N/A
463	enter	N/A
464	entertain (feast) (v)	N/A
465	enthrone chief	N/A
466	equal	N/A
467	erase, wipe	N/A
468	escape (something)	N/A
469	evil society (nyoŋgo)	N/A
470	excort (v)	N/A
471	excrete (faeces)  (v)	N/A
472	exile, banish	N/A
473	extinguish (fire)	N/A
474	eye	N/A
475	face	N/A
476	fade	N/A
477	faeces	N/A
478	faeces (little)	N/A
479	fall	N/A
480	fall (man, tree)	N/A
481	fall (rain)	N/A
482	fall, fail (repeatedly)	N/A
483	family	N/A
484	farm	N/A
