Concept	Density
612_groupcow	0.05
844_lion	0.2
827_leopard	0.11
527_fish	1.0
753_kofishwhite	0.02
752_kofish	0.07
528_fishnoserashes	0.05
881_mbangasoupfish	0.09
1340_tadpole	0.16
1339_tadpolefrogfish	0.05
456_electricfish	0.18
915_mudfish	0.32
351_crab	0.98
352_crabcastlots	0.43
1086_rat	0.59
770_korat	0.05
1087_ratbush	0.05
1089_ratsmallest	0.05
1090_ratyellowabdomen	0.02
1088_ratsizenexttoratmole	0.02
1316_strippedrat	0.2
1091_ratmole	0.48
857_longmouthrat	0.32
1240_snake	0.98
602_greensnake	0.32
773_kosnakemboma	0.07
1444_twoheadsnakehuman	0.27
1242_snakedottedmboma	0.02
1243_snakewhitesmallest	0.02
1470_viper	0.45
1241_snakeblack	0.05
309_cobra	0.05
868_malelizardredhead	0.32
498_femalelizardbrown	0.18
437_earthworm	0.5
67_ascarisstomachworm	0.3
849_lizard	0.7
850_lizardsmoothskin	0.2
21_lizardsmallest	0.05
268_chameleon	0.36
579_gecko	0.36
1396_toadroughback	0.52
562_frogsmoothback	0.25
563_frogvariegated	0.11
561_frogedible	0.39
1239_snail	0.5
1190_shellsnail	0.23
157_bird	1.0
958_owl	0.93
1165_screechowl	0.3
1328_swallowbird	0.09
645_hawk	0.5
1497_weaverbird	0.45
1520_woodpecker	0.25
556_fowl	0.95
300_clockbird	0.27
432_duck	0.5
1491_waterduck	0.02
443_egg	1.0
493_feather	0.93
1504_whiteneckhawk	0.41
799_kingfisher	0.2
25_senegalesekucaltimebird	0.32
800_kite	0.43
984_partridgeredlegs	0.43
983_partridgenonredlegs	0.41
311_cock	0.55
1549_youngcock	0.02
1550_younghen	0.02
1254_songbirdearlymorning	0.07
1253_songbirdafterrain	0.05
1096_redfeatherbirdfeatheroncaps	0.02
154_bighawkcatchesmonkeys	0.02
209_butterfly	0.48
865_maggot	0.52
682_housefly	0.45
566_fruitfly	0.41
756_koflysmartbitesucks	0.05
758_koflysuckscompound	0.05
542_flylargerthannormalfly	0.05
754_koflyslowpainfulbite	0.05
55_ant	0.39
1249_soldierant	0.91
56_antblackbuildsamountonatree	0.09
738_koant	0.09
1512_wineredant	0.02
735_koantyellow	0.02
57_antsblackopenthongs	0.02
238_carpenterbee	0.43
831_lice	0.43
596_grasshopper	0.95
598_grasshoppermongwin	0.3
597_grasshopperfattest	0.05
1233_smallnoisemakinggrasshopper	0.05
359_cricket	0.98
736_kocricket	0.25
312_cockroachhouse	0.5
313_cockroachtoilet	0.05
1266_spider	0.82
1161_scorpion	0.36
1353_tarantula	0.09
854_locust	0.3
1488_wasphouseblack	0.48
1487_waspbush	0.02
1486_waspbrown	0.05
1052_prayingmantis	0.43
262_centipede	0.41
422_dragonfly	0.3
750_kodragonfly	0.02
907_mosquito	0.52
671_honeyjuice	0.52
670_honeybee	0.52
741_kobee	0.02
725_jigger	0.55
1367_termite	0.77
1513_winglesstermite	0.77
155_bigtermitemount	0.02
1368_termitemount	0.02
310_cobweb	0.05
894_millipede	0.07
1248_soilbeetleedible	0.02
972_palmgrub	0.05
140_bedbug	0.18
141_beetle	0.02
965_palmbeetlefromdeadpalm	0.05
253_caterpillar	1.0
257_caterpillarforcrabs	0.02
256_caterpillaredible	0.07
260_caterpillarvariegated	0.05
258_caterpillarredyellowlines	0.02
745_kocaterpillar	0.02
254_caterpillarblackstings	0.05
255_caterpillarcylindersticks	0.02
259_caterpillarstings	0.02
1528_world	0.5
436_earth	0.25
656_heaven	0.45
1219_sky	0.89
1220_skyheaven	0.05
914_mud	0.52
1329_swamp	0.32
190_brick	0.52
1122_river	0.5
1313_stream	0.43
1278_spring	0.3
484_farm	0.98
206_bushfarm	0.02
208_bushowner	0.48
207_bushinside	0.11
1469_village	0.52
1073_quarter	0.3
347_country	0.43
334_compound	0.98
1403_toilet	0.93
661_hill	0.93
669_hole	0.59
1129_rock	0.48
1307_stone	0.95
1148_salt	0.98
814_lake	0.55
912_mountain	0.41
433_dust	0.95
620_hailstone	0.93
1465_valley	0.48
297_cliff	0.34
1238_smoke	0.98
1255_soot	0.34
608_groundsoil	0.45
282_clay	0.43
815_land	0.45
1325_sun	0.98
905_moon	0.95
1290_star	0.93
898_mistfog	0.5
1510_wind	0.43
40_air	0.98
1311_stormwind	0.98
1079_rain	1.0
1081_rainyseason	0.3
430_dryseason	0.75
1150_sand	0.95
599_grave	1.0
179_branchoftheroad	0.34
1124_roadjunction	0.25
397_dirts	0.55
1024_place	1.0
838_light	0.02
1485_warm	0.02
323_cold	0.14
677_hot	0.02
324_coldair	0.34
325_coldsolid	0.34
678_hotheatair	0.32
679_hotheatsolid	0.39
306_cloud	0.39
1117_ridgefarm	0.73
873_market	0.09
1123_road	0.82
573_garbagepit	0.02
960_palace	0.02
19_furrowbetweenridges	0.02
1543_yard	0.05
32_abyss	0.02
381_day	0.95
601_graveyard	0.05
477_faeces	0.98
478_faeceslittle	0.02
1080_rainbow	0.84
947_oilmill	0.34
1492_waxincense	0.66
1484_war	0.95
809_knowledge	0.52
884_measurement	0.23
904_month	0.2
1545_year	0.7
1499_week	0.7
818_laughter	0.14
680_hour	0.02
1507_wickedness	0.41
1299_stinginessselfishness	0.11
722_jealousy	0.34
820_laziness	0.52
1377_thing	0.36
921_name	1.0
593_gossipn	0.52
1371_thankn	0.5
835_lienfalsen	0.48
1312_story	0.98
687_hungern	0.3
1418_troublen	0.48
1322_suffern	0.43
200_bundlen	0.5
941_oathn	0.36
1330_swearn	0.23
819_lawn	0.5
491_fearn	0.52
1056_pricen	0.05
816_laughn	0.52
362_cryn	0.52
689_huntn	0.05
142_begn	0.48
1071_quarreln	0.5
510_fightn	0.52
843_linen	0.3
943_odourn	0.52
247_casecourtn	0.93
1298_stinginessn	0.36
1505_wickedheartn	0.02
641_hatredn	0.05
1049_powern	0.02
817_laughv	0.45
363_cryv	0.45
511_fightv	0.45
281_clapv	0.05
1526_workn	0.82
160_black	0.05
622_half	0.05
616_guidev	0.07
1095_red	0.07
834_liedeceivev	0.02
1502_white	0.05
1498_weedv	0.02
853_lockv	0.05
1267_spinv	0.05
1324_summonv	0.02
729_joint	0.02
1222_sleep	0.48
1378_think	0.32
400_discussion	0.02
1108_response	0.02
331_come	0.45
586_go	0.45
198_buildhouse	0.41
346_countv	0.45
393_diev	0.45
426_drinkv	0.45
583_giveoffer	0.45
613_grow	0.45
1145_run	0.45
1185_shavescissors	0.05
1327_swallowfood	0.23
1387_tiebag	0.45
438_eat	0.45
479_fall	0.45
734_jump	0.45
1341_take	0.45
197_buildbridge	0.05
953_open	0.43
798_kill	0.45
252_catchrun	0.45
336_cook	0.45
70_ask	0.45
158_bite	0.02
211_buy	0.45
394_dig	0.45
1126_roastcorn	0.09
1186_shaveheadrazor	0.41
541_flybird	1.0
655_heatfufu	0.14
726_joinpeople	0.02
1173_sell	0.45
690_huntv	0.36
949_one1	0.45
1443_two2	0.45
1382_three3	0.45
552_four4	0.45
530_five5	0.45
1211_six6	0.45
1176_seven7	0.45
448_eight8	0.45
935_nine9	0.45
1364_ten10	0.45
459_eleven11	0.45
1423_twelve12	0.45
1379_thirteen13	0.45
554_fourteen14	0.45
508_fifteen15	0.45
1212_sixteen16	0.45
1177_seventeen17	0.45
450_eighteen18	0.45
936_nineteen19	0.45
1424_twenty20	0.45
1429_twentyone21	0.45
1434_twentytwo22	0.45
1433_twentythree23	0.45
