Pattern	abar1239	biya1235	buuu1246	fang1248	kosh1246	kung1260	mbuu1238	miss1255	mufu1234	mund1340	munk1244	naki1238	ngun1279	Examples	COGID
buuu1246:4 kosh1246:3 mund1340:4 naki1238:2	0	0	4	0	3	0	0	0	0	4	0	2	0	1	63	1079_rain
mufu1234:2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	62 783	1079_rain, 81_banana
abar1239:2 ngun1279:1	2	0	0	0	0	0	0	0	0	0	0	0	1	1	72	1080_rainbow
abar1239:2	2	0	0	0	0	0	0	0	0	0	0	0	0	4	79 560 606 776	1080_rainbow, 458_elephantstalk, 522_fireside, 803_knife
biya1235:1 kung1260:2 mbuu1238:3	0	1	0	0	0	2	3	0	0	0	0	0	0	1	73	1080_rainbow
biya1235:1 munk1244:2 ngun1279:2	0	1	0	0	0	0	0	0	0	0	2	0	2	2	68 243	1080_rainbow, 1367_termite
buuu1246:2	0	0	2	0	0	0	0	0	0	0	0	0	0	6	75 184 248 279 349 562	1080_rainbow, 1290_star, 1367_termite, 1409_trap, 1552_zinc, 458_elephantstalk
buuu1246:1	0	0	1	0	0	0	0	0	0	0	0	0	0	5	77 156 246 455 496	1080_rainbow, 1249_soldierant, 1367_termite, 340_corn, 381_day
fang1248:2	0	0	0	2	0	0	0	0	0	0	0	0	0	11	71 76 92 128 190 294 505 600 622 852 866	1080_rainbow, 1080_rainbow, 1134_root, 1219_sky, 1306_stomach, 1451_umbrella, 391_devil, 519_fire, 541_flybird, 944_oil, 95_bat
mufu1234:1 mund1340:4	0	0	0	0	0	0	0	0	1	4	0	0	0	3	69 478 557	1080_rainbow, 371_cutlass, 458_elephantstalk
munk1244:2	0	0	0	0	0	0	0	0	0	0	2	0	0	5	80 210 249 862 879	1080_rainbow, 1311_stormwind, 1367_termite, 958_owl, 975_palmnut
miss1255:2 ngun1279:1	0	0	0	0	0	0	0	2	0	0	0	0	1	1	67	1080_rainbow
abar1239:2 biya1235:2 kosh1246:1 ngun1279:3	2	2	0	0	1	0	0	0	0	0	0	0	3	1	83	1123_road
buuu1246:4 fang1248:2 kosh1246:1 mbuu1238:4 mufu1234:2 mund1340:4 naki1238:2	0	0	4	2	1	0	4	0	2	4	0	2	0	1	84	1123_road
munk1244:4 ngun1279:1	0	0	0	0	0	0	0	0	0	0	4	0	1	1	86	1123_road
miss1255:1	0	0	0	0	0	0	0	1	0	0	0	0	0	16	81 82 123 150 165 188 271 313 398 524 525 554 555 803 804 835	1123_road, 1123_road, 1219_sky, 1249_soldierant, 1266_spider, 1306_stomach, 1409_trap, 1513_winglesstermite, 247_casecourtn, 428_drum, 428_drum, 458_elephantstalk, 458_elephantstalk, 903_monkey, 903_monkey, 921_name
abar1239:2 biya1235:2 kosh1246:3 mbuu1238:4 mund1340:1 munk1244:2 ngun1279:2	2	2	0	0	3	0	4	0	0	1	2	0	2	1	90	1134_root
abar1239:2 buuu1246:2 miss1255:2 munk1244:2 ngun1279:2	2	0	2	0	0	0	0	2	0	0	2	0	2	1	87	1134_root
buuu1246:2 kosh1246:1 mund1340:1	0	0	2	0	1	0	0	0	0	1	0	0	0	1	93	1134_root
fang1248:1	0	0	0	1	0	0	0	0	0	0	0	0	0	13	91 122 179 234 229 233 235 318 338 532 664 721 870	1134_root, 1206_sieve, 1290_star, 1325_sun, 1325_sun, 1325_sun, 1325_sun, 1513_winglesstermite, 1542_yam, 428_drum, 592_gong, 654_heart, 95_bat
mufu1234:2 mund1340:2 naki1238:2	0	0	0	0	0	0	0	0	2	2	0	2	0	1	88	1134_root
abar1239:2 biya1235:2 miss1255:2 munk1244:4 ngun1279:4	2	2	0	0	0	0	0	2	0	0	4	0	4	1	94	1136_rope
buuu1246:1 mbuu1238:4	0	0	1	0	0	0	4	0	0	0	0	0	0	1	98	1136_rope
buuu1246:3	0	0	3	0	0	0	0	0	0	0	0	0	0	1	97	1136_rope
fang1248:4 kosh1246:2 mufu1234:2 mund1340:4 naki1238:2	0	0	0	4	2	0	0	0	2	4	0	2	0	1	95	1136_rope
abar1239:3 ngun1279:1	3	0	0	0	0	0	0	0	0	0	0	0	1	1	104	1148_salt
abar1239:1 mufu1234:2 mund1340:4	1	0	0	0	0	0	0	0	2	4	0	0	0	1	100	1148_salt
kung1260:4 mbuu1238:4	0	0	0	0	0	4	4	0	0	0	0	0	0	3	102 121 410	1148_salt, 1206_sieve, 250_cat
biya1235:2 buuu1246:4 fang1248:4 kosh1246:2 miss1255:2 munk1244:4 ngun1279:3	0	2	4	4	2	0	0	2	0	0	4	0	3	1	99	1148_salt
abar1239:2 biya1235:2 buuu1246:4 fang1248:4 mbuu1238:4 miss1255:1 mufu1234:2 mund1340:4 munk1244:4 ngun1279:4	2	2	4	4	0	0	4	1	2	4	4	0	4	1	106	1150_sand
kung1260:4 miss1255:1	0	0	0	0	0	4	0	1	0	0	0	0	0	1	105	1150_sand
abar1239:3 miss1255:2 munk1244:3 ngun1279:3	3	0	0	0	0	0	0	2	0	0	3	0	3	1	109	1167_seed
abar1239:1 biya1235:2 buuu1246:4 fang1248:3 kosh1246:3 mufu1234:2 mund1340:4 munk1244:1 naki1238:2 ngun1279:1	1	2	4	3	3	0	0	0	2	4	1	2	1	1	110	1167_seed
abar1239:4 biya1235:2 buuu1246:2 kung1260:4 mbuu1238:4 miss1255:2 mufu1234:2 mund1340:4 munk1244:3 ngun1279:4	4	2	2	0	0	4	4	2	2	4	3	0	4	1	116	1189_sheep
fang1248:4 kosh1246:2 naki1238:2	0	0	0	4	2	0	0	0	0	0	0	2	0	1	117	1189_sheep
abar1239:4 biya1235:2 buuu1246:4 fang1248:1 kosh1246:4 miss1255:2 mufu1234:2 mund1340:4 munk1244:4 ngun1279:4	4	2	4	1	4	0	0	2	2	4	4	0	4	1	119	1206_sieve
abar1239:3 buuu1246:4 miss1255:1	3	0	4	0	0	0	0	1	0	0	0	0	0	1	124	1219_sky
abar1239:1	1	0	0	0	0	0	0	0	0	0	0	0	0	9	130 137 193 241 280 321 316 447 871	1219_sky, 1238_smoke, 1306_stomach, 1367_termite, 1409_trap, 1513_winglesstermite, 1513_winglesstermite, 334_compound, 95_bat
biya1235:2 mbuu1238:3 munk1244:3 ngun1279:3	0	2	0	0	0	0	3	0	0	0	3	0	3	1	125	1219_sky
mbuu1238:1	0	0	0	0	0	0	1	0	0	0	0	0	0	16	131 173 170 192 194 220 417 430 443 595 625 624 722 756 829 868	1219_sky, 1266_spider, 1266_spider, 1306_stomach, 1306_stomach, 1312_story, 253_caterpillar, 277_child, 334_compound, 50_animal, 541_flybird, 541_flybird, 654_heart, 713_intestine, 90_basket, 95_bat
kosh1246:2 mufu1234:1 mund1340:4 naki1238:2	0	0	0	0	2	0	0	0	1	4	0	2	0	1	126	1219_sky
munk1244:1 ngun1279:1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	129 604	1219_sky, 522_fireside
abar1239:3 biya1235:2 buuu1246:4 kosh1246:2 mbuu1238:4 miss1255:2 mufu1234:2 mund1340:4 munk1244:4 ngun1279:4	3	2	4	0	2	0	4	2	2	4	4	0	4	1	132	1238_smoke
abar1239:4	4	0	0	0	0	0	0	0	0	0	0	0	0	3	143 180 650	1240_snake, 1290_star, 574_gardenegg
biya1235:2 miss1255:2 munk1244:4 ngun1279:4	0	2	0	0	0	0	0	2	0	0	4	0	4	3	138 501 757	1240_snake, 391_devil, 719_jaw
buuu1246:4 mufu1234:2 mund1340:4	0	0	4	0	0	0	0	0	2	4	0	0	0	2	139 548	1240_snake, 443_egg
kosh1246:3 kung1260:4	0	0	0	0	3	4	0	0	0	0	0	0	0	1	141	1240_snake
abar1239:4 biya1235:2 buuu1246:4 fang1248:2 kosh1246:4 kung1260:4 mbuu1238:4 miss1255:2 munk1244:4 naki1238:2 ngun1279:4	4	2	4	2	4	4	4	2	0	0	4	2	4	1	145	1247_soap
mufu1234:1 mund1340:1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	146	1247_soap
mund1340:3	0	0	0	0	0	0	0	0	0	3	0	0	0	2	147 592	1247_soap, 50_animal
