	ABSMissong1	AGAMissong2	AOMNgun2	APBMumfu1	BAAMashi4	BKBMashi2	BNMKung2	CENMundabli2	DNMMumfu2	DPNFang13	ECLAbar8	ENBBiya1	FBCBiya8	ICNBiya2	JGYKoshin3	KBMNgun4	KCSKung3	KCYBuu2	KDCAjumbu10	KDVFang1	KEMBuu1	KFKMashi1	KHKFang12	KJSFang2	KMNAjumbu2	LFNMundabli1	MCANgun3	MEAMumfu3	MNJBuu4	MRYKoshin2	NACAbar2	NCCMumfu4	NCMMashi5	NDNMissong5	NEAMunken1	NEMAjumbu9	NFKBiya7	NGTMunken3	NINMundabli4	NJNBiya6	NJSKung4	NMAAbar1	NMNMundabli3	NMSMissong4	NNBBuu3	NSFBiya5	NUNMunken4	NVBAbar7	NVIAjumbu1	TELKoshin4	TNTMunken2	WCANgun1	ZKGKung1
KEMBuu1	0.830688578	0.869705636	0.835637436	0.812250018	0.844496428	0.897839083	0.954840059	0.852256878	0.804520696	0.958534464	0.848063035	0.942624398	0.924805150	0.929734668	0.962367576	0.813405920	0.926837938	0.995437871	0.922968568	0.961399015	1.000000000	0.896858685	0.960846697	0.969175040	0.959525688	0.805034855	0.777745040	0.814763609	0.977674695	0.965436328	0.853744163	0.824807480	0.810282728	0.811476996	0.890493185	0.919267125	0.944019648	0.850704305	0.834915024	0.895836108	0.940755886	0.817495865	0.849379859	0.829432078	0.980647232	0.817693726	0.835759384	0.831105008	0.971378607	0.960492853	0.838904972	0.897841917	0.953417085
KFKMashi1	0.907777522	0.960418797	0.901496472	0.907855509	0.956218044	0.998751069	0.912156364	0.928130348	0.921324691	0.892441131	0.909141451	0.960938252	0.927529666	0.975115937	0.923993206	0.863260631	0.860108455	0.921724264	0.881474426	0.862511954	0.896858685	1.000000000	0.869738202	0.861600592	0.883874947	0.905934974	0.837055786	0.925434871	0.897137197	0.895798319	0.923935920	0.927686945	0.956157630	0.900935587	0.957038666	0.880361115	0.925551214	0.918762016	0.920809347	0.909012673	0.865410272	0.941133012	0.943163087	0.924579654	0.895890643	0.884682396	0.923115817	0.909901582	0.925981458	0.921032520	0.895277409	0.955192152	0.916202636
KHKFang12	0.835919040	0.854680754	0.842248391	0.798503500	0.857441246	0.875347546	0.936382765	0.863879516	0.790663565	0.992456460	0.849349583	0.905150007	0.926299005	0.897993004	0.958175274	0.838577240	0.953622343	0.949291227	0.917804264	0.978368304	0.960846697	0.869738202	1.000000000	0.983514465	0.950519688	0.820448916	0.812165801	0.805645465	0.970539004	0.963990111	0.846897310	0.810049730	0.813962516	0.825349374	0.887771261	0.922210441	0.943808158	0.855617294	0.844480110	0.908136510	0.956659098	0.791408034	0.848692395	0.826318483	0.976261138	0.825078241	0.844800203	0.819578729	0.951989480	0.957742683	0.867926047	0.877050806	0.927436986
KJSFang2	0.815573203	0.833740302	0.823341875	0.804892256	0.838543711	0.866557604	0.929782655	0.851914681	0.782888453	0.980555483	0.822755837	0.894633553	0.908671587	0.885486490	0.945273289	0.808833638	0.944693266	0.955912444	0.912230693	0.995555045	0.969175040	0.861600592	0.983514465	1.000000000	0.958301065	0.831020952	0.784586163	0.796088772	0.965324792	0.974516290	0.830508205	0.789417474	0.783477422	0.791614463	0.863912351	0.912117097	0.930487539	0.827310512	0.852466439	0.888775669	0.948358087	0.768318046	0.836178302	0.791638778	0.969453152	0.797947373	0.815477052	0.796783982	0.958814112	0.949629921	0.841894001	0.859317180	0.924434043
KMNAjumbu2	0.873028974	0.882259268	0.887151913	0.835680185	0.846582256	0.885819361	0.958879711	0.868110222	0.831966560	0.955569801	0.875541698	0.926162832	0.939922056	0.911779520	0.964341250	0.864252963	0.954879969	0.955702165	0.960549646	0.968991417	0.959525688	0.883874947	0.950519688	0.958301065	1.000000000	0.843929440	0.842882612	0.838290935	0.957809277	0.974958841	0.885957615	0.841646095	0.822281193	0.857259703	0.906914996	0.964766723	0.953184019	0.875852861	0.857550176	0.924018715	0.953204849	0.831500608	0.848178178	0.854112397	0.960162834	0.869394416	0.868092190	0.858758377	0.990492029	0.969267488	0.893413586	0.907616438	0.950647187
LFNMundabli1	0.873756302	0.876799382	0.894192263	0.961510596	0.908321881	0.911601585	0.819314192	0.941560139	0.949001773	0.843943490	0.867718291	0.845021602	0.865302020	0.869585245	0.843128507	0.854751574	0.838538413	0.816919600	0.827381655	0.842525506	0.805034855	0.905934974	0.820448916	0.831020952	0.843929440	1.000000000	0.857949787	0.929622534	0.836039046	0.865126604	0.894318771	0.907912369	0.885292458	0.851559645	0.872848435	0.830388241	0.864032234	0.853186465	0.989193977	0.861898260	0.815540880	0.881777069	0.939381150	0.853084654	0.817807845	0.848254628	0.879987109	0.871785063	0.865570232	0.844746171	0.880235251	0.876405972	0.811589959
MCANgun3	0.934342749	0.903579501	0.962029748	0.828890342	0.832753999	0.838621425	0.840239305	0.885275362	0.850994476	0.838849967	0.955328878	0.850907210	0.917422582	0.851666900	0.850156048	0.993358090	0.880254577	0.782735904	0.889127324	0.801083544	0.777745040	0.837055786	0.812165801	0.784586163	0.842882612	0.857949787	1.000000000	0.849779724	0.833751204	0.823628035	0.952158931	0.854063192	0.835785259	0.959930280	0.908279464	0.893850578	0.909741013	0.959885320	0.856187289	0.954512781	0.857547023	0.900057553	0.873205717	0.931427708	0.826816995	0.976938833	0.957036639	0.956377956	0.841792816	0.855818265	0.959089464	0.916266339	0.816028649
MEAMumfu3	0.860702879	0.902374710	0.890101274	0.961134666	0.896964351	0.927882096	0.839561114	0.934500102	0.967496258	0.837389289	0.880070383	0.872038521	0.867293029	0.897220787	0.853180846	0.856839026	0.812503347	0.837346050	0.846636324	0.806608848	0.814763609	0.925434871	0.805645465	0.796088772	0.838290935	0.929622534	0.849779724	1.000000000	0.850000161	0.843072336	0.891388123	0.988023787	0.901576414	0.871611555	0.895554126	0.846216827	0.863074423	0.886125155	0.931018594	0.854972492	0.805646198	0.908901456	0.935995761	0.891533084	0.829657553	0.862988042	0.905793831	0.896924841	0.870511657	0.850431734	0.862282140	0.900315599	0.839032704
MNJBuu4	0.859976754	0.877092681	0.863566693	0.827327950	0.873002840	0.901168117	0.939003210	0.895650304	0.822173184	0.974785300	0.874392489	0.928775167	0.934935443	0.921647179	0.965862718	0.861257511	0.936505183	0.970819897	0.931894990	0.961250153	0.977674695	0.897137197	0.970539004	0.965324792	0.957809277	0.836039046	0.833751204	0.850000161	1.000000000	0.959896333	0.873953185	0.861574203	0.838307199	0.849811756	0.904021995	0.929232411	0.953219106	0.884625972	0.859243715	0.919766539	0.940859698	0.829915030	0.886927913	0.856554294	0.993999581	0.855475609	0.870582227	0.854887905	0.962380480	0.965222542	0.876947950	0.905512207	0.929178296
MRYKoshin2	0.850768294	0.878739632	0.867177818	0.852148903	0.861561047	0.900149904	0.949417651	0.875057241	0.837776921	0.966306439	0.864371430	0.924392466	0.928778250	0.914015977	0.961057338	0.843843023	0.947806166	0.959167555	0.934009740	0.977791650	0.965436328	0.895798319	0.963990111	0.974516290	0.974958841	0.865126604	0.823628035	0.843072336	0.959896333	1.000000000	0.875595675	0.835807482	0.821952413	0.841474531	0.894587040	0.929967548	0.943069618	0.861086077	0.882627602	0.917585739	0.948039087	0.823906039	0.858074047	0.844292477	0.961660527	0.844887682	0.855697613	0.844925769	0.978692747	0.963411511	0.866291596	0.897172367	0.945322731
