Concept	Density
762_koflysuckscompound	0.43
763_kofruit	0.55
764_komushroombrownandsoftontreeedible	0.52
767_komushroomsmallishbrownedible	0.5
768_komushroomthickyellowstemedible	0.02
771_komushroomwhitish	0.02
772_komushroomyellowish	0.02
773_korat	0.02
774_korope	0.43
776_kosnakemboma	0.45
777_kosong	0.52
778_kospearfins	0.3
779_kospearlargehead	0.05
780_kospearsharphead	0.05
781_kotrap	0.52
782_kotrapadughole	0.05
783_kotrapforpartridge	0.02
784_kotrapnecktrap	0.55
786_kotree	0.16
787_kotreebomafruitchildrenspin	0.05
788_kotreeboundarytree	0.05
789_kotreebrownedibleleaves	0.02
790_kotreecamwoodtree	0.02
791_kotreecaterpillarsforcrabs	0.02
792_kotreeleaf	0.02
793_kotreespoonfruit	0.02
794_kodance	0.02
795_kernel	0.8
796_kerneluncracked	0.25
797_kernelchaff	0.52
798_kerneloil	0.02
799_kernelshellbark	0.05
801_kill	0.45
802_kingfisher	0.41
803_kite	0.02
804_knee	0.55
806_knife	0.8
808_knittingpin	0.36
812_knowledge	0.02
813_knuckle	0.45
816_ladder	0.45
817_lake	0.48
818_land	0.5
819_laughn	0.36
820_laughv	0.5
821_laughter	0.52
822_lawn	0.05
823_laziness	0.48
824_lazyman	0.18
825_leaf	0.5
829_leg	0.45
830_leopard	0.07
831_leprosy	0.45
832_letter	0.02
834_lice	0.05
837_liedeceivev	0.32
838_lienfalsen	0.5
841_light	0.34
847_lion	0.02
849_littlehandbag	0.02
851_liver	0.48
852_lizard	0.82
21_lizardsmallest	0.25
853_lizardsmoothskin	0.07
856_lockv	0.02
857_locust	0.43
858_longdrum	0.05
860_longmouthrat	0.27
861_longneckcalabash	0.02
864_lowergrindingstone	0.55
866_lowerpepperstone	0.02
867_lungs	0.36
868_maggot	0.05
870_male	0.45
871_malelizardredhead	0.25
872_maleyouthdance	0.05
873_man	0.45
875_many	0.52
876_market	0.02
877_marrow	0.05
878_marrowbone	0.43
879_marrowbrain	0.27
880_matbamboosplint	0.09
881_matrhizomplant	0.18
882_matsoftplanttissue	0.41
883_mbangasoup	0.02
884_mbangasoupfish	0.32
886_measure	0.14
887_measurement	0.34
888_meat	0.05
889_meatmat	0.05
890_meatslate	0.02
891_meatgauze	0.18
892_medicine	0.48
895_messenger	0.2
896_milk	0.14
897_millipede	0.02
901_mistfog	0.55
904_mock	0.02
905_money	0.05
906_monkey	0.5
907_month	0.52
908_moon	0.98
909_mortar	0.02
910_mosquito	0.55
911_mossplant	0.3
912_mother	0.93
913_motherinlaw	0.25
915_mountain	0.34
916_mouth	0.95
917_mud	0.43
918_mudfish	0.05
920_mumps	0.27
921_mushroom	0.48
922_musicalpipe	0.02
923_nail	0.02
924_name	0.95
926_nativecup	0.02
927_nativemaggispice	0.45
928_nativepantmen	0.02
929_nativepantwomen	0.05
930_nativeumbrella	0.52
931_navel	0.55
932_neck	0.55
934_neckbead	0.16
935_necklacewomen	0.36
936_needle	0.02
937_net	0.02
938_nine9	0.45
939_nineteen19	0.45
940_ninety90	0.5
942_nose	1.0
943_nostril	0.5
944_oathn	0.52
947_oil	1.0
948_oilchaff	0.32
949_oilchaffsieve	0.27
950_oilmill	0.25
952_one1	0.45
953_onehundred100	0.5
954_onemillion1000000	0.48
955_onethousand1000	0.68
956_open	0.43
957_openpot	0.05
959_orange	0.52
960_outerpalmnuts	0.25
961_owl	0.91
962_painn	0.5
963_palace	0.02
964_palmhand	0.45
965_palmbamboo	0.36
966_palmbarrenfruit	0.52
967_palmbeetle	0.25
968_palmbeetlefromdeadpalm	0.05
969_palmbroom	0.05
970_palmcone	0.3
971_palmconeempty	0.45
972_palmcotton	0.5
973_palmflower	0.45
22_palmfrondrope	0.02
975_palmgrub	0.55
976_palmmaggotgrub	0.07
977_palmmargotyellowdestroysyoungpalms	0.02
978_palmnut	0.89
979_palmoil	0.23
980_palmthorns	0.5
981_palmtree	0.86
982_palmnutscracked	0.09
983_pap	0.48
984_papspoon	0.05
986_partridgenonredlegs	0.07
987_partridgeredlegs	0.02
989_patchesdotted	0.07
991_pawpaw	0.55
994_peaceplant	0.27
996_pear	0.55
1000_peelplantainbanana	0.5
1001_pen	0.48
1002_penis	0.52
1003_pepper	0.52
1004_pepperstone	0.05
1006_person	0.93
1008_pestle	0.02
1009_pestlecocoyam	0.3
1010_pestleforfufu	0.05
1011_pestlefufu	0.34
1012_pestlepalmnut	0.05
1013_pestlepepper	0.02
1014_pianobamboo	0.05
1015_pianostring	0.02
1020_pig	0.98
1021_pillar	0.55
1022_pillarinhousesupportceiling	0.05
1023_pimple	0.43
1025_pineapple	0.5
1026_pipe	0.09
24_pipewinetapping	0.09
1027_place	0.48
1028_placenta	0.39
1030_plantain	0.45
1033_plantainc	0.52
1034_plantaind	0.02
1035_plantingbasket	0.43
1036_plantingbasketwaist	0.02
1046_poison	0.52
1047_pot	0.89
1048_potsizingstone	0.05
1049_potato	0.66
1052_powern	0.05
1055_prayingmantis	0.52
1056_pregnancy	0.52
1059_pricen	0.48
1060_prince	0.02
1064_pumpkinfruit	0.3
1065_pumpkinleaf	0.55
1066_pus	0.55
1075_quarrelv	0.02
1076_quarter	0.48
1077_quarterhead	0.05
1078_raffia	0.52
1079_raffiabamboo	0.48
1080_raffiafibre	0.52
1081_raffiafruit	0.09
1082_rain	1.0
1083_rainbow	0.66
1084_rainyseason	0.34
1087_ram	0.2
1089_rat	0.11
1090_ratbush	0.2
1091_ratsizenexttoratmole	0.52
1092_ratsmallest	0.48
1093_ratyellowabdomen	0.32
1094_ratmole	0.07
1095_razorblade	0.34
1098_red	0.02
1102_remainnotgo	0.23
1113_rhizomefruithilllilly	0.5
1114_rhizomefruitvalleylilly	0.14
1115_rib	0.52
1116_ribside	0.48
1117_rice	0.52
1119_ridgebedfarm	0.3
1120_ridgefarm	0.25
1121_ring	0.2
1122_ringhandear	0.2
1124_ringworm	0.39
1125_river	0.02
1126_road	0.5
1127_roadjunction	0.02
1128_roast	0.11
1129_roastcorn	0.09
1131_robe	0.02
1132_rock	0.41
1135_roof	0.52
1136_roofceiling	0.55
1137_root	0.73
1138_rootvein	0.02
1139_rope	0.5
1140_ropegoat	0.07
1141_ropeko	0.05
1142_ropepalmclimbing	0.34
1148_run	0.45
1149_sacreddance	0.02
1151_salt	0.93
1153_sand	1.0
1154_sandpapertree	0.45
1155_saucercalabash	0.05
1157_scabies	0.52
1158_scar	0.41
1164_scorpion	0.02
1168_screechowl	0.25
1170_seed	1.0
1171_seedlingplantingseeds	0.07
1176_sell	0.45
25_senegalesekucaltimebird	0.55
1179_seven7	0.45
1180_seventeen17	0.45
1181_seventy70	0.45
1188_shavescissors	0.05
1189_shaveheadrazor	0.41
1190_shavingknife	0.39
1191_sheath	0.34
1192_sheep	1.0
1193_shellsnail	0.09
1195_shin	0.48
1201_shoe	0.36
1203_shortdrum	0.2
1204_shoulder	0.48
1207_sickness	0.36
1209_sieve	0.45
1214_six6	0.45
1215_sixteen16	0.45
1216_sixty60	0.45
1217_skeleton	0.02
1218_skin	0.55
1219_skinraschescausebyheat	0.02
1220_skinrashesbaby	0.05
1221_skull	0.34
1222_sky	0.98
1223_skyheaven	0.5
1224_slave	0.48
1225_sleep	0.45
1227_slimysoup	0.32
1228_slimysoupchaff	0.41
1229_slimysoupdish	0.52
1230_slimysoupdishclaypot	0.5
1232_smalldrum	0.05
1233_smallgrindingstone	0.07
1234_smallhandbagforfemaledance	0.45
1235_smallhandbagformaledance	0.39
1236_smallnoisemakinggrasshopper	0.05
1237_smallwovendish	0.18
1241_smoke	0.89
1242_snail	0.3
1243_snake	0.48
1244_snakeblack	0.5
1245_snakedottedmboma	0.05
1246_snakewhitesmallest	0.05
1247_sneeze	0.36
1248_snore	0.27
1250_soap	0.48
1251_soilbeetleedible	0.05
1252_soldierant	0.48
1253_soleunderfoot	0.48
1255_song	0.48
1256_songbirdafterrain	0.52
1257_songbirdearlymorning	0.48
1258_soot	0.45
1259_soup	0.16
1260_soupliquid	0.27
1261_soupvegetable	0.5
1262_soupdish	0.45
26_souppestlevegetable	0.05
1263_souppotclaymade	0.48
1265_spear	0.32
1266_speargrass	0.52
1268_sperm	0.32
1269_spider	0.93
1272_spirit	0.41
1273_spit	0.52
1274_spleensidebellypain	0.23
1277_spoon	0.25
1278_spooncalabash	0.02
1279_spoonvegetables	0.5
1281_spring	0.11
1288_staffstickwalksupport	0.34
1289_staffwalksupport	0.07
1293_star	0.98
1294_start	0.02
1296_stem	0.2
1297_stick	0.39
1298_stick1	0.02
1299_stick2	0.02
1301_stinginessn	0.05
1302_stinginessselfishness	0.52
1304_stingyman	0.43
1308_stirringspoonvegetables	0.05
1309_stomach	0.98
1310_stone	0.95
1314_stormwind	0.95
1315_story	0.45
1316_stream	0.48
1319_strippedrat	0.32
1321_subchief	0.2
1326_sugarcane	0.05
1328_sun	0.89
1331_swallowbird	0.5
1332_swamp	0.3
1333_swearn	0.52
1335_sweat	0.48
1337_swelln	0.05
1339_swellingwithnopus	0.52
1342_tadpolefrogfish	0.43
1343_tadpole	0.52
1344_take	0.45
1348_talkingdrum	0.5
1350_tappingpipe	0.39
1351_tappinghoe	0.05
1352_tappingknife	0.16
1353_tappingpipe	0.18
1354_tappingpiperaffiapalmwine	0.52
1355_tappingpipe	0.27
1356_tarantula	0.05
1358_tatoo	0.02
1362_tears	0.52
1363_teeth	0.36
1367_ten10	0.45
1368_tenthousand10000	0.32
1370_termite	0.5
1371_termitemount	0.05
1373_testicle	0.55
1374_thankn	0.23
1376_thatchgrass	0.32
1377_they	0.52
1378_thief	0.52
1379_thighlap	0.55
1380_thing	0.43
1382_thirteen13	0.45
1383_thirty30	0.45
1384_thongs	0.02
1385_three3	0.45
1386_threehundred300	0.05
1387_throat	0.52
1389_thumb	0.52
1390_tiebag	0.45
1399_toadroughback	0.45
1400_tobacco	0.82
1401_tobaccoleaf	0.55
1402_tobaccopipe	0.27
1403_tobaccopowder	0.09
1404_toe	0.55
1406_toilet	0.95
1407_tongue	1.0
1408_tooth	0.95
1412_trap	0.5
1413_trap2	0.05
1414_trapinclinedstone	0.32
1416_trapropebone	0.07
1419_tree	0.48
1420_treebeans	0.25
1422_troughcocoyamcow	0.52
1423_trumpet	0.05
1424_tunic	0.11
1426_twelve12	0.45
1427_twenty20	0.45
1430_twentyfour24	0.45
1432_twentyone21	0.45
