ID,Name,Concepticon_ID,Concepticon_Gloss
457_elephant,elephant,,
458_elephantstalk,elephant stalk,,
459_eleven11,eleven (11),,
461_emptypalmcone,empty palm cone,,
469_evilsocietynyogo,evil society (nyoŋgo),,
474_eye,eye,,
475_face,face,,
477_faeces,faeces,,
478_faeceslittle,faeces (little),,
479_fall,fall,,
483_family,family,,
484_farm,farm,,
485_farmhousecornstorage,farm house (corn storage),,
487_father,father,,
488_fatherinlaw,father-in-law,,
489_faxstick,fax-stick,,
490_faxedpillar,faxed pillar,,
491_fearn,fear (n),,
493_feather,feather,,
497_female,female,,
498_femalelizardbrown,female lizard (brown),,
499_femaleyouthdance,female youth dance,,
500_fence,fence,,
501_fenceopenfarm,"fence (open, farm)",,
503_fencesealedpalace,"fence (sealed, - palace)",,
507_fibrepalmrope,fibre - palm (rope),,
508_fifteen15,fifteen (15),,
509_fifty50,fifty (50),,
510_fightn,fight (n),,
511_fightv,fight (v),,
515_finger,finger,,
516_fingerabscesswicklow,finger abscess (wicklow),,
517_fingernail,fingernail,,
519_fire,fire,,
521_firegun,"fire, gun",,
522_fireside,fireside,,
523_firesidestone,fireside stone,,
524_firesidestonepotsupportstones,fireside stone (pot support stones),,
525_firesidestonesupport,fireside stone support,,
526_firewood,firewood,,
527_fish,fish,,
528_fishnoserashes,fish (nose rashes),,
529_fist,fist,,
530_five5,five (5),,
533_flatlongstones,flat-long-stones,,
537_flute,flute,,
538_flutehorizontal,flute (horizontal),,
539_flutevertical,flute (vertical),,
540_flutedance,flute dance,,
541_flybird,fly (bird),,
542_flylargerthannormalfly,fly (larger than normal fly),,
543_foam,foam,,
547_food,food,,
548_foot,foot,,
549_forehead,forehead,,
550_forest,forest,,
552_four4,four (4),,
554_fourteen14,fourteen (14),,
555_fourty40,fourty (40),,
556_fowl,fowl,,
557_friend,friend,,
558_friendfemale,friend (female),,
559_friendmale,friend (male),,
561_frogedible,frog (edible),,
562_frogsmoothback,frog (smooth back),,
563_frogvariegated,frog (variegated),,
564_frontdoor,front-door,,
565_fruit,fruit,,
566_fruitfly,fruit fly,,
569_fufudish,fufu dish,,
570_fungipimple,fungi pimple,,
571_funnel,funnel,,
572_gallbladder,gall bladder,,
573_garbagepit,garbage pit,,
574_gardenegg,garden egg,,
575_garri,garri,,
577_gauze,gauze,,
578_gauzedryingmeat,gauze (drying meat),,
579_gecko,gecko,,
583_giveoffer,give; offer,,
584_gizzardfowl,gizzard (fowl),,
586_go,go,,
590_goat,goat,,
591_goitre,goitre,,
592_gong,gong,,
593_gossipn,gossip (n),,
594_grass,grass,,
595_grasshouse,grass-house,,
596_grasshopper,grasshopper,,
597_grasshopperfattest,grasshopper (fattest),,
598_grasshoppermongwin,grasshopper (mongwin),,
599_grave,grave,,
601_graveyard,graveyard,,
602_greensnake,green snake,,
606_grindingstone,grinding stone,,
608_groundsoil,ground (soil),,
609_groundnut,groundnut,,
610_groundnutbasket,groundnut basket,,
611_groundnutpudding,groundnut pudding,,
612_groupcow,group (cow),,
613_grow,grow,,
614_guard,guard,,
616_guidev,guide (v),,
617_guitar,guitar,,
618_gun,gun,,
620_hailstone,hailstone,,
621_hair,hair,,
622_half,half,,
623_hand,hand,,
626_handrattlecane,hand rattle (cane),,
627_handpiano,hand-piano,,
628_handle,handle,,
629_handleknifearm,"handle(knife), arm",,
634_hangedceiling,hanged ceiling,,
641_hatredn,hatred (n),,
645_hawk,hawk,,
646_hegoat,he-goat,,
647_heshe,he/she,,
648_head,head,,
649_headache,headache,,
650_headpad,headpad,,
654_heart,heart,,
655_heatfufu,heat (fufu),,
656_heaven,heaven,,
657_heelbackfoot,heel (backfoot),,
660_hieniaswellingsaroundgroin,hienia (swellings around groin),,
661_hill,hill,,
662_hillgrass,hill grass,,
667_hoe,hoe,,
669_hole,hole,,
670_honeybee,honey bee,,
671_honeyjuice,honey juice,,
672_hornhead,horn (head),,
673_horntrumpet,horn trumpet,,
674_horntrumpetcow,horn trumpet (cow),,
676_horse,horse,,
677_hot,hot,,
678_hotheatair,"hot, heat (air)",,
679_hotheatsolid,"hot, heat (solid)",,
680_hour,hour,,
681_house,house,,
682_housefly,house fly,,
683_huckleberrynjamanjama,huckleberry (njamanjama),,
686_hunger,hunger,,
687_hungern,hunger (n),,
689_huntn,hunt (n),,
690_huntv,hunt (v),,
691_hunter,hunter,,
693_husband,husband,,
694_hut,hut,,
695_hutkoa,hut (k. o (a)),,
696_hutkob,hut (k. o (b)),,
703_indianbamboo,indian bamboo,,
704_indianbamboo,indian-bamboo,,
709_injunctionorder,injunction order,,
712_innerpalmnutscone,inner palm nuts (cone),,
713_intestine,intestine,,
715_iron,iron,,
716_irontrap,iron trap,,
718_itchingcatarrh,itching catarrh,,
719_jaw,jaw,,
721_jealousman,jealous man,,
722_jealousy,jealousy,,
725_jigger,jigger,,
726_joinpeople,join (people),,
729_joint,joint,,
732_juju,juju,,
733_jujuhouse,juju house,,
734_jump,jump,,
735_koantyellow,k. o ant (yellow),,
736_kocricket,k. o cricket,,
738_koant,k.o ant,,
739_kobaghanged,k.o bag (hanged),,
740_kobat,k.o bat,,
741_kobee,k.o bee,,
742_kocalabash,k.o calabash,,
743_kocalabashballlike,k.o calabash (ball like),,
744_kocap,k.o cap,,
745_kocaterpillar,k.o caterpillar,,
746_kococoyam,k.o cocoyam,,
747_kococoyama,k.o cocoyam (a),,
748_kococoyamb,k.o cocoyam (b),,
750_kodragonfly,k.o dragonfly,,
751_kofemaledancefemaleritesociety,"k.o female dance, female rite society",,
752_kofish,k.o fish,,
753_kofishwhite,k.o fish (white),,
754_koflyslowpainfulbite,"k.o fly (slow, painful bite)",,
756_koflysmartbitesucks,"k.o fly (smart, bite, sucks)",,
758_koflysuckscompound,"k.o fly (sucks, compound)",,
760_kofruit,k.o fruit,,
762_komushroombrown,k.o mushroom (brown),,
763_komushroomsmall,k.o mushroom (small),,
766_komushroomwhiteflatlikefufu,"k.o mushroom (white, flat like fufu)",,
768_komushroomwhitish,k.o mushroom (whitish),,
769_komushroomyellowish,k.o mushroom (yellowish),,
770_korat,k.o rat,,
771_korope,k.o rope,,
772_koropebangle,k.o rope (bangle),,
773_kosnakemboma,k.o snake (mboma),,
774_kosong,k.o song,,
775_kospearfins,k.o spear (fins),,
776_kospearlargehead,k.o spear (large head),,
777_kospearsharphead,k.o spear (sharp head),,
778_kotrap,k.o trap,,
779_kotrapadughole,k.o trap (a dug hole),,
781_kotrapnecktrap,k.o trap (neck trap),,
782_kotraprope,k.o trap(rope),,
783_kotree,k.o tree,,
784_kotreebomafruitchildrenspin,"k.o tree (boma) (fruit, children spin)",,
785_kotreeboundarytree,k.o tree (boundary tree),,
786_kotreebrownedibleleaves,k.o tree (brown edible leaves),,
787_kotreecamwoodtree,k.o tree (camwood tree),,
788_kotreecaterpillarsforcrabs,k.o tree (caterpillars for crabs),,
789_kotreeleaf,k.o tree (leaf),,
790_kotreespoonfruit,k.o tree (spoon-fruit),,
791_kodance,k.o. dance,,
792_kernel,kernel,,
793_kerneluncracked,kernel (uncracked),,
794_kernelchaff,kernel chaff,,
795_kerneloil,kernel oil,,
796_kernelshellbark,kernel shell (bark),,
798_kill,kill,,
799_kingfisher,kingfisher,,
800_kite,kite,,
801_knee,knee,,
803_knife,knife,,
805_knittingpin,knitting pin,,
809_knowledge,knowledge,,
