ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
DPNFang13-487_father-1,,DPNFang13,487_father,bə̀bá / bə̀bø̂,bə̀bá,b ə.¹/ə b a.⁵/a,,,,,^ b ə̀ b á $,default
JGYKoshin3-487_father-1,,JGYKoshin3,487_father,bâ / bə̀bâ,bâ,b a.⁵¹/a,,,,,^ b â $,default
TELKoshin4-487_father-1,,TELKoshin4,487_father,tʲə̂ / bə́tʲə̂,tʲə̂,tʲ ə.⁵¹/ə,,,,,^ tʲ ə̂ $,default
KCSKung3-487_father-1,,KCSKung3,487_father,bɛ̂ː ~ tʃə́ʔ / ɣɛ̀bɛ̂ː ~ tʃə́ʔsê,bɛ̂ː,b ɛː.⁵¹/ɛː,,,,,^ b ɛ̂ː $,default
NJSKung4-487_father-1,,NJSKung4,487_father,bɛ̌ː / bɛ̂ːɣê~ɣèʲbɛ̂ʲ,bɛ̌ː,b ɛː.¹⁵/ɛː,,,,,^ b ɛ̌ː $,default
ZKGKung1-487_father-1,,ZKGKung1,487_father,bɛ̂ː / ɣɪ̀bɛ̂ː,bɛ̂ː,b ɛː.⁵¹/ɛː,,,,,^ b ɛ̂ː $,default
BNMKung2-487_father-1,,BNMKung2,487_father,pə̀pá / sə̀pə̀pá,pə̀pá,p ə.¹/ə p a.⁵/a,,,,,^ p ə̀ p á $,default
NMNMundabli3-487_father-1,,NMNMundabli3,487_father,tɪ̌ː / tʲě,tɪ̌ː,t ɪː.¹⁵/ɪː,,,,,^ t ɪ̌ː $,default
CENMundabli2-487_father-1,,CENMundabli2,487_father,tɪ̌ː / tɪ̌ː wɪ̄,tɪ̌ː,t ɪː.¹⁵/ɪː,,,,,^ t ɪ̌ː $,default
LFNMundabli1-487_father-1,,LFNMundabli1,487_father,těː / tēbó,těː,t eː.¹⁵/eː,,,,,^ t ěː $,default
NINMundabli4-487_father-1,,NINMundabli4,487_father,tjě / bə̀tjěbó,tjě,t j e.¹⁵/e,,,,,^ t j ě $,default
NGTMunken3-487_father-1,,NGTMunken3,487_father,kʲə̀lə́ / bə̀kʲə̀lə́,kʲə̀lə́,kʲ ə.¹/ə l ə.⁵/ə,,,,,^ kʲ ə̀ l ə́ $,default
NUNMunken4-487_father-1,,NUNMunken4,487_father,tâ / bə̀tǎː,tâ,t a.⁵¹/a,,,,,^ t â $,default
NEAMunken1-487_father-1,,NEAMunken1,487_father,tǎː ~tâː~ta᷇ː / bə̀ta᷇ː,tǎː,t aː.¹⁵/aː,,,,,^ t ǎː $,default
TNTMunken2-487_father-1,,TNTMunken2,487_father,tāː ~ tá / bə̀kyə̀lə́  ~ bə̀ta᷇ː,tāː,t aː.³/aː,,,,,^ t āː $,default
MCANgun3-487_father-1,,MCANgun3,487_father,pǎː~bʊ̀bá / bə̀bʊ̀bá~bètʲé,pǎː,p aː.¹⁵/aː,,,,,^ p ǎː $,default
KBMNgun4-487_father-1,,KBMNgun4,487_father,bə̀bá / bə̀bə̀bá,bə̀bá,b ə.¹/ə b a.⁵/a,,,,,^ b ə̀ b á $,default
WCANgun1-487_father-1,,WCANgun1,487_father,ba᷇ː~ tyē / bə̀ba᷇ː  ~ bə̀tyé,ba᷇ː,b aː.⁵³/aː,,,,,^ b a᷇ː $,default
AOMNgun2-487_father-1,,AOMNgun2,487_father,bâː ~bʊ̀bá / bɛ̀bʊ̀bá,bâː,b aː.⁵¹/aː,,,,,^ b âː $,default
APBMumfu1-487_father-1,,APBMumfu1,487_father,tǎ / bə̀tyə̌ ~ tā / bə̀tāː,tǎ,t a.¹⁵/a,,,,,^ t ǎ $,default
DNMMumfu2-487_father-1,,DNMMumfu2,487_father,tā / bə̀tāːbə́,tā,t a.³/a,,,,,^ t ā $,default
BKBMashi2-487_father-1,,BKBMashi2,487_father,bə̀bə́ / bʊ̀bə̀bə́,bə̀bə́,b ə.¹/ə b ə.⁵/ə,,,,,^ b ə̀ b ə́ $,default
KFKMashi1-487_father-1,,KFKMashi1,487_father,tʃyě / bʊ̀tʃyě,tʃyě,tʃ j e.¹⁵/e,,,,,^ tʃ y ě $,default
ABSMissong1-487_father-1,,ABSMissong1,487_father,tʃyɛ̌ / bàtʃyɛ̌,tʃyɛ̌,tʃ j ɛ.¹⁵/ɛ,,,,,^ tʃ y ɛ̌ $,default
AGAMissong2-487_father-1,,AGAMissong2,487_father,tʃyɛ̌ / bàtʃyɛ̌,tʃyɛ̌,tʃ j ɛ.¹⁵/ɛ,,,,,^ tʃ y ɛ̌ $,default
NVBAbar7-909_mother-1,,NVBAbar7,909_mother,nâ~ɲí / àɲí~ɪ̀ɲí~ànɪ́jàbʷɪ̂~ɪ́-níbî,nâ,n a.⁵¹/a,,,,,^ n â $,default
